begintime,ne_name,ne_type,vendor,integrity,4G Traffic ,id
2022-02-02,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,6934689.035,1
2022-02-02,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,93.98,6263405.457,2
2022-02-02,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.25,11427814.56,3
2022-02-03,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.25,7415316.965,4
2022-02-03,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,6616090.37,5
2022-02-03,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,12149738.574,6
2022-02-04,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7282117.431,7
2022-02-04,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6417110.765,8
2022-02-04,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.48,11908590.683,9
2022-02-05,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7193168.495,10
2022-02-05,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6172376.767,11
2022-02-05,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,11849808.89,12
2022-02-06,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7301232.866,13
2022-02-06,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,6085921.271,14
2022-02-06,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,12081382.724,15
2022-02-08,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,5315669.543,16
2022-02-08,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.65,4500350.658,17
2022-02-08,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,11233310.77,18
2022-02-10,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7150705.091,19
2022-02-10,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6326657.481,20
2022-02-10,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,12472042.613,21
2022-02-11,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7213676.017,22
2022-02-11,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6249128.915,23
2022-02-11,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.79,12128394.589,24
2022-02-12,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7638994.439,25
2022-02-12,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.27,6115198.833,26
2022-02-12,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.89,12504594.372,27
2022-02-13,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7666052.822,28
2022-02-13,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.79,6085436.895,29
2022-02-13,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.74,12206262.427,30
2022-02-17,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,6521676.4,31
2022-02-17,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,86.88,5714708.291,32
2022-02-17,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,10864743.843,33
2022-02-18,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7550135.341,34
2022-02-18,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,97.9,6368105.127,35
2022-02-18,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,12717484.162,36
2022-02-19,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7426124.758,37
2022-02-19,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.88,6260779.931,38
2022-02-19,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.66,12296896.462,39
2022-02-20,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7541428.155,40
2022-02-20,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.63,6289235.513,41
2022-02-20,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,12541009.125,42
2022-03-01,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7223585.077,43
2022-03-01,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.67,6480618.541,44
2022-03-01,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.36,12347664.558,45
2022-03-02,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7215739.654,46
2022-03-02,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6728727.735,47
2022-03-02,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.94,12598920.799,48
2022-03-03,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7608362.656,49
2022-03-03,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6798415.396,50
2022-03-03,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.1,12402161.026,51
2022-03-06,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,7330687.596,52
2022-03-06,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,6158533.052,53
2022-03-06,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.41,12009260.843,54
2022-03-07,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7314855.467,55
2022-03-07,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.67,6311517.921,56
2022-03-07,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.4,12230039.003,57
2022-03-09,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,420941.21,58
2022-03-09,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,337675.779,59
2022-03-09,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,668159.323,60
2022-03-10,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,7311343.467,61
2022-03-10,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,94.84,6451887.031,62
2022-03-10,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,12005350.193,63
2022-03-11,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7603662.737,64
2022-03-11,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,6678410.539,65
2022-03-11,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.86,12636412.503,66
2022-03-12,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.17,6548187.351,67
2022-03-12,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.0,5566386.615,68
2022-03-12,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,77.77,10710777.459,69
2022-03-13,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,6784120.1,70
2022-03-13,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,5635058.832,71
2022-03-13,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.12,11013890.814,72
2022-03-14,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.77,6479476.88,73
2022-03-14,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.5,5418148.255,74
2022-03-14,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.05,11351924.712,75
2022-03-15,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.97,6574823.252,76
2022-03-15,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.88,6196966.727,77
2022-03-15,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,11780794.322,78
