measObjLdn,duration,begin_time,20000137.0,20000138.0,20000139.0,20000140.0,20000141.0,20000142.0,20000143.0,20000144.0,20000145.0
"ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",900.0,2021-09-26 19:15:00,"256,900,0,0,0,0,0,0,0,0,0","18,20,10,13,21,16,9,18,12,16,11,14,12,14,19","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","90,79,74,69,65,75,100,74,79,76,78,84,81,80,78","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","64,0,887,13,0,0,0,0,0,0,0"
"ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",900.0,2021-09-26 19:15:00,"256,900,0,0,0,0,0,0,0,0,0","17,23,19,24,16,16,15,13,18,17,14,15,13,13,11","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","74,88,97,95,91,85,83,77,93,89,85,86,79,94,76","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","64,0,458,415,27,0,0,0,0,0,0"
