begintime,ne_name,ne_type,vendor,integrity,VS.CHANNELIZED.FAULTTIME,id
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,29
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,30
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,31
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,32
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,33
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,34
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,35
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,36
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,37
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,38
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,39
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,40
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,41
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,42
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,43
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,44
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,45
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,46
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,47
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,48
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,49
2022-02-04,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,50
2022-02-05,"FTBSC01/CHANNELIZED_OPTICAL_PORT:Port No.,Slot No.,Subrack No.",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,51
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,52
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,53
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,54
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,55
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,56
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,57
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,58
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,59
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,60
