sk_object,object,table_id,duration,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
12,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
13,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=2,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
14,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=1,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
1,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=2,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
2,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=2,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
3,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=2,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
4,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=4,Carrier=2,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
5,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=2,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
6,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
7,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=1,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
8,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=1,Aich=1",v,900,1.0,1.0,2023-08-02 22:52:16.280587,2023-08-02 22:52:16.280587
