begintime,sk_object,1279470417,1279470418,1279470419,1279470420,1279470421,1279470422,1279470423,duration
2022-03-03 02:00:00,7524261.0,14329978.0,21021942.0,0.0,2388889132.0,9846256184.0,4365867.0,18313721.0,PT3600S
2022-03-03 03:00:00,7524261.0,12040450.0,16897036.0,0.0,1932536430.0,7776288549.0,3381576.0,12591556.0,PT3600S
2022-03-02 12:00:00,7524261.0,55573488.0,71907830.0,0.0,9912614977.0,31190626933.0,15162869.0,49251042.0,PT3600S
2022-03-02 16:00:00,7524261.0,52833792.0,69320120.0,0.0,9266206151.0,30114318876.0,14458666.0,47552237.0,PT3600S
2022-03-02 17:00:00,7524261.0,55720313.0,71671620.0,0.0,9693249208.0,30636020884.0,16170983.0,48086435.0,PT3600S
2022-03-02 18:00:00,7524261.0,61680667.0,78085331.0,0.0,10735844481.0,32852910921.0,17282588.0,52740951.0,PT3600S
2022-03-02 19:00:00,7524261.0,72573052.0,86513874.0,0.0,12261448153.0,34232371345.0,18770110.0,51229951.0,PT3600S
2022-03-02 21:00:00,7524261.0,89181944.0,106106242.0,0.0,15396401077.0,42645770250.0,24094009.0,71957066.0,PT3600S
2022-03-02 22:00:00,7524261.0,87027780.0,114450883.0,0.0,15855518904.0,50384124167.0,24095041.0,75862366.0,PT3600S
2022-03-02 23:00:00,7524261.0,57038926.0,81038066.0,0.0,10608541013.0,38086545227.0,20597919.0,68755984.0,PT3600S
2022-03-03 00:00:00,7524261.0,33304495.0,49223173.0,0.0,6046750465.0,23652600021.0,11349612.0,41717470.0,PT3600S
2022-03-03 04:00:00,7524261.0,11949675.0,16469657.0,0.0,1994291164.0,7522587202.0,4592255.0,13287130.0,PT3600S
2022-03-03 05:00:00,7524261.0,14045527.0,20056315.0,0.0,2318232619.0,9478978258.0,4533060.0,18108387.0,PT3600S
2022-03-03 06:00:00,7524261.0,24343671.0,37874574.0,0.0,4257408895.0,18529173630.0,9066964.0,36073455.0,PT3600S
2022-03-03 07:00:00,7524261.0,41779921.0,60414825.0,0.0,7439323688.0,28221238709.0,12594847.0,44743681.0,PT3600S
2022-03-03 08:00:00,7524261.0,51733123.0,67699997.0,0.0,9119376860.0,29432270243.0,14423208.0,45405221.0,PT3600S
2022-03-03 09:00:00,7524261.0,58584526.0,74731750.0,0.0,10286114330.0,31848948132.0,17644531.0,50685257.0,PT3600S
2022-03-03 10:00:00,7524261.0,56926923.0,73641675.0,0.0,9910145090.0,31917469817.0,14958175.0,49394890.0,PT3600S
2022-03-03 11:00:00,7524261.0,54994384.0,71660096.0,0.0,9585297745.0,31201187052.0,14768175.0,47396454.0,PT3600S
2022-03-03 12:00:00,7524261.0,55317996.0,72658113.0,0.0,9631279810.0,31066792676.0,15294276.0,48361212.0,PT3600S
2022-03-03 13:00:00,7524261.0,52695321.0,68675017.0,0.0,9158516109.0,29513565204.0,15144239.0,47460429.0,PT3600S
2022-03-03 14:00:00,7524261.0,54275880.0,70348595.0,0.0,9441779163.0,29879163924.0,14257777.0,47294349.0,PT3600S
2022-03-03 15:00:00,7524261.0,54648538.0,69396865.0,0.0,9548717514.0,29068307831.0,16417906.0,47446497.0,PT3600S
2022-03-03 16:00:00,7524261.0,55126318.0,71172595.0,0.0,9684850088.0,30305657523.0,15586363.0,48136966.0,PT3600S
2022-03-03 17:00:00,7524261.0,56155941.0,72572108.0,0.0,9828404018.0,30575840255.0,15717506.0,48963090.0,PT3600S
2022-03-03 18:00:00,7524261.0,61910500.0,78367753.0,0.0,10957638308.0,32670571750.0,17958621.0,52461910.0,PT3600S
2022-03-03 19:00:00,7524261.0,72105538.0,85935842.0,0.0,12188722875.0,34440957998.0,18921481.0,53958810.0,PT3600S
2022-03-03 20:00:00,7524261.0,81010673.0,89582450.0,0.0,13512139980.0,33057434067.0,21162210.0,53377962.0,PT3600S
2022-03-03 21:00:00,7524261.0,88926816.0,101391834.0,0.0,15247587781.0,39739835907.0,23618883.0,64042118.0,PT3600S
2022-03-03 22:00:00,7524261.0,88138968.0,111057997.0,0.0,15786976168.0,47529962058.0,25274261.0,73066953.0,PT3600S
2022-03-03 23:00:00,7524261.0,62410958.0,89876061.0,0.0,11628149788.0,42156965953.0,21807037.0,71943184.0,PT3600S
2022-03-06 02:00:00,7524261.0,16857247.0,24555836.0,0.0,2897031149.0,11659593522.0,5133331.0,20829659.0,PT3600S
2022-03-06 03:00:00,7524261.0,13565182.0,19139195.0,0.0,2351843135.0,8764121365.0,4063316.0,14486213.0,PT3600S
2022-03-06 04:00:00,7524261.0,12504982.0,18481681.0,0.0,2109517029.0,8488756368.0,3554163.0,14193034.0,PT3600S
2022-03-06 05:00:00,7524261.0,13829375.0,20473905.0,0.0,2323940143.0,9524511335.0,4211033.0,17052037.0,PT3600S
