begintime,sk_object,duration,integrity,50332627
2022-02-03,893501.0,86400.0,100.0,0.0
2022-03-07,894318.0,86400.0,100.0,0.0
2022-02-12,406887.0,86400.0,100.0,0.0
2022-02-11,894316.0,86400.0,100.0,0.0
2022-02-20,317918.0,86400.0,100.0,0.0
2022-03-15,893836.0,86400.0,100.0,0.0
2022-02-04,894010.0,86400.0,100.0,0.0
2022-03-12,893952.0,68400.0,79.16666666666667,0.0
2022-02-19,894159.0,68400.0,79.16666666666667,0.0
2022-02-11,893667.0,86400.0,100.0,0.0
2022-02-04,893753.0,86400.0,100.0,0.0
2022-02-12,893608.0,86400.0,100.0,0.0
2022-03-12,894020.0,68400.0,79.16666666666667,0.0
2022-02-11,893588.0,86400.0,100.0,0.0
2022-02-18,893721.0,86400.0,100.0,0.0
2022-02-12,893538.0,86400.0,100.0,0.0
2022-02-04,893837.0,86400.0,100.0,0.0
2022-03-06,894021.0,79200.0,91.66666666666667,0.0
2022-03-07,893346.0,82800.0,95.83333333333333,0.0
2022-02-06,893932.0,86400.0,100.0,0.0
2022-03-06,894282.0,79200.0,91.66666666666667,0.0
2022-02-05,893745.0,86400.0,100.0,0.0
2022-02-13,893699.0,86400.0,100.0,0.0
2022-03-12,894078.0,68400.0,79.16666666666667,0.0
2022-03-07,894273.0,86400.0,100.0,0.0
2022-02-04,894088.0,86400.0,100.0,0.0
2022-03-15,894100.0,86400.0,100.0,0.0
2022-03-11,894062.0,86400.0,100.0,0.0
2022-03-13,3109061.0,79200.0,91.66666666666667,0.0
2022-02-03,893587.0,86400.0,100.0,0.0
2022-02-17,893639.0,75600.0,87.5,0.0
2022-02-17,893795.0,75600.0,87.5,0.0
2022-02-17,894096.0,75600.0,87.5,0.0
2022-02-06,893747.0,86400.0,100.0,0.0
2022-03-14,894227.0,86400.0,100.0,0.0
2022-02-12,894149.0,86400.0,100.0,0.0
2022-03-07,893511.0,86400.0,100.0,0.0
2022-03-14,893616.0,86400.0,100.0,0.0
2022-03-13,894133.0,79200.0,91.66666666666667,0.0
2022-02-12,160865.0,57600.0,66.66666666666667,0.0
2022-02-05,894179.0,86400.0,100.0,0.0
2022-02-08,894016.0,86400.0,100.0,0.0
2022-03-11,893860.0,86400.0,100.0,0.0
2022-02-13,894126.0,86400.0,100.0,0.0
2022-02-13,894101.0,86400.0,100.0,0.0
2022-02-11,893844.0,86400.0,100.0,0.0
2022-02-08,893379.0,86400.0,100.0,0.0
2022-02-10,893529.0,86400.0,100.0,0.0
2022-03-11,893643.0,86400.0,100.0,0.0
2022-02-20,381098.0,86400.0,100.0,0.0
2022-03-11,893792.0,82800.0,95.83333333333333,0.0
2022-02-12,893533.0,86400.0,100.0,0.0
2022-02-20,894425.0,86400.0,100.0,0.0
2022-02-10,893503.0,86400.0,100.0,0.0
2022-03-13,893402.0,79200.0,91.66666666666667,0.0
2022-02-20,894073.0,86400.0,100.0,0.0
2022-03-11,894195.0,86400.0,100.0,0.0
2022-02-13,893701.0,86400.0,100.0,0.0
2022-03-13,893621.0,79200.0,91.66666666666667,0.0
2022-03-13,894426.0,79200.0,91.66666666666667,0.0
2022-02-10,893468.0,86400.0,100.0,0.0
2022-02-19,893398.0,86400.0,100.0,0.0
2022-02-05,893600.0,86400.0,100.0,0.0
2022-02-05,894007.0,86400.0,100.0,0.0
2022-02-04,893807.0,86400.0,100.0,0.0
2022-02-06,893749.0,86400.0,100.0,0.0
2022-02-06,894447.0,86400.0,100.0,0.0
2022-03-10,893940.0,82800.0,95.83333333333333,0.0
2022-02-11,893630.0,86400.0,100.0,0.0
2022-03-15,893660.0,79200.0,91.66666666666667,0.0
2022-02-04,894229.0,86400.0,100.0,0.0
2022-03-15,893837.0,82800.0,95.83333333333333,0.0
2022-02-08,894446.0,86400.0,100.0,0.0
2022-02-20,894234.0,86400.0,100.0,0.0
2022-02-05,894437.0,86400.0,100.0,0.0
2022-02-10,893634.0,86400.0,100.0,0.0
2022-02-05,893974.0,86400.0,100.0,0.0
2022-03-14,894148.0,86400.0,100.0,0.0
2022-02-10,893859.0,86400.0,100.0,0.0
2022-02-18,893933.0,86400.0,100.0,0.0
2022-02-03,893831.0,86400.0,100.0,0.0
2022-02-19,893662.0,86400.0,100.0,0.0
2022-03-14,894395.0,86400.0,100.0,0.0
2022-02-06,894210.0,86400.0,100.0,0.0
2022-02-06,893847.0,86400.0,100.0,0.0
2022-02-06,893360.0,86400.0,100.0,0.0
2022-03-14,893543.0,86400.0,100.0,0.0
2022-03-06,893483.0,79200.0,91.66666666666667,0.0
2022-03-13,894366.0,79200.0,91.66666666666667,0.0
2022-02-04,893365.0,86400.0,100.0,0.0
2022-03-12,893432.0,68400.0,79.16666666666667,0.0
2022-02-19,894372.0,86400.0,100.0,0.0
2022-02-10,893884.0,86400.0,100.0,0.0
2022-03-06,894003.0,79200.0,91.66666666666667,0.0
2022-03-11,894377.0,86400.0,100.0,0.0
2022-02-20,894169.0,86400.0,100.0,0.0
2022-03-10,893801.0,82800.0,95.83333333333333,0.0
2022-02-05,894071.0,82800.0,95.83333333333333,0.0
2022-03-13,893962.0,79200.0,91.66666666666667,0.0
2022-03-06,893992.0,79200.0,91.66666666666667,0.0
2022-02-11,894030.0,86400.0,100.0,0.0
2022-02-04,894241.0,86400.0,100.0,0.0
2022-02-19,894131.0,86400.0,100.0,0.0
2022-03-06,894445.0,79200.0,91.66666666666667,0.0
2022-02-04,893906.0,86400.0,100.0,0.0
2022-02-03,894123.0,86400.0,100.0,0.0
2022-03-15,893499.0,86400.0,100.0,0.0
2022-02-12,893737.0,86400.0,100.0,0.0
2022-03-13,894017.0,79200.0,91.66666666666667,0.0
2022-02-05,894396.0,86400.0,100.0,0.0
2022-02-20,893347.0,86400.0,100.0,0.0
2022-02-11,894127.0,86400.0,100.0,0.0
2022-02-10,894259.0,86400.0,100.0,0.0
2022-02-19,894169.0,86400.0,100.0,0.0
2022-02-11,893587.0,86400.0,100.0,0.0
2022-03-07,893488.0,86400.0,100.0,0.0
2022-02-12,894334.0,86400.0,100.0,0.0
2022-03-12,893865.0,68400.0,79.16666666666667,0.0
2022-02-19,893694.0,86400.0,100.0,0.0
2022-03-07,893874.0,86400.0,100.0,0.0
2022-02-12,893519.0,86400.0,100.0,0.0
2022-02-04,893527.0,86400.0,100.0,0.0
2022-02-10,894401.0,86400.0,100.0,0.0
2022-03-07,893994.0,86400.0,100.0,0.0
2022-02-12,894253.0,86400.0,100.0,0.0
2022-03-13,894333.0,79200.0,91.66666666666667,0.0
2022-02-06,893672.0,86400.0,100.0,0.0
2022-02-18,894194.0,86400.0,100.0,0.0
2022-02-11,893669.0,86400.0,100.0,0.0
2022-03-11,893850.0,86400.0,100.0,0.0
2022-03-13,894279.0,79200.0,91.66666666666667,0.0
2022-02-13,893806.0,86400.0,100.0,0.0
2022-02-04,894404.0,86400.0,100.0,0.0
2022-02-17,171155.0,75600.0,87.5,0.0
2022-03-14,894207.0,86400.0,100.0,0.0
2022-02-12,893347.0,86400.0,100.0,0.0
2022-03-14,893932.0,82800.0,95.83333333333333,0.0
2022-02-18,893430.0,86400.0,100.0,0.0
2022-03-12,893931.0,68400.0,79.16666666666667,0.0
2022-03-06,893712.0,79200.0,91.66666666666667,0.0
