NE Name,fdn,DI,DLFREQ,HISPM,HORAD,MAXPWR,MOIndex,NODEBFUNCTIONNAME,RADIUS,ULBASEBANDEQMID,ULFREQ,ULOCELLID,className,name,neID
3G_ADONKIA,"NE=1023,NodeBLocalCell=0",0,10713,FALSE,0,448,779_0,3G_ADONKIA,29000,0,9763,0,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=0, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=1",0,10713,FALSE,0,448,779_1,3G_ADONKIA,29000,0,9763,1,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=1, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=10",0,10738,FALSE,0,460,779_10,3G_ADONKIA,29000,2,9788,10,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=10, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=11",0,10763,FALSE,0,460,779_11,3G_ADONKIA,29000,1,9813,11,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=11, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=12",0,10713,FALSE,0,460,779_12,3G_ADONKIA,29000,0,9763,12,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=12, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=13",0,10738,FALSE,0,460,779_13,3G_ADONKIA,29000,2,9788,13,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=13, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=14",0,10763,FALSE,0,460,779_14,3G_ADONKIA,29000,1,9813,14,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=14, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=15",0,10713,FALSE,0,448,779_15,3G_ADONKIA,29000,0,9763,15,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=15, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=16",0,10738,FALSE,0,448,779_16,3G_ADONKIA,29000,2,9788,16,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=16, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=17",0,10763,FALSE,0,448,779_17,3G_ADONKIA,29000,1,9813,17,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=17, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=18",0,10562,FALSE,0,448,779_18,3G_ADONKIA,29000,3,9612,18,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=18, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=19",0,10562,FALSE,0,448,779_19,3G_ADONKIA,29000,3,9612,19,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=19, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=2",0,10713,FALSE,0,448,779_2,3G_ADONKIA,29000,0,9763,2,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=2, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=20",0,10562,FALSE,0,448,779_20,3G_ADONKIA,29000,3,9612,20,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=20, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=21",0,10562,FALSE,0,460,779_21,3G_ADONKIA,29000,3,9612,21,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=21, Cell Name=N/A",779
3G_ADONKIA,"NE=1023,NodeBLocalCell=22",0,10562,FALSE,0,460,779_22,3G_ADONKIA,29000,3,9612,22,BTS3900ULOCELL,"NodeB Function Name=3G_ADONKIA, Local Cell ID=22, Cell Name=N/A",779
