begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7,L.E-RAB.AttEst.QCI.8
2022-02-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,416279768304.0,0.0,60966.0,53.0
2022-02-04,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,364793037280.0,0.0,63707.0,62.0
2022-02-03,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,505398683568.0,0.0,62784.0,38.0
2022-02-05,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,348349377680.0,0.0,62849.0,34.0
2022-02-06,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,424890052960.0,0.0,59620.0,5.0
2022-02-08,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,483305860464.0,0.0,64061.0,39.0
2022-02-10,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,488023983816.0,0.0,73702.0,148.0
2022-02-11,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,505730986128.0,0.0,67992.0,15.0
2022-02-12,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,406392413536.0,0.0,60742.0,6.0
2022-02-17,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,485339678608.0,0.0,61670.0,21.0
2022-02-13,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,333217681040.0,0.0,61153.0,2.0
2022-02-18,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,513017455736.0,0.0,60614.0,8.0
2022-02-19,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,390250320376.0,0.0,65951.0,15.0
2022-02-20,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,348002320920.0,0.0,62432.0,17.0
2022-03-01,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,476812040288.0,0.0,67031.0,23.0
2022-03-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,555104390664.0,0.0,66956.0,51.0
2022-03-03,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,530899846864.0,0.0,69097.0,31.0
2022-03-06,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,408624562824.0,0.0,60663.0,3.0
2022-03-07,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,507597245416.0,0.0,65921.0,31.0
2022-03-09,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,35912660112.0,0.0,2548.0,0.0
2022-03-10,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,461415860368.0,0.0,66158.0,21.0
2022-03-11,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,431330854456.0,0.0,60911.0,45.0
2022-03-12,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,507756987144.0,0.0,57754.0,8.0
2022-03-13,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,322372917832.0,0.0,47082.0,41.0
2022-03-14,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,465922865736.0,0.0,56387.0,18.0
2022-03-15,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,397801554224.0,0.0,59686.0,12.0
2022-02-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,68054029880.0,0.0,2401.0,0.0
