begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,ifOutOctets,ifOutPackets,ifInErrors,ifOutFragPackets,ifOutFragments,ifInMCastPackets,ifInMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifInDiscardedMCastPackets,ifInDiscardedMCastOctets,ifOutDroppedPackets,ifOutDroppedOctets,ifInOctets
2022-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",86679.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.2777777777777778,29941863.0,108123.0,0.0,0.0,0.0,112.0,8730.0,0.0,0.0,112.0,8730.0,0.0,0.0,213791292.0
2022-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",86684.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.2777777777777778,642316.0,8058.0,0.0,0.0,0.0,114.0,8890.0,0.0,0.0,114.0,8890.0,0.0,0.0,1269378.0
2022-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",244.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,322356.0,4120.0,0.0,0.0,0.0,292.0,22716.0,0.0,0.0,292.0,22716.0,0.0,0.0,640532.0
2022-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",251.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,56889208.0,138435.0,0.0,0.0,0.0,287.0,22316.0,0.0,0.0,287.0,22316.0,0.0,0.0,140509179.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",247.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.6944444444444444,1800142.0,1401.0,0.0,0.0,0.0,276.0,21528.0,0.0,0.0,276.0,21528.0,0.0,0.0,501051.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",247.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,1.1111111111111112,68316196.0,47599.0,0.0,1.0,1.0,435.0,33834.0,0.0,0.0,435.0,33834.0,0.0,0.0,1971144.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",247.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",247.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.9027777777777778,2055860.0,1940.0,0.0,2.0,2.0,667.0,51888.0,0.0,0.0,667.0,51888.0,0.0,0.0,1149435.0
2022-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",86681.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.2777777777777778,1276773.0,986.0,0.0,0.0,0.0,114.0,8844.0,0.0,0.0,114.0,8844.0,0.0,0.0,225347.0
2022-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",250.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,398148.0,1491.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0,401821.0
