NE Name,fdn,MOIndex,NODEBFUNCTIONNAME,SECTOREQMID,ULOCELLID,className,name,neID
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=7_14",779_14_7,3G_ADONKIA,7,14,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=14, Sector Equipment ID=7",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=7_13",779_13_7,3G_ADONKIA,7,13,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=13, Sector Equipment ID=7",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=6_12",779_12_6,3G_ADONKIA,6,12,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=12, Sector Equipment ID=6",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=5_11",779_11_5,3G_ADONKIA,5,11,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=11, Sector Equipment ID=5",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=5_10",779_10_5,3G_ADONKIA,5,10,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=10, Sector Equipment ID=5",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=4_9",779_9_4,3G_ADONKIA,4,9,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=9, Sector Equipment ID=4",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=3_8",779_8_3,3G_ADONKIA,3,8,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=8, Sector Equipment ID=3",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=1_4",779_4_1,3G_ADONKIA,1,4,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=4, Sector Equipment ID=1",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=0_3",779_3_0,3G_ADONKIA,0,3,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=3, Sector Equipment ID=0",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=2_2",779_2_2,3G_ADONKIA,2,2,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=2, Sector Equipment ID=2",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=1_1",779_1_1,3G_ADONKIA,1,1,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=1, Sector Equipment ID=1",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=0_0",779_0_0,3G_ADONKIA,0,0,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=0, Sector Equipment ID=0",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=8_18",779_18_8,3G_ADONKIA,8,18,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=18, Sector Equipment ID=8",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=8_6",779_6_8,3G_ADONKIA,8,6,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=6, Sector Equipment ID=8",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=9_19",779_19_9,3G_ADONKIA,9,19,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=19, Sector Equipment ID=9",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=9_7",779_7_9,3G_ADONKIA,9,7,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=7, Sector Equipment ID=9",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=2_20",779_20_2,3G_ADONKIA,2,20,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=20, Sector Equipment ID=2",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=3_5",779_5_3,3G_ADONKIA,3,5,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=5, Sector Equipment ID=3",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=4_21",779_21_4,3G_ADONKIA,4,21,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=21, Sector Equipment ID=4",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=6_22",779_22_6,3G_ADONKIA,6,22,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=22, Sector Equipment ID=6",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=10_15",779_15_10,3G_ADONKIA,10,15,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=15, Sector Equipment ID=10",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=10_16",779_16_10,3G_ADONKIA,10,16,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=16, Sector Equipment ID=10",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=11_17",779_17_11,3G_ADONKIA,11,17,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=17, Sector Equipment ID=11",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=11_23",779_23_11,3G_ADONKIA,11,23,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=23, Sector Equipment ID=11",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=12_24",779_24_12,3G_ADONKIA,12,24,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=24, Sector Equipment ID=12",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=12_25",779_25_12,3G_ADONKIA,12,25,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=25, Sector Equipment ID=12",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=13_26",779_26_13,3G_ADONKIA,13,26,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=26, Sector Equipment ID=13",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=13_27",779_27_13,3G_ADONKIA,13,27,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=27, Sector Equipment ID=13",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=14_28",779_28_14,3G_ADONKIA,14,28,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=28, Sector Equipment ID=14",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=14_29",779_29_14,3G_ADONKIA,14,29,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=29, Sector Equipment ID=14",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=15_30",779_30_15,3G_ADONKIA,15,30,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=30, Sector Equipment ID=15",779
3G_ADONKIA,"NE=1023,ULOCELLSECTOREQM=15_31",779_31_15,3G_ADONKIA,15,31,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADONKIA, Local Cell ID=31, Sector Equipment ID=15",779
3G_ALKALIA,"NE=1346,ULOCELLSECTOREQM=0_4_2",1102_2_4_0,3G_ALKALIA,4,2,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALKALIA, Local Cell ID=2, Sector Equipment ID=4",1102
3G_ALKALIA,"NE=1346,ULOCELLSECTOREQM=0_2_1",1102_1_2_0,3G_ALKALIA,2,1,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALKALIA, Local Cell ID=1, Sector Equipment ID=2",1102
3G_ALKALIA,"NE=1346,ULOCELLSECTOREQM=0_0_0",1102_0_0_0,3G_ALKALIA,0,0,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALKALIA, Local Cell ID=0, Sector Equipment ID=0",1102
