begintime,sk_object,duration,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-15 06:58:00,245.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 06:58:00,247.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 06:58:00,259.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 02:53:00,255.0,7,64593205.0,63173.0,10111807.0,43943.0,0.0,0.0,0.0,143.0,11118.0,0.0,0.0,143.0,11118.0,0.0,0.0
2022-03-17 02:53:00,256.0,7,887568.0,15297.0,33460560.0,23307.0,0.0,0.0,0.0,144.0,11198.0,0.0,0.0,144.0,11198.0,0.0,0.0
2022-03-17 02:53:00,265.0,7,1502330.0,18434.0,1632600.0,14883.0,0.0,0.0,0.0,146.0,11358.0,0.0,0.0,146.0,11358.0,0.0,0.0
2022-03-17 02:54:00,243.0,6,496436.0,6778.0,1218637.0,1038.0,0.0,0.0,0.0,285.0,22202.0,0.0,0.0,285.0,22202.0,0.0,0.0
2022-03-17 02:54:00,244.0,6,640532.0,7247.0,322356.0,4120.0,0.0,0.0,0.0,292.0,22716.0,0.0,0.0,292.0,22716.0,0.0,0.0
2022-03-17 02:54:00,246.0,6,1548631.0,26378.0,55378098.0,38519.0,0.0,0.0,0.0,291.0,22636.0,0.0,0.0,291.0,22636.0,0.0,0.0
2022-03-17 02:54:00,248.0,6,117575793.0,94402.0,6210728.0,44057.0,0.0,0.0,0.0,292.0,22716.0,0.0,0.0,292.0,22716.0,0.0,0.0
2022-03-17 02:54:00,250.0,6,401821.0,1475.0,398148.0,1491.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0
2022-03-17 02:54:00,251.0,6,140509179.0,171842.0,56889208.0,138435.0,0.0,0.0,0.0,287.0,22316.0,0.0,0.0,287.0,22316.0,0.0,0.0
2022-03-17 02:54:00,252.0,6,285200.0,3413.0,204388.0,2230.0,0.0,0.0,0.0,85.0,6616.0,0.0,0.0,85.0,6616.0,0.0,0.0
2022-03-17 02:54:00,253.0,6,115786.0,1587.0,1546.0,20.0,0.0,0.0,0.0,84.0,6536.0,0.0,0.0,84.0,6536.0,0.0,0.0
2022-03-17 02:54:00,254.0,6,4028573.0,4685.0,931987.0,4529.0,0.0,0.0,0.0,93.0,7256.0,0.0,0.0,93.0,7256.0,0.0,0.0
2022-03-17 02:54:00,257.0,6,143166.0,1963.0,2230.0,29.0,0.0,0.0,0.0,94.0,7336.0,0.0,0.0,94.0,7336.0,0.0,0.0
2022-03-17 02:54:00,260.0,6,547318.0,6049.0,193308.0,3159.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0
