begintime,ne_name,ne_type,vendor,integrity,ISYS_HO_UTRAN_PREP_FAIL_OTH_NB,ISYS_HO_UTRAN_PREP_FAIL_TIM_NB,ISYS_HO_UTRAN_PREP_FAIL_AC_NB,ISYS_HO_UTRAN_ATT_NB,ISYS_HO_UTRAN_SUCC_NB,ISYS_HO_UTRAN_FAIL_NB,id
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,HOT-1273,TCID-38015,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,1.0,1.0,0.0,20
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,HOT-1273,TCID-38016,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,1.0,0.0,0.0,21
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,HOT-1273,TCID-38017,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,5.0,0.0,0.0,22
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,HOT-1273,TCID-38018,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,23
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,HOT-1273,TCID-38019,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-34450,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-34451,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-34454,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-34456,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-35511,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,29
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-35670,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-37431,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,31
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-37432,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,32
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-37433,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-37910,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,2.0,0.0,0.0,34
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-37915,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,35
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-37919,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,1.0,0.0,0.0,36
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38000,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38005,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,2.0,0.0,0.0,38
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38009,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,39
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38010,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38011,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38012,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,42
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38013,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,43
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38015,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,44
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38016,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,1.0,0.0,0.0,45
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38017,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,46
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38018,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,47
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05,HOT-1273,TCID-38019,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,48
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-34451,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-34452,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-34455,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,51
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-34457,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,52
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-35511,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,53
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-35514,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,54
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-35670,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,55
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-35675,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,56
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-36025,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,57
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-37910,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,58
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-37915,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,59
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-37919,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38000,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,1.0,1.0,0.0,61
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38005,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,62
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38009,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,63
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38010,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,1.0,1.0,0.0,64
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38011,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,2.0,2.0,0.0,65
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38012,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38013,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38015,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,68
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38016,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,2.0,2.0,0.0,69
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38017,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38018,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71
