begintime,ne_name,ne_type,vendor,integrity,HU LTE_DL Traffic(GB),HU LTE_RRC SR%,id
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=2,Cell Name=4G_ALLENTOWN-2,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,119.8953,99.9631,12
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,100.5698,99.8972,13
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=6,Cell Name=4G_ALLENTOWN-6,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,46.9503,99.9322,14
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=7,Cell Name=4G_ALLENTOWN-7,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,51.7601,99.9765,15
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=8,Cell Name=4G_ALLENTOWN-8,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,108.4964,99.9477,16
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=1,Cell Name=4G_ALLENTOWN_II-1,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,12.1895,99.9775,17
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=2,Cell Name=4G_ALLENTOWN_II-2,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,91.6635,99.9701,18
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,68.604,99.9275,19
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=6,Cell Name=4G_ALLENTOWN_II-6,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,9.816,99.9784,20
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=7,Cell Name=4G_ALLENTOWN_II-7,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,48.6794,99.9855,21
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=8,Cell Name=4G_ALLENTOWN_II-8,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,67.0861,99.9756,22
2022-02-02,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=1,Cell Name=4G_BAOMAHUN-1,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,10.8872,99.9942,23
2022-02-02,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=2,Cell Name=4G_BAOMAHUN-2,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,0.5654,100.0,24
