begintime,ne_name,ne_type,vendor,integrity,ifOutOctets,ifOutPackets,ifInErrors,ifOutFragPackets,ifOutFragments,ifInMCastPackets,ifInMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifInDiscardedMCastPackets,ifInDiscardedMCastOctets,ifOutDroppedPackets,ifOutDroppedOctets,ifInOctets,ipv4InOctets,ipv4InPackets,ipv4OutOctets,ipv4OutPackets,ipv4InReassembledPackets,ipv4InErrors,ipDataTrafficVolume,ipDataTrafficVolumeDiscards,ipDataTrafficVolumePackets,ipDataTrafficVolumePckDisc,discIpReassemblyTimedoutPkts,ipReassemblyError,ipTooBigPackets,tcpInPackets,tcpInOctets,tcpOutPackets,tcpOutOctets,sctpInPackets,sctpInOctets,sctpOutPackets,sctpOutOctets,ipRmDroppedPacketsRateLimiting,ipRmDroppedPacketsFiltering,ipRmDropPcktsRtLimLteUplane,ipRmDropPcktsRtLimSplane,ipRmDropPcktsRtLimSrLteMplane,ipRmDropPcktsRtLimDefault,ipRmDropPcktsRtLimCplane,ipRmDropPcktsRtLimTwamp,ifTxOctets_EF1,ifTxPackets_EF1,ifTxDropOctets_rate_EF1,ifTxDropPackets_rate_EF1,ifTxDropOctets_delta_EF1,ifTxDropPackets_delta_EF1,ifTxOctets_EF2,ifTxPackets_EF2,ifTxDropOctets_rate_EF2,ifTxDropPackets_rate_AF2,ifTxDropOctets_delta_AF2,ifTxDropPackets_rate_EF2,ifTxDropPackets_delta_AF2,ifTxDropOctets_delta_EF2,ifTxDropPackets_delta_EF2,ifTxOctets_EF3,ifTxPackets_EF3,ifTxDropOctets_rate_EF3,ifTxDropPackets_rate_EF3,ifTxDropOctets_delta_EF3,ifTxDropPackets_delta_EF3,ifTxOctets_AF1,ifTxPackets_AF1,ifTxDropOctets_rate_AF1,ifTxDropPackets_rate_AF1,ifTxDropOctets_delta_AF1,ifTxOctets_AF3,ifTxDropPackets_delta_AF1,ifTxPackets_AF3,ifTxOctets_AF2,ifTxDropOctets_rate_AF3,ifTxPackets_AF2,ifTxDropOctets_rate_AF2,ifTxDropPackets_rate_AF3,ifTxDropOctets_delta_AF3,ifTxDropOctets_delta_BE,ifTxDropPackets_delta_AF3,ifTxDropPackets_delta_BE,ifTxOctets_AF4,ifTxPackets_AF4,ifTxDropOctets_rate_AF4,ifTxDropPackets_rate_AF4,ifTxDropOctets_delta_AF4,ifTxDropPackets_delta_AF4,ifTxOctets_BE,ifTxPackets_BE,ifTxDropOctets_rate_BE,ifTxDropPackets_rate_BE,ifTxOctetsIPv4_AF3,ifTxOctetsIPv4_EF2,ifTxPacketsIPv4_EF2,ifTxDropOctetsIPv4_rate_EF2,ifTxDropPacketsIPv4_rate_EF2,ifTxOctetsIPv4_EF3,ifTxPacketsIPv4_EF3,ifTxDropOctetsIPv4_rate_EF3,ifTxDropPacketsIPv4_rate_EF3,ifTxOctetsIPv4_EF1,ifTxOctetsIPv4_AF1,ifTxPacketsIPv4_EF1,ifTxDropOctetsIPv4_rate_EF1,ifTxPacketsIPv4_AF1,ifTxDropOctetsIPv4_rate_AF1,ifTxPacketsIPv4_AF3,ifTxDropPacketsIPv4_rate_AF1,ifTxDropOctetsIPv4_rate_AF3,ifTxOctetsIPv4_AF2,ifTxDropPacketsIPv4_rate_AF3,ifTxOctetsIPv4_AF4,ifTxPacketsIPv4_AF4,ifTxDropOctetsIPv4_rate_AF4,ifTxPacketsIPv4_AF2,ifTxDropPacketsIPv4_rate_AF4,ifTxDropOctetsIPv4_rate_AF2,ifTxOctetsIPv4_BE,ifTxDropPacketsIPv4_rate_AF2,ifTxPacketsIPv4_BE,ifTxDropOctetsIPv4_rate_BE,ifTxDropPacketsIPv4_rate_BE,ifTxDropPacketsIPv6_rate_EF2,ifTxOctetsIPv6_EF3,ifTxOctetsIPv6_EF1,ifTxPacketsIPv6_EF3,ifTxPacketsIPv6_EF1,ifTxDropOctetsIPv6_rate_EF3,ifTxDropOctetsIPv6_rate_EF1,ifTxDropPacketsIPv6_rate_EF3,ifTxDropPacketsIPv6_rate_EF1,ifTxOctetsIPv6_AF1,ifTxOctetsIPv6_EF2,ifTxPacketsIPv6_EF2,ifTxPacketsIPv6_AF1,ifTxDropOctetsIPv6_rate_EF2,ifTxDropOctetsIPv6_rate_AF1,ifTxDropPacketsIPv6_rate_AF1,ifTxOctetsIPv6_AF2,ifTxDropOctetsIPv6_rate_AF4,ifTxPacketsIPv6_AF2,ifTxDropOctetsIPv6_rate_AF2,ifTxDropPacketsIPv6_rate_AF2,ifTxOctetsIPv6_AF3,ifTxPacketsIPv6_AF3,ifTxDropOctetsIPv6_rate_AF3,ifTxDropPacketsIPv6_rate_AF3,ifTxDropPacketsIPv6_rate_AF4,ifTxOctetsIPv6_AF4,ifTxOctetsIPv6_BE,ifTxPacketsIPv6_AF4,ifTxPacketsIPv6_BE,ifTxDropOctetsIPv6_rate_BE,ifTxDropPacketsIPv6_rate_BE,ifOutMCastPacketsIPv4,ifOutMCastOctetsIPv4,ifInDiscardedMCastPacketsIPv4,ifInDiscardedMCastOctetsIPv4,ifInPacketsIPv4,ifInMCastOctetsIPv4,ifInOctetsIPv4,ifOutPacketsIPv4,ifInMCastPacketsIPv4,ifOutOctetsIPv4,ifInErrorsIPv4,ifOutDroppedPacketsIPv4,ifOutDroppedOctetsIPv4,ifOutPacketsIPv6,ifInErrorsIPv6,ifOutDroppedPacketsIPv6,ifOutDroppedOctetsIPv6,ifInMCastPacketsIPv6,ifOutMCastPacketsIPv6,ifOutOctetsIPv6,ifOutMCastOctetsIPv6,ifInDiscardedMCastPacketsIPv6,ifInDiscardedMCastOctetsIPv6,ifInPacketsIPv6,ifInOctetsIPv6,ifRxOctetsIPv4_EF1,ifRxPacketsIPv4_EF1,ifRxOctetsIPv4_EF2,ifRxPacketsIPv4_EF2,ifRxOctetsIPv4_EF3,ifRxPacketsIPv4_EF3,ifRxOctetsIPv4_AF1,ifRxPacketsIPv4_AF1,ifRxOctetsIPv4_AF2,ifRxPacketsIPv4_AF2,ifRxOctetsIPv4_AF3,ifRxPacketsIPv4_AF3,ifRxOctetsIPv4_AF4,ifRxPacketsIPv4_AF4,ifRxOctetsIPv4_BE,ifRxPacketsIPv4_BE,ifRxPacketsIPv6_EF1,ifRxOctetsIPv6_EF2,ifRxPacketsIPv6_EF2,ifRxOctetsIPv6_EF3,ifRxPacketsIPv6_EF3,ifRxOctetsIPv6_AF1,ifRxPacketsIPv6_AF1,ifRxOctetsIPv6_EF1,ifRxOctetsIPv6_AF2,ifRxPacketsIPv6_AF2,ifRxOctetsIPv6_AF3,ifRxPacketsIPv6_AF3,ifRxOctetsIPv6_AF4,ifRxPacketsIPv6_AF4,ifRxOctetsIPv6_BE,ifRxPacketsIPv6_BE
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,Nokia,100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,6418.0,365626.0,10073.0,12917847.0,14340882.0,1056513516.0,9612150.0,706731036.0,0.0,3841842.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,Nokia,100.0,13379999.0,13446.0,0.0,2.0,2.0,66803.0,5197500.0,0.0,0.0,66803.0,5197500.0,0.0,0.0,108868066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,66803.0,5197500.0,1494414.0,5197500.0,108868066.0,13446.0,66803.0,13379999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5397076.0,69429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,103470950.0,1424984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-1,IPADDRESSV4-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,Nokia,100.0,,,,,,,,,,,,,,,103670566.0,1427611.0,13379999.0,13446.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,Nokia,100.0,898974248.0,9612152.0,0.0,0.0,0.0,66813.0,5198668.0,0.0,0.0,66813.0,5198668.0,0.0,0.0,1348530056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,66813.0,5198668.0,14407697.0,5198668.0,1348530056.0,9612152.0,66813.0,898974248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343331388.0,14340884.0,5198668.0,66813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-2,IPADDRESSV4-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,Nokia,100.0,,,,,,,,,,,,,,,1343332812.0,14340901.0,898973824.0,9612161.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,Nokia,100.0,56577411656.0,245471500.0,0.0,137.0,274.0,66825.0,5199168.0,0.0,0.0,66825.0,5199168.0,0.0,0.0,372306982047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,66825.0,5199168.0,330314597.0,5199168.0,372306982047.0,245431613.0,66825.0,56568307967.0,0.0,0.0,0.0,39887.0,0.0,0.0,0.0,0.0,0.0,9103689.0,0.0,0.0,0.0,0.0,0.0,4368.0,78.0,5200609.0,66829.0,0.0,0.0,14925783.0,12712.0,328214198.0,448586.0,0.0,0.0,0.0,0.0,371958652403.0,329786408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-3,IPADDRESSV4-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,Nokia,100.0,,,,,,,,,,,,,,,372301599907.0,330247580.0,56577188045.0,245471133.0,14746.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPVOL-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPVOL,Nokia,100.0,,,,,,,,,,,,,,,,,,,,,407841056081.0,78769121752.0,329654758.0,58990973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,Nokia,100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7238.0,472826.0,11259.0,13271657.0,9448039.0,694302484.0,7423386.0,620025104.0,216.0,3884109.0,0.0,0.0,0.0,0.0,216.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,Nokia,100.0,13797467.0,15156.0,0.0,9.0,9.0,65800.0,5119054.0,0.0,0.0,65800.0,5119054.0,0.0,0.0,107572344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,65800.0,5119054.0,1475750.0,5119054.0,107572344.0,15156.0,65800.0,13797467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5349106.0,68827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102223238.0,1406923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
