begintime,sk_object,duration,M8004C0,M8004C1,M8004C2,M8004C3,M8004C4,M8004C5,M8004C6
2022-03-15 06:58:00,526.0,2,65383.0,19983.0,141851.0,13574.0,0.0,0.0,0.0
2022-03-17 02:53:00,525.0,7,21506.0,25781.0,0.0,47157.0,0.0,0.0,0.0
2022-03-17 02:54:00,524.0,6,9329.0,3164.0,9040.0,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,527.0,6,2747.0,450.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,528.0,6,34467.0,12325.0,35846.0,53.0,0.0,0.0,0.0
2022-03-17 02:54:00,529.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,530.0,6,51381.0,51942.0,48885.0,14212.0,0.0,0.0,0.0
2022-03-17 02:55:00,523.0,5,36381.0,22228.0,31035.0,0.0,0.0,0.0,0.0
2022-03-18 18:00:00,529.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 18:15:00,529.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 18:30:00,529.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 18:45:00,529.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 06:56:00,86749.0,4,16792.0,18434.0,824956.0,443662.0,0.0,0.0,0.0
2022-03-19 13:46:00,526.0,14,440143.0,350157.0,591044.0,1078478.0,0.0,0.0,0.0
2022-03-19 16:58:00,526.0,2,131745.0,77124.0,265716.0,69366.0,0.0,0.0,0.0
2022-03-11 21:47:00,526.0,13,487476.0,429581.0,842587.0,1252320.0,0.0,0.0,0.0
2022-03-12 05:55:00,528.0,5,121231.0,370146.0,254132.0,15971.0,0.0,0.0,0.0
2022-03-12 06:50:00,526.0,10,161741.0,92124.0,901661.0,230988.0,0.0,0.0,0.0
