begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ipDataTrafficVolumePackets,ipDataTrafficVolumeDiscards,ipDataTrafficVolume,ipDataTrafficVolumePckDisc,ipv4InOctets,ipv4InErrors,ipv4OutOctets,ipv4InPackets,ipv4OutPackets,ipv4InReassembledPackets,ifInErrors,ifOutMCastPackets,ifInMCastOctets,ifOutPackets,ifOutFragPackets,ifInDiscardedMCastOctets,ifInDiscardedMCastPackets,ifInOctets,ifOutMCastOctets,ifInMCastPackets,ifOutDroppedPackets,ifOutDroppedOctets,ifOutFragments,ifOutOctets,tcpOutOctets,tcpInPackets,tcpInOctets,tcpOutPackets
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,307.0,dynamic,0.6944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,1771792.0,805.0,38209.0,1415.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,307.0,dynamic,0.1388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,307.0,dynamic,0.9027777777777778,,,,,,,,,,,,,,,,,,,,,,,,,2013134.0,1269.0,82673.0,1871.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,307.0,dynamic,1.1111111111111112,,,,,,,,,,,,,,,,,,,,,,,,,67634043.0,23714.0,795400.0,55499.0
2022-11,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,310.0,dynamic,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,0.0,0.0,55.0
2022-10,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,310.0,dynamic,0.3472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,47665.0,122.0,12714.0,139.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,309.0,dynamic,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,385535.0,194.0,11066.0,294.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,309.0,dynamic,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,2028.0,0.0,0.0,55.0
2022-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,311.0,dynamic,0.3472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,80999419.0,33999.0,1200027.0,63665.0
2022-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,312.0,dynamic,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,1476320.0,695.0,39215.0,9182.0
2022-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,86695.0,dynamic,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,1257883.0,603.0,29197.0,1022.0
2022-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,308.0,dynamic,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,981223.0,527.0,34679.0,4448.0
2022-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,313.0,dynamic,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,54742402.0,19992.0,682999.0,42477.0
2022-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,314.0,dynamic,0.4861111111111111,,,,,,,,,,,,,,,,,,,,,,,,,33270532.0,12238.0,419832.0,31368.0
2022-11,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15485.0,dynamic,94.58333333333333,,,,,,,,,,,0.0,0.0,4920166.0,120690689.0,3149.0,4920166.0,63238.0,211598404672.0,0.0,63238.0,0.0,0.0,6298.0,30090591946.0,,,,
2022-10,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15507.0,dynamic,97.36111111111111,,,,,,,,,,,0.0,0.0,4928322.0,2514443.0,0.0,4928322.0,63348.0,348814726.0,0.0,63348.0,0.0,0.0,0.0,196196256.0,,,,
2022-10,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15468.0,dynamic,100.0,,,,,,,,,,,0.0,0.0,5199054.0,3162080.0,0.0,5199054.0,66823.0,423605882.0,0.0,66823.0,0.0,0.0,0.0,318295952.0,,,,
