begintime,sk_object,duration,integrity,1282448458,1282432826,1282432827
2022-03-10 15:00:00,630540.0,3600.0,100.0,4.0,4.0,2.0
2022-03-10 00:00:00,630439.0,3600.0,100.0,2.0,2.0,1.0
2022-03-07 09:00:00,490623.0,3600.0,100.0,1.0,1.0,0.0
2022-02-11 09:00:00,630546.0,3600.0,100.0,3.0,3.0,1.0
2022-02-18 10:00:00,630462.0,3600.0,100.0,6.0,6.0,2.0
2022-02-17 17:00:00,502249.0,3600.0,100.0,2.0,2.0,0.0
2022-03-14 15:00:00,630555.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 19:00:00,630506.0,3600.0,100.0,4.0,4.0,1.0
2022-02-18 11:00:00,630552.0,3600.0,100.0,11.0,11.0,2.0
2022-03-14 22:00:00,630468.0,3600.0,100.0,6.0,6.0,0.0
2022-03-15 13:00:00,490656.0,3600.0,100.0,2.0,2.0,0.0
2022-02-12 16:00:00,630412.0,3600.0,100.0,48.0,48.0,8.0
2022-02-04 09:00:00,630515.0,3600.0,100.0,5.0,5.0,0.0
2022-02-08 12:00:00,607790.0,3600.0,100.0,1.0,1.0,0.0
2022-02-17 19:00:00,630552.0,3600.0,100.0,13.0,13.0,1.0
2022-03-14 15:00:00,532658.0,3600.0,100.0,1.0,1.0,0.0
2022-02-18 11:00:00,630515.0,3600.0,100.0,12.0,12.0,1.0
2022-02-11 19:00:00,630561.0,3600.0,100.0,25.0,25.0,6.0
2022-02-10 01:00:00,630467.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 10:00:00,630462.0,3600.0,100.0,5.0,6.0,1.0
2022-02-04 15:00:00,630468.0,3600.0,100.0,4.0,4.0,0.0
2022-03-10 15:00:00,630412.0,3600.0,100.0,42.0,43.0,8.0
2022-02-06 07:00:00,600684.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 17:00:00,630412.0,3600.0,100.0,30.0,30.0,5.0
2022-02-18 21:00:00,630425.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 09:00:00,502249.0,3600.0,100.0,2.0,2.0,1.0
2022-03-10 22:00:00,630552.0,3600.0,100.0,4.0,4.0,1.0
2022-02-04 15:00:00,566191.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 07:00:00,630432.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 15:00:00,532290.0,3600.0,100.0,2.0,2.0,0.0
2022-02-13 20:00:00,630505.0,3600.0,100.0,5.0,5.0,1.0
2022-02-11 07:00:00,630468.0,3600.0,100.0,2.0,2.0,0.0
2022-02-10 13:00:00,630505.0,3600.0,100.0,2.0,2.0,0.0
2022-02-05 08:00:00,566179.0,3600.0,100.0,1.0,1.0,1.0
2022-02-10 12:00:00,630545.0,3600.0,100.0,8.0,8.0,1.0
2022-02-17 09:00:00,607848.0,3600.0,100.0,1.0,1.0,0.0
2022-03-14 16:00:00,502249.0,3600.0,100.0,1.0,1.0,1.0
2022-02-18 10:00:00,532290.0,3600.0,100.0,1.0,1.0,0.0
2022-02-10 18:00:00,630564.0,3600.0,100.0,2.0,3.0,1.0
2022-02-03 17:00:00,630479.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 17:00:00,630524.0,3600.0,100.0,2.0,2.0,0.0
2022-02-10 18:00:00,630540.0,3600.0,100.0,2.0,2.0,0.0
2022-03-13 12:00:00,630409.0,3600.0,100.0,3.0,3.0,1.0
2022-02-06 10:00:00,490623.0,3600.0,100.0,3.0,3.0,0.0
2022-03-07 06:00:00,630552.0,3600.0,100.0,1.0,1.0,0.0
2022-02-13 13:00:00,502249.0,3600.0,100.0,2.0,2.0,0.0
2022-03-14 18:00:00,607862.0,3600.0,100.0,2.0,2.0,0.0
2022-03-07 17:00:00,490656.0,3600.0,100.0,3.0,3.0,3.0
2022-02-19 12:00:00,502249.0,3600.0,100.0,2.0,2.0,0.0
2022-02-19 08:00:00,630555.0,3600.0,100.0,2.0,2.0,1.0
2022-02-19 12:00:00,630555.0,3600.0,100.0,2.0,2.0,0.0
2022-02-19 13:00:00,630546.0,3600.0,100.0,5.0,5.0,1.0
2022-02-19 16:00:00,630546.0,3600.0,100.0,5.0,5.0,1.0
2022-02-19 16:00:00,630479.0,3600.0,100.0,2.0,2.0,0.0
2022-02-19 16:00:00,532892.0,3600.0,100.0,2.0,2.0,1.0
2022-02-03 14:00:00,630467.0,3600.0,100.0,9.0,9.0,1.0
2022-03-07 19:00:00,532658.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 09:00:00,605855.0,3600.0,100.0,3.0,3.0,0.0
2022-03-15 14:00:00,630545.0,3600.0,100.0,10.0,10.0,0.0
2022-02-03 13:00:00,366888.0,3600.0,100.0,2.0,2.0,0.0
2022-03-10 16:00:00,630432.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 14:00:00,630445.0,3600.0,100.0,10.0,10.0,0.0
2022-03-10 18:00:00,630439.0,3600.0,100.0,10.0,11.0,1.0
2022-03-07 14:00:00,531648.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 11:00:00,630552.0,3600.0,100.0,38.0,38.0,4.0
2022-03-07 15:00:00,630515.0,3600.0,100.0,9.0,9.0,3.0
2022-03-14 18:00:00,574899.0,3600.0,100.0,1.0,1.0,0.0
2022-03-13 07:00:00,490656.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 11:00:00,630506.0,3600.0,100.0,5.0,6.0,2.0
2022-03-14 14:00:00,575008.0,3600.0,100.0,1.0,1.0,0.0
2022-03-07 18:00:00,356617.0,3600.0,100.0,1.0,1.0,1.0
2022-02-08 19:00:00,630409.0,3600.0,100.0,6.0,6.0,2.0
2022-02-04 21:00:00,506020.0,3600.0,100.0,1.0,1.0,1.0
2022-03-15 22:00:00,630561.0,3600.0,100.0,7.0,7.0,2.0
2022-03-10 17:00:00,574850.0,3600.0,100.0,1.0,1.0,1.0
2022-02-05 18:00:00,490656.0,3600.0,100.0,2.0,2.0,2.0
2022-03-10 09:00:00,630564.0,3600.0,100.0,7.0,7.0,1.0
2022-02-03 11:00:00,630515.0,3600.0,100.0,15.0,15.0,1.0
2022-02-06 09:00:00,630527.0,3600.0,100.0,1.0,1.0,0.0
2022-03-15 17:00:00,428659.0,3600.0,100.0,2.0,2.0,0.0
2022-03-14 13:00:00,630546.0,3600.0,100.0,4.0,5.0,4.0
2022-02-05 09:00:00,630432.0,3600.0,100.0,2.0,2.0,1.0
2022-03-14 17:00:00,630415.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 12:00:00,458364.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 09:00:00,630546.0,3600.0,100.0,4.0,4.0,0.0
2022-03-07 13:00:00,573643.0,3600.0,100.0,2.0,2.0,1.0
2022-03-10 20:00:00,630439.0,3600.0,100.0,42.0,42.0,1.0
2022-03-10 11:00:00,630505.0,3600.0,100.0,2.0,2.0,0.0
2022-03-12 16:00:00,630546.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 18:00:00,630562.0,3600.0,100.0,3.0,3.0,0.0
2022-02-03 11:00:00,532290.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 14:00:00,630527.0,3600.0,100.0,8.0,8.0,0.0
2022-02-06 14:00:00,630425.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 07:00:00,630426.0,3600.0,100.0,6.0,6.0,1.0
2022-03-13 21:00:00,630561.0,3600.0,100.0,13.0,13.0,2.0
2022-02-05 13:00:00,630502.0,3600.0,100.0,2.0,2.0,0.0
2022-02-03 15:00:00,532658.0,3600.0,100.0,3.0,3.0,1.0
2022-03-10 13:00:00,630515.0,3600.0,100.0,9.0,9.0,2.0
2022-02-08 19:00:00,630502.0,3600.0,100.0,1.0,1.0,0.0
2022-03-07 14:00:00,463205.0,3600.0,100.0,2.0,2.0,0.0
2022-02-04 14:00:00,532290.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 10:00:00,630445.0,3600.0,100.0,17.0,17.0,0.0
2022-03-07 19:00:00,630524.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 08:00:00,511336.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 12:00:00,490623.0,3600.0,100.0,4.0,4.0,0.0
2022-02-03 08:00:00,630545.0,3600.0,100.0,4.0,4.0,0.0
2022-02-06 23:00:00,630527.0,3600.0,100.0,1.0,1.0,0.0
2022-03-15 15:00:00,532659.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 16:00:00,630462.0,3600.0,100.0,2.0,2.0,0.0
2022-03-12 16:00:00,630540.0,3600.0,100.0,1.0,1.0,0.0
2022-03-07 22:00:00,630445.0,3600.0,100.0,1.0,1.0,0.0
2022-03-15 13:00:00,630468.0,3600.0,100.0,5.0,5.0,0.0
2022-03-14 14:00:00,630409.0,3600.0,100.0,1.0,1.0,1.0
2022-02-04 09:00:00,521029.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 13:00:00,630445.0,3600.0,100.0,24.0,24.0,1.0
2022-02-05 16:00:00,574878.0,3600.0,100.0,1.0,1.0,0.0
2022-03-14 20:00:00,630524.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 12:00:00,630426.0,3600.0,100.0,8.0,8.0,1.0
2022-02-05 16:00:00,630432.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 13:00:00,630439.0,3600.0,100.0,14.0,14.0,2.0
2022-02-03 11:00:00,490656.0,3600.0,100.0,1.0,2.0,2.0
2022-03-15 21:00:00,630467.0,3600.0,100.0,6.0,6.0,0.0
2022-03-07 13:00:00,493303.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 14:00:00,630555.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 09:00:00,490623.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 15:00:00,531648.0,3600.0,100.0,2.0,2.0,0.0
2022-03-10 19:00:00,630515.0,3600.0,100.0,7.0,7.0,0.0
2022-02-04 21:00:00,630562.0,3600.0,100.0,1.0,1.0,0.0
2022-03-11 22:00:00,630561.0,3600.0,100.0,10.0,10.0,1.0
2022-02-06 18:00:00,630561.0,3600.0,100.0,12.0,12.0,1.0
2022-03-11 22:00:00,630552.0,3600.0,100.0,3.0,3.0,1.0
2022-02-03 07:00:00,630502.0,3600.0,100.0,2.0,2.0,0.0
2022-03-12 11:00:00,574878.0,3600.0,100.0,2.0,2.0,0.0
2022-02-03 19:00:00,1594117.0,3600.0,100.0,1.0,1.0,1.0
2022-02-05 22:00:00,630515.0,3600.0,100.0,8.0,8.0,0.0
2022-03-10 12:00:00,630445.0,3600.0,100.0,12.0,12.0,1.0
2022-03-12 15:00:00,605855.0,3600.0,100.0,2.0,2.0,1.0
2022-03-07 10:00:00,600789.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 10:00:00,518043.0,3600.0,100.0,0.0,1.0,1.0
2022-02-05 17:00:00,463205.0,3600.0,100.0,4.0,4.0,0.0
2022-03-07 14:00:00,427766.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 19:00:00,490656.0,3600.0,100.0,2.0,2.0,1.0
2022-02-04 17:00:00,630552.0,3600.0,100.0,25.0,25.0,5.0
2022-03-12 22:00:00,630515.0,3600.0,100.0,3.0,3.0,1.0
2022-02-08 21:00:00,1594079.0,3600.0,100.0,1.0,1.0,1.0
2022-02-04 15:00:00,463205.0,3600.0,100.0,2.0,2.0,0.0
2022-03-15 10:00:00,630540.0,3600.0,100.0,4.0,4.0,1.0
2022-02-08 17:00:00,630562.0,3600.0,100.0,2.0,2.0,0.0
2022-03-06 20:00:00,550228.0,3600.0,100.0,1.0,1.0,1.0
2022-03-15 12:00:00,630467.0,3600.0,100.0,6.0,9.0,4.0
