begintime,sk_object,duration,integrity,M51300C0,M51300C1,M51300C2,M51300C3,M51300C4,M51300C5,M51300C6,M51300C7,M51300C8
2022-03-19,86668.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19,202.0,16.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,196.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,201.0,60.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,201.0,6.0,0.4166666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,207.0,13.0,0.9027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,197.0,6.0,0.4166666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,204.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,210.0,7.0,0.4861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,202.0,10.0,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,199.0,6.0,0.4166666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19,207.0,16.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,206.0,7.0,0.4861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,196.0,6.0,0.4166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19,86670.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,198.0,6.0,0.4166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,205.0,6.0,0.4166666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,207.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,209.0,6.0,0.4166666666666667,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,204.0,6.0,0.4166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,208.0,6.0,0.4166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,202.0,13.0,0.9027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,195.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,203.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,202.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,207.0,10.0,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,199.0,60.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,200.0,6.0,0.4166666666666667,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
