begintime,sk_object,duration,M8074C0,M8074C1,M8074C2,M8074C3
2022-03-15 06:58:00,6367.0,2,0.0,0.0,0.0,0.0
2022-03-17 02:53:00,6363.0,7,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,6364.0,6,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,6365.0,6,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,6368.0,6,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,6369.0,6,0.0,0.0,0.0,0.0
2022-03-17 02:54:00,6370.0,6,0.0,0.0,0.0,0.0
2022-03-17 02:55:00,6366.0,5,0.0,0.0,0.0,0.0
2022-03-18 18:00:00,6364.0,15,0.0,0.0,0.0,0.0
2022-03-18 18:15:00,6364.0,15,0.0,0.0,0.0,0.0
2022-03-18 18:30:00,6364.0,15,0.0,0.0,0.0,0.0
2022-03-18 18:45:00,6364.0,15,0.0,0.0,0.0,0.0
2022-03-19 06:56:00,87738.0,4,0.0,0.0,0.0,0.0
2022-03-19 13:46:00,6367.0,14,0.0,0.0,0.0,0.0
2022-03-19 16:58:00,6367.0,2,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,6367.0,13,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,6370.0,5,0.0,0.0,0.0,0.0
2022-03-12 06:50:00,6367.0,10,0.0,0.0,0.0,0.0
