begintime,sk_object,duration,integrity,1277069417,1277069419,1277069420,1277069421,1277069422,1277069423,1282411682,1282411683,1282436789,1282436790,1282438921,1282459444
2022-03-06,326501.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5234835.0,1.0,0.0,
2022-03-10,326501.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4695380.0,1.0,0.0,
2022-03-11,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5199722.0,0.0,0.0,
2022-03-09,326501.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156285.0,1.0,0.0,
2022-02-12,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4867784.0,2.0,0.0,
2022-02-08,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4782498.0,1.0,0.0,
2022-03-02,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4781474.0,2.0,0.0,
2022-02-05,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4850876.0,5.0,0.0,
2022-02-11,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833895.0,2.0,0.0,
2022-03-03,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4963982.0,1.0,0.0,
2022-02-04,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4956700.0,1.0,0.0,
2022-03-07,326501.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4834924.0,2.0,0.0,
2022-02-20,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4893029.0,1.0,0.0,
2022-02-06,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5038749.0,2.0,0.0,
2022-02-03,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4731758.0,0.0,0.0,
2022-03-13,326501.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4481718.0,1.0,0.0,
2022-02-10,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4815873.0,1.0,0.0,
2022-02-17,326501.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4490493.0,1.0,0.0,
2022-02-13,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5055210.0,1.0,0.0,
2022-02-19,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4823474.0,0.0,0.0,
2022-03-12,326501.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4866367.0,5.0,0.0,
2022-03-01,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4969322.0,1.0,0.0,
2022-03-14,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4347032.0,2.0,0.0,
2022-02-18,326501.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4677137.0,0.0,0.0,
2022-03-15,326501.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4356169.0,4.0,0.0,
