begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.UL,L.Thrp.Time.Cell.UL.HighPrecision
2022-03-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,153496441216.0,25908099.0
2022-03-06,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,91.66666666666667,90287835256.0,18378953.0
2022-03-07,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,95753518584.0,22700215.0
2022-03-09,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,4.166666666666667,2930932312.0,1121252.0
2022-03-10,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,95.83333333333333,69553401488.0,19859444.0
2022-03-11,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,60165881984.0,19071520.0
2022-03-12,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,79.16666666666667,54534072528.0,20111600.0
2022-03-14,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,63692402208.0,16146484.0
2022-03-13,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,87.5,39366632032.0,12048024.0
2022-03-15,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=1, Cell Name=4G_DILLET-1, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,51175965416.0,16351450.0
2022-02-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,8902311392.0,2267410.0
2022-02-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,95.83333333333333,5067650280.0,1288308.0
2022-02-04,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,2226050816.0,882855.0
2022-02-06,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,4863237872.0,1499509.0
2022-02-05,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,3982180128.0,1123573.0
2022-02-11,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,5614606672.0,2158191.0
2022-02-10,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,2799970152.0,1276415.0
2022-02-08,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,3217770616.0,1148862.0
2022-02-12,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,2476446640.0,1550874.0
2022-02-17,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,87.5,8721117224.0,2519505.0
2022-02-13,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=1, Cell Name=4G_MOKABA-1, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,default,100.0,5663141152.0,1913984.0
