begintime,ne_name,ne_type,vendor,integrity,4G Traffic ,sum_L.Thrp.bits.DL,sum_PDCP_SDU_VOL_DL,id
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II, Local Cell ID=7, Cell Name=4G_ALLENTOWN_II-7, eNodeB ID=5034, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,52269.088,418152703720.0,0,21
2022-02-02,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II, Local Cell ID=8, Cell Name=4G_ALLENTOWN_II-8, eNodeB ID=5034, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,72033.174,576265390888.0,0,22
2022-02-02,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=1, Cell Name=4G_BAOMAHUN-1, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,11690.062,93520495696.0,0,23
2022-02-02,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=2, Cell Name=4G_BAOMAHUN-2, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,607.059,4856474232.0,0,24
2022-02-02,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=3, Cell Name=4G_BAOMAHUN-3, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,824.414,6595308360.0,0,25
2022-02-02,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II, Local Cell ID=1, Cell Name=4G_BARGBORHILL_II-1, eNodeB ID=5042, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,48458.514,387668113648.0,0,26
2022-02-02,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II, Local Cell ID=2, Cell Name=4G_BARGBORHILL_II-2, eNodeB ID=5042, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,36093.211,288745691984.0,0,27
2022-02-02,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II, Local Cell ID=3, Cell Name=4G_BARGBORHILL_II-3, eNodeB ID=5042, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,97219.395,777755156832.0,0,28
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI, Local Cell ID=1, Cell Name=4G_BINTUMANI-1, eNodeB ID=5006, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,32567.255,260538043592.0,0,29
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI, Local Cell ID=2, Cell Name=4G_BINTUMANI-2, eNodeB ID=5006, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,17480.368,139842947928.0,0,30
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI, Local Cell ID=3, Cell Name=4G_BINTUMANI-3, eNodeB ID=5006, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,41147.855,329182840400.0,0,31
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI, Local Cell ID=6, Cell Name=4G_BINTUMANI-6, eNodeB ID=5006, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,66148.083,529184660960.0,0,32
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI, Local Cell ID=7, Cell Name=4G_BINTUMANI-7, eNodeB ID=5006, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,145553.777,1164430212080.0,0,33
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II, Local Cell ID=1, Cell Name=4G_BLACKHALLROAD_II-1, eNodeB ID=5028, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,106262.222,850097777344.0,0,34
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II, Local Cell ID=2, Cell Name=4G_BLACKHALLROAD_II-2, eNodeB ID=5028, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,98204.905,785639239808.0,0,35
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II, Local Cell ID=3, Cell Name=4G_BLACKHALLROAD_II-3, eNodeB ID=5028, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,126391.666,1011133327168.0,0,36
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II, Local Cell ID=7, Cell Name=4G_BLACKHALLROAD_II-7, eNodeB ID=5028, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,90516.087,724128698120.0,0,37
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=1, Cell Name=4G_BONTHE-1, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1082.272,8658175056.0,0,38
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=2, Cell Name=4G_BONTHE-2, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1790.808,14326461280.0,0,39
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=3, Cell Name=4G_BONTHE-3, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,300.643,2405145464.0,0,40
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=1, Cell Name=4G_BOTOWN-1, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,88926.506,711412051080.0,0,41
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=2, Cell Name=4G_BOTOWN-2, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,44622.892,356983133568.0,0,42
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=3, Cell Name=4G_BOTOWN-3, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,40304.846,322438768816.0,0,43
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=6, Cell Name=4G_BOTOWN-6, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,71849.37,574794960000.0,0,44
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=7, Cell Name=4G_BOTOWN-7, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,30943.943,247551542752.0,0,45
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=8, Cell Name=4G_BOTOWN-8, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,6437.869,51502955760.0,0,46
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=1, Cell Name=4G_BYRNELANECOLLIGATE-1, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,63801.671,510413366056.0,0,47
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=2, Cell Name=4G_BYRNELANECOLLIGATE-2, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,44247.769,353982148520.0,0,48
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=3, Cell Name=4G_BYRNELANECOLLIGATE-3, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,63732.545,509860361088.0,0,49
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=6, Cell Name=4G_BYRNELANECOLLIGATE-6, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,49956.884,399655072472.0,0,50
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=7, Cell Name=4G_BYRNELANECOLLIGATE-7, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,82814.966,662519725600.0,0,51
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=8, Cell Name=4G_BYRNELANECOLLIGATE-8, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,62421.07,499368557480.0,0,52
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD, Local Cell ID=1, Cell Name=4G_CITYROAD-1, eNodeB ID=5040, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,143642.068,1149136547152.0,0,53
