begintime,ne_name,ne_type,vendor,integrity,VS.RRC.Rej.Sum,VS.RAB.AttEstab.AMR,id
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,515.0,37
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,576.0,38
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,333.0,39
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,886.0,40
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,690.0,41
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,308.0,42
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,441.0,43
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,928.0,44
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,656.0,45
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,500.0,46
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,366.0,47
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1049.0,48
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,647.0,49
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,435.0,50
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,452.0,51
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1017.0,52
2022-02-20,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,457.0,53
2022-02-20,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,679.0,54
2022-02-20,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,399.0,55
2022-02-20,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1074.0,56
2022-03-01,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,718.0,57
2022-03-01,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,398.0,58
2022-03-01,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,400.0,59
2022-03-01,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,913.0,60
2022-03-02,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,590.0,61
2022-03-02,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,374.0,62
2022-03-02,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,334.0,63
2022-03-02,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,743.0,64
2022-03-03,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,1.0,639.0,65
2022-03-03,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,479.0,66
2022-03-03,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,392.0,67
2022-03-03,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1023.0,68
2022-03-06,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,475.0,69
2022-03-06,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,1.0,581.0,70
2022-03-06,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,389.0,71
2022-03-06,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,1072.0,72
2022-03-07,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,3.0,697.0,73
2022-03-07,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,9.0,362.0,74
2022-03-07,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,334.0,75
2022-03-07,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,1039.0,76
2022-03-09,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,4.17,0.0,9.0,77
2022-03-09,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,4.17,0.0,14.0,78
2022-03-09,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,4.17,0.0,11.0,79
2022-03-09,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,4.17,0.0,24.0,80
2022-03-10,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,763.0,81
2022-03-10,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,19.0,340.0,82
2022-03-10,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,1.0,382.0,83
2022-03-10,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,970.0,84
