begintime,sk_object,duration,M51375C0,M51375C1,M51375C2,M51375C3,M51375C4,M51375C5,M51375C6,M51375C7,M51375C8,M51375C9,M51375C10,M51375C11,M51375C12,M51375C13,M51375C14,M51375C15
2022-03-11 00:00:00,15924.0,15,6122228.0,67228.0,54242.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15925.0,15,0.0,0.0,58270.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090835.0,15070.0
2022-03-11 00:00:00,15926.0,15,0.0,0.0,54116.0,696.0,0.0,0.0,0.0,0.0,348.0,7.0,0.0,0.0,0.0,0.0,1256542410.0,1027522.0
2022-03-11 00:00:00,15927.0,15,0.0,0.0,53922.0,693.0,0.0,0.0,0.0,0.0,2152232.0,2235.0,0.0,0.0,0.0,0.0,4669106837.0,4119993.0
2022-03-11 00:00:00,15928.0,15,0.0,0.0,54116.0,696.0,0.0,0.0,212582.0,291.0,2444671.0,2591.0,0.0,0.0,0.0,0.0,3935993820.0,3335077.0
2022-03-11 00:00:00,15929.0,15,0.0,0.0,58292.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090200.0,15058.0
2022-03-11 00:00:00,15930.0,15,0.0,0.0,54644.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090988.0,15071.0
2022-03-11 00:00:00,15931.0,15,11120008.0,122411.0,53888.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15932.0,15,3477432.0,39672.0,76482.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15933.0,15,7051932.0,78830.0,54002.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15934.0,15,0.0,0.0,54656.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092357.0,15089.0
2022-03-11 00:00:00,15935.0,15,10442708.0,114812.0,54516.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15936.0,15,0.0,0.0,54162.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122485072.0,107216.0
2022-03-11 00:00:00,15937.0,15,12035556.0,136510.0,213962.0,1711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,9.0
2022-03-11 00:00:00,15938.0,15,0.0,0.0,54147.0,696.0,0.0,0.0,0.0,0.0,8480.0,30.0,0.0,0.0,0.0,0.0,630351629.0,522358.0
2022-03-11 00:00:00,15939.0,15,0.0,0.0,54610.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086361.0,14981.0
2022-03-11 00:00:00,15940.0,15,0.0,0.0,55044.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089828.0,15055.0
2022-03-11 00:00:00,15941.0,15,0.0,0.0,54036.0,695.0,0.0,0.0,0.0,0.0,107528.0,173.0,0.0,0.0,0.0,0.0,625242409.0,542356.0
2022-03-11 00:00:00,15942.0,15,0.0,0.0,54356.0,699.0,0.0,0.0,0.0,0.0,590868.0,690.0,0.0,0.0,0.0,0.0,2701866309.0,2275625.0
2022-03-11 00:00:00,15943.0,15,0.0,0.0,58178.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085905.0,14975.0
2022-03-11 00:00:00,15944.0,15,0.0,0.0,53488.0,687.0,0.0,0.0,0.0,0.0,312.0,6.0,0.0,0.0,0.0,0.0,1985675982.0,1666489.0
2022-03-11 00:00:00,15945.0,15,0.0,0.0,54002.0,694.0,0.0,0.0,36.0,1.0,385342.0,421.0,0.0,0.0,0.0,0.0,1326350797.0,1100666.0
2022-03-11 00:00:00,15946.0,15,0.0,0.0,54854.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091833.0,15078.0
2022-03-11 00:00:00,15947.0,15,0.0,0.0,54162.0,696.0,0.0,0.0,0.0,0.0,299679.0,340.0,0.0,0.0,0.0,0.0,1599878827.0,1332468.0
2022-03-11 00:00:00,15948.0,15,0.0,0.0,53842.0,692.0,0.0,0.0,0.0,0.0,563244.0,612.0,0.0,0.0,0.0,0.0,5130302128.0,4822747.0
2022-03-11 00:00:00,15949.0,15,0.0,0.0,54242.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086277.0,14979.0
2022-03-11 00:00:00,15950.0,15,4030276.0,45934.0,54402.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15951.0,15,0.0,0.0,53362.0,686.0,0.0,0.0,49018.0,271.0,2520190.0,2608.0,0.0,0.0,0.0,0.0,4201555251.0,3446847.0
2022-03-11 00:15:00,15895.0,15,0.0,0.0,54436.0,700.0,0.0,0.0,0.0,0.0,1956498.0,2344.0,0.0,0.0,0.0,0.0,2707824482.0,2323179.0
2022-03-11 00:15:00,15896.0,15,0.0,0.0,57782.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062735.0,14628.0
2022-03-11 00:15:00,15897.0,15,9773864.0,108997.0,54242.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15898.0,15,0.0,0.0,54242.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244570001.0,199485.0
2022-03-11 00:15:00,15899.0,15,0.0,0.0,54402.0,699.0,0.0,0.0,0.0,0.0,1635820.0,1823.0,0.0,0.0,0.0,0.0,4816929320.0,4191136.0
2022-03-11 00:15:00,15900.0,15,4063172.0,45115.0,55804.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15901.0,15,5857040.0,64500.0,54196.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15902.0,15,5126260.0,58269.0,76942.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15903.0,15,7352516.0,81110.0,72056.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15904.0,15,0.0,0.0,54770.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077742.0,14834.0
2022-03-11 00:15:00,15905.0,15,0.0,0.0,54242.0,697.0,0.0,0.0,160.0,2.0,1130832.0,1124.0,0.0,0.0,0.0,0.0,3105469964.0,2667514.0
2022-03-11 00:15:00,15906.0,15,0.0,0.0,56628.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079083.0,14852.0
2022-03-11 00:15:00,15907.0,15,0.0,0.0,53796.0,692.0,0.0,0.0,0.0,0.0,55236.0,49.0,0.0,0.0,0.0,0.0,1729096609.0,1412757.0
2022-03-11 00:15:00,15908.0,15,0.0,0.0,57950.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066810.0,14683.0
2022-03-11 00:15:00,15909.0,15,0.0,0.0,54276.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078775.0,14848.0
2022-03-11 00:15:00,15910.0,15,2189140.0,24656.0,76688.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15911.0,15,0.0,0.0,54850.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078607.0,14846.0
2022-03-11 00:15:00,15912.0,15,4460244.0,51156.0,76674.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15913.0,15,7924552.0,87481.0,54162.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
