begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-17,2727.0,5.0,0.3472222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19,87566.0,4.0,0.2777777777777778,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-17,2749.0,5.0,0.3472222222222222,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2743.0,7.0,0.4861111111111111,35.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,2750.0,10.0,0.6944444444444444,96.0,2.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0
2022-03-11,2722.0,13.0,0.9027777777777778,500.0,7.0,0.0,13.0,0.0,0.0,0.0,14.0,0.0
2022-03-12,2751.0,10.0,0.6944444444444444,313.0,8.0,0.0,13.0,0.0,0.0,0.0,20.0,0.0
2022-03-12,2718.0,10.0,0.6944444444444444,42.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
2022-03-12,2723.0,5.0,0.3472222222222222,41.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2719.0,6.0,0.4166666666666667,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2753.0,7.0,0.4861111111111111,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11,2744.0,13.0,0.9027777777777778,344.0,9.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0
2022-03-17,2712.0,6.0,0.4166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2729.0,6.0,0.4166666666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,2736.0,5.0,0.3472222222222222,39.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
2022-03-17,2731.0,5.0,0.3472222222222222,37.0,20.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2715.0,6.0,0.4166666666666667,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2713.0,6.0,0.4166666666666667,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2732.0,6.0,0.4166666666666667,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-17,2740.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,2750.0,13.0,0.9027777777777778,265.0,9.0,0.0,24.0,0.0,0.0,0.0,36.0,0.0
