begintime,sk_object,1279470420,1279470421,1279470417,1279470418,1279470419,1279470422,1279470423,duration
2022-03-02 15:00:00,627072.0,11908177304.0,33355436943.0,69340287.0,82124679.0,0.0,18747300.0,52168625.0,PT3600S
2022-03-02 17:00:00,627072.0,12648536901.0,35023520296.0,73586312.0,86595943.0,0.0,19324135.0,53067654.0,PT3600S
2022-03-02 18:00:00,627072.0,13689540928.0,36913225012.0,80175853.0,93168914.0,0.0,20461516.0,56578149.0,PT3600S
2022-03-02 19:00:00,627072.0,15465624600.0,37703881469.0,93570427.0,102229395.0,0.0,24014931.0,57397496.0,PT3600S
2022-03-02 20:00:00,627072.0,16935621547.0,37270070865.0,105340856.0,108506458.0,0.0,25199996.0,55891596.0,PT3600S
2022-03-02 21:00:00,627072.0,18321676056.0,42068218340.0,110984151.0,117145149.0,0.0,27931851.0,67880891.0,PT3600S
2022-03-02 22:00:00,627072.0,19294599346.0,51792013844.0,110040172.0,127606388.0,0.0,28801131.0,78223728.0,PT3600S
2022-03-02 23:00:00,627072.0,13760838329.0,45977144437.0,74753878.0,99580285.0,0.0,24909795.0,75275585.0,PT3600S
2022-03-03 00:00:00,627072.0,8174218960.0,31374813086.0,44351870.0,64001454.0,0.0,15648575.0,57692166.0,PT3600S
2022-03-03 01:00:00,627072.0,3868635318.0,15749099538.0,21699177.0,31447357.0,0.0,7993908.0,31632803.0,PT3600S
2022-03-03 02:00:00,627072.0,2390286555.0,10293540303.0,14391101.0,20440403.0,0.0,4429601.0,19081843.0,PT3600S
2022-03-03 04:00:00,627072.0,1919753547.0,7945619155.0,11413426.0,16176261.0,0.0,3619665.0,13017382.0,PT3600S
2022-03-03 05:00:00,627072.0,2269432330.0,9668485609.0,13422292.0,19378335.0,0.0,4254669.0,17239207.0,PT3600S
2022-03-03 06:00:00,627072.0,4079637452.0,17429541368.0,23124948.0,33726322.0,0.0,9008543.0,35734089.0,PT3600S
2022-03-03 07:00:00,627072.0,7927668357.0,27412220734.0,44353251.0,59283505.0,0.0,13600836.0,41926055.0,PT3600S
