begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.Cell.DL.HighPrecision,VS.RAB.AttEstab.AMR,VS.RAB.SuccEstabCS.AMR,VS.RAB.AbnormRel.AMR,VS.HSDPA.MeanChThroughput.TotalBytes,VS.RAB.NormRel.AMR
2022-03-07,4G_MOKABA/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,47242785496.0,2129332.0,,,,,
2022-03-11,4G_MOKABA/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,9899474336.0,494847.0,,,,,
2022-03-13,4G_MOKABA/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,87.5,9251435528.0,415119.0,,,,,
2022-03-15,4G_MOKABA/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,55569364280.0,2046525.0,,,,,
2022-02-02,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,95.83333333333333,863887913384.0,53222262.0,,,,,
2022-02-04,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,913641672568.0,54531744.0,,,,,
2022-02-05,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,925190115624.0,55707483.0,,,,,
2022-02-08,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,823042527048.0,48438979.0,,,,,
2022-02-11,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,927329415992.0,55072171.0,,,,,
2022-02-13,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,1033948884880.0,59413198.0,,,,,
2022-02-18,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,968813523008.0,57008134.0,,,,,
2022-02-19,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,926252228904.0,54062832.0,,,,,
2022-03-01,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,913134977864.0,53621405.0,,,,,
2022-03-02,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,884664533024.0,51691489.0,,,,,
2022-03-06,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,91.66666666666667,909645495912.0,54082984.0,,,,,
2022-03-09,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,4.166666666666667,58635337224.0,3220383.0,,,,,
2022-03-10,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,95.83333333333333,831062736408.0,46774660.0,,,,,
2022-03-12,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,79.16666666666667,795682936368.0,44910090.0,,,,,
2022-03-14,4G_ALLENTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,787632514528.0,42838765.0,,,,,
2022-02-02,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,95.83333333333333,127150860024.0,5615490.0,,,,,
2022-02-04,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,191703789656.0,8463044.0,,,,,
2022-02-05,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,188886708504.0,8839487.0,,,,,
2022-02-08,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,181962531128.0,8760917.0,,,,,
2022-02-11,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,183382700360.0,6783072.0,,,,,
2022-02-13,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,187222301768.0,9883165.0,,,,,
2022-02-18,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,138989721136.0,7296883.0,,,,,
2022-02-19,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,163256544328.0,7890302.0,,,,,
2022-03-01,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,197628882144.0,8142571.0,,,,,
2022-03-02,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,201319650440.0,7993396.0,,,,,
2022-03-06,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,91.66666666666667,227578018776.0,9473739.0,,,,,
2022-03-09,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,4.166666666666667,22154811120.0,748070.0,,,,,
2022-03-10,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,95.83333333333333,181719436456.0,7975474.0,,,,,
2022-03-12,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,79.16666666666667,202373504992.0,8350865.0,,,,,
2022-03-14,4G_SUSSEX_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,140158168760.0,5915290.0,,,,,
2022-02-02,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,95.83333333333333,903349963256.0,34358906.0,,,,,
2022-02-04,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,1015630382184.0,37787732.0,,,,,
2022-02-05,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,951714300080.0,36497291.0,,,,,
2022-02-08,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,901644041408.0,36713351.0,,,,,
2022-02-11,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,984153888792.0,42838483.0,,,,,
2022-02-13,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,1027400259600.0,37716201.0,,,,,
2022-02-18,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,1120814947160.0,49866209.0,,,,,
2022-02-19,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,1107509346816.0,46026004.0,,,,,
2022-03-01,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,823244405496.0,41427894.0,,,,,
2022-03-02,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,1018537989416.0,46572969.0,,,,,
2022-03-06,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,91.66666666666667,821736014728.0,37180446.0,,,,,
2022-03-09,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,4.166666666666667,77188899648.0,2914994.0,,,,,
2022-03-10,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,95.83333333333333,1098586474536.0,47284608.0,,,,,
2022-03-12,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,79.16666666666667,814827347592.0,36390584.0,,,,,
2022-03-14,4G_KENEMATOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808675.0,dynamic,100.0,1118900991824.0,49147781.0,,,,,
2022-02-03,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,482791871464.0,40565069.0,,,,,
2022-02-06,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,517951552280.0,39238993.0,,,,,
2022-02-10,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,492809845648.0,41781682.0,,,,,
2022-02-12,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,557254621480.0,40624210.0,,,,,
2022-02-17,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,87.5,552684789696.0,45125346.0,,,,,
2022-02-20,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,549506079232.0,45944317.0,,,,,
2022-03-03,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,522946800080.0,49155603.0,,,,,
2022-03-07,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,469252981320.0,39930052.0,,,,,
2022-03-11,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,580529857416.0,49098887.0,,,,,
2022-03-13,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,87.5,413344641920.0,36628182.0,,,,,
2022-03-15,4G_DUKESTREET_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808676.0,dynamic,100.0,486614827848.0,38041258.0,,,,,
2022-02-03,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1501562519144.0,77331505.0,,,,,
2022-02-06,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1480728763784.0,75492342.0,,,,,
2022-02-10,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1573140937232.0,77824296.0,,,,,
2022-02-12,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1220606872176.0,64295894.0,,,,,
2022-02-17,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,87.5,1211704198392.0,63611048.0,,,,,
2022-02-20,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1375037590944.0,74370973.0,,,,,
2022-03-03,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1441121349064.0,76924281.0,,,,,
2022-03-07,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1422673099304.0,76725001.0,,,,,
2022-03-11,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1194313517600.0,66943019.0,,,,,
2022-03-13,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,87.5,1083244603232.0,58556939.0,,,,,
2022-03-15,4G_KISSYROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808678.0,dynamic,100.0,1009932581560.0,65129054.0,,,,,
2022-02-03,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,233723440984.0,11863435.0,,,,,
2022-02-06,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,357570042408.0,14912869.0,,,,,
2022-02-10,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,315910030000.0,14558968.0,,,,,
2022-02-12,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,465105666360.0,20642406.0,,,,,
2022-02-17,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,87.5,312110473696.0,13357576.0,,,,,
2022-02-20,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,358404249608.0,16198495.0,,,,,
2022-03-03,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,344969159480.0,17177234.0,,,,,
2022-03-07,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,228314879824.0,11701043.0,,,,,
2022-03-11,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,285204699936.0,12696277.0,,,,,
2022-03-13,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,87.5,291170311448.0,11359093.0,,,,,
2022-03-15,4G_DUNDASTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808679.0,dynamic,100.0,315808904552.0,13517481.0,,,,,
2022-02-03,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,453130671896.0,20114403.0,,,,,
2022-02-06,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,491039203848.0,19869541.0,,,,,
2022-02-17,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,87.5,767031000184.0,28451033.0,,,,,
2022-02-20,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,681510188768.0,31946375.0,,,,,
2022-03-03,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,997274788152.0,43281367.0,,,,,
2022-03-07,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,837405535304.0,34931258.0,,,,,
2022-03-11,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,716698009144.0,32433168.0,,,,,
2022-03-13,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,87.5,605782547424.0,25913243.0,,,,,
2022-03-15,4G_KENNEDYSTREET/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808680.0,dynamic,100.0,683500214344.0,28353665.0,,,,,
2022-02-03,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1358145568328.0,47536138.0,,,,,
2022-02-06,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1193697878296.0,42939448.0,,,,,
2022-02-10,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1295565545960.0,51182505.0,,,,,
2022-02-12,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1449661979800.0,51566448.0,,,,,
2022-02-17,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,87.5,1253770023352.0,48807386.0,,,,,
2022-02-20,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1458564972976.0,52490940.0,,,,,
2022-03-03,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1495998817400.0,54425525.0,,,,,
2022-03-07,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1391919691944.0,54035986.0,,,,,
2022-03-11,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1392841237208.0,55074790.0,,,,,
2022-03-13,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,87.5,1142691818648.0,44956880.0,,,,,
2022-03-15,4G_DAMAROAD/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808687.0,dynamic,100.0,1442476483648.0,55307317.0,,,,,
2022-02-02,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,95.83333333333333,377851217656.0,29054932.0,,,,,
2022-02-04,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,405212919688.0,28799773.0,,,,,
2022-02-05,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,337584235624.0,23428763.0,,,,,
2022-02-08,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,356514278232.0,28847892.0,,,,,
2022-02-11,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,449697681320.0,37733175.0,,,,,
2022-02-13,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,276027729088.0,21093523.0,,,,,
2022-02-18,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,494438374952.0,33000062.0,,,,,
2022-02-19,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,482226754008.0,35710899.0,,,,,
2022-03-01,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,583295378544.0,45116932.0,,,,,
2022-03-02,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,508825959312.0,44310477.0,,,,,
2022-03-06,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,91.66666666666667,252701257120.0,21903729.0,,,,,
2022-03-09,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,4.166666666666667,14840514416.0,896723.0,,,,,
2022-03-10,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,95.83333333333333,462997311064.0,37090852.0,,,,,
2022-03-12,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,79.16666666666667,433540782760.0,37375751.0,,,,,
2022-03-14,4G_ROCKELBANK/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808688.0,dynamic,100.0,453241169376.0,36305018.0,,,,,
2022-02-03,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,594617814104.0,27407115.0,,,,,
2022-02-06,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,278778054632.0,13453710.0,,,,,
2022-02-10,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,661102926616.0,32479944.0,,,,,
2022-02-12,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,487870704792.0,21953876.0,,,,,
2022-02-17,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,87.5,501714324392.0,22592952.0,,,,,
2022-02-20,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,442051598872.0,19012307.0,,,,,
2022-03-03,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,451894889984.0,20983570.0,,,,,
2022-03-07,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,528834598816.0,28997055.0,,,,,
2022-03-11,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,589165897824.0,28935571.0,,,,,
2022-03-13,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,87.5,388454820608.0,17170265.0,,,,,
2022-03-15,4G_SWISSHOTEL/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808689.0,dynamic,100.0,585373798608.0,28980374.0,,,,,
2022-02-02,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,95.83333333333333,462016273096.0,17306016.0,,,,,
2022-02-04,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,748197028568.0,25067905.0,,,,,
2022-02-05,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,751308855104.0,28303499.0,,,,,
2022-02-08,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,509886428032.0,17479899.0,,,,,
2022-02-11,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,679831792536.0,21468514.0,,,,,
2022-02-13,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,787224698936.0,26558231.0,,,,,
2022-02-18,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,639849553032.0,23461939.0,,,,,
2022-02-19,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,641427438992.0,22373905.0,,,,,
2022-03-01,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,556410498560.0,27258118.0,,,,,
2022-03-02,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,100.0,608804580960.0,29888994.0,,,,,
2022-03-06,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,91.66666666666667,658683719864.0,27432856.0,,,,,
2022-03-09,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,4.166666666666667,35361376464.0,1322104.0,,,,,
2022-03-10,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,95.83333333333333,483846495864.0,20275481.0,,,,,
2022-03-12,4G_MARJAYTOWN_II/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808690.0,dynamic,79.16666666666667,629378160944.0,25239883.0,,,,,
2022-02-03,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,100.0,672049925016.0,40501044.0,,,,,
2022-02-06,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,100.0,663600847640.0,40441353.0,,,,,
2022-02-10,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,100.0,582492414048.0,37651340.0,,,,,
2022-02-12,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,100.0,586088058960.0,36984852.0,,,,,
2022-02-17,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,87.5,566503840272.0,34252578.0,,,,,
2022-02-20,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,100.0,718636821008.0,47077421.0,,,,,
2022-03-03,4G_CONGOTOWN/,Huawei,eNodeB(4G) : Measurement of Cell Performance,808691.0,dynamic,100.0,569636110256.0,37422344.0,,,,,
