begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-03-13,7732718.0,75600.0,87.5,0.0,9.0,6.666666666666667,0.0,,,,
2022-03-06,7732709.0,79200.0,91.66666666666667,0.0,8.0,5.909090909090909,0.0,,,,
2022-02-10,7732705.0,86400.0,100.0,0.0,18.0,1.0,0.0,,,,
2022-02-13,7732683.0,86400.0,100.0,0.0,11.0,7.333333333333333,0.0,,,,
2022-02-08,7732618.0,86400.0,100.0,0.0,7.0,4.75,0.0,,,,
2022-02-04,7732722.0,86400.0,100.0,0.0,9.0,6.541666666666667,0.0,,,,
2022-02-12,7732634.0,86400.0,100.0,0.0,13.0,5.125,0.0,,,,
2022-03-14,7732620.0,86400.0,100.0,0.0,6.0,3.875,0.0,,,,
2022-03-15,7732705.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-10,7732701.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-11,7732612.0,86400.0,100.0,0.0,7.0,1.875,0.0,,,,
2022-03-06,7732741.0,79200.0,91.66666666666667,0.0,5.0,1.0,0.0,,,,
2022-03-06,7732753.0,79200.0,91.66666666666667,0.0,13.0,8.454545454545455,0.0,,,,
2022-02-05,7732611.0,86400.0,100.0,0.0,4.0,1.0,0.0,,,,
2022-02-03,7732737.0,86400.0,100.0,0.0,14.0,4.833333333333333,0.0,,,,
2022-02-19,7732689.0,86400.0,100.0,0.0,4.0,1.0,0.0,,,,
2022-03-11,7732577.0,86400.0,100.0,0.0,8.0,1.0,0.0,,,,
2022-02-12,7732733.0,86400.0,100.0,0.0,6.0,4.0,0.0,,,,
2022-02-05,7732761.0,86400.0,100.0,0.0,7.0,1.7083333333333333,0.0,,,,
2022-03-15,7732626.0,86400.0,100.0,0.0,8.0,5.666666666666667,0.0,,,,
2022-02-17,7732581.0,75600.0,87.5,0.0,7.0,4.904761904761905,0.0,,,,
2022-03-06,7732750.0,79200.0,91.66666666666667,0.0,7.0,5.045454545454546,0.0,,,,
2022-02-19,7732583.0,86400.0,100.0,0.0,11.0,7.708333333333333,0.0,,,,
2022-02-03,7732625.0,86400.0,100.0,0.0,9.0,6.208333333333333,0.0,,,,
2022-02-03,7732585.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-03-11,7732585.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-04,7732575.0,86400.0,100.0,0.0,8.0,5.5,0.0,,,,
2022-03-15,7732708.0,86400.0,100.0,0.0,16.0,6.416666666666667,0.0,,,,
2022-03-12,7732692.0,68400.0,79.16666666666667,0.0,8.0,2.263157894736842,0.0,,,,
2022-03-07,7732628.0,86400.0,100.0,0.0,7.0,4.125,0.0,,,,
2022-02-13,7732735.0,86400.0,100.0,0.0,11.0,8.25,0.0,,,,
2022-03-12,7732571.0,68400.0,79.16666666666667,0.0,6.0,1.4736842105263157,0.0,,,,
2022-02-08,7732633.0,86400.0,100.0,0.0,9.0,5.791666666666667,0.0,,,,
2022-02-05,7732664.0,86400.0,100.0,0.0,12.0,8.583333333333334,0.0,,,,
2022-02-11,7732605.0,86400.0,100.0,0.0,27.0,16.541666666666668,0.0,,,,
2022-02-13,7732625.0,86400.0,100.0,0.0,10.0,6.625,0.0,,,,
2022-03-12,7732667.0,68400.0,79.16666666666667,0.0,8.0,5.894736842105263,0.0,,,,
2022-02-06,7732681.0,86400.0,100.0,0.0,41.0,4.625,0.0,,,,
2022-03-12,7732678.0,43200.0,50.0,0.0,40.0,5.083333333333333,0.0,,,,
2022-03-15,7732584.0,86400.0,100.0,0.0,7.0,4.583333333333333,0.0,,,,
2022-02-10,7732662.0,86400.0,100.0,0.0,18.0,7.916666666666667,0.0,,,,
