begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,ifInOctets,ifInPackets,ifOutOctets,ifOutPackets,ifInErrors,ifOutFragPackets,ifOutFragments,ifInMCastPackets,ifInMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifInDiscardedMCastPackets,ifInDiscardedMCastOctets,ifOutDroppedPackets,ifOutDroppedOctets
2022-03-12,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",247.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.6944444444444444,501051.0,6935.0,1800142.0,1401.0,0.0,0.0,0.0,276.0,21528.0,0.0,0.0,276.0,21528.0,0.0,0.0
2022-03-17,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",248.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,117575793.0,94402.0,6210728.0,44057.0,0.0,0.0,0.0,292.0,22716.0,0.0,0.0,292.0,22716.0,0.0,0.0
2022-03-17,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",249.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,2295022.0,39687.0,81819395.0,55287.0,0.0,1.0,1.0,269.0,20922.0,0.0,0.0,269.0,20922.0,0.0,0.0
2022-03-17,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",250.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,401821.0,1475.0,398148.0,1491.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0
2022-03-17,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",251.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,140509179.0,171842.0,56889208.0,138435.0,0.0,0.0,0.0,287.0,22316.0,0.0,0.0,287.0,22316.0,0.0,0.0
2022-03-18,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",252.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,4.166666666666667,11897582.0,129651.0,3198332.0,65834.0,0.0,0.0,0.0,2756.0,214454.0,0.0,0.0,2756.0,214454.0,0.0,0.0
2022-03-17,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",252.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,285200.0,3413.0,204388.0,2230.0,0.0,0.0,0.0,85.0,6616.0,0.0,0.0,85.0,6616.0,0.0,0.0
2022-03-17,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",253.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,115786.0,1587.0,1546.0,20.0,0.0,0.0,0.0,84.0,6536.0,0.0,0.0,84.0,6536.0,0.0,0.0
2022-03-18,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",253.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,4.166666666666667,4483006.0,61544.0,395699.0,348.0,0.0,0.0,0.0,2753.0,214260.0,0.0,0.0,2753.0,214260.0,0.0,0.0
2022-03-17,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",254.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,4028573.0,4685.0,931987.0,4529.0,0.0,0.0,0.0,93.0,7256.0,0.0,0.0,93.0,7256.0,0.0,0.0
2022-03-12,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",254.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,1033171342.0,826422.0,88702750.0,447765.0,0.0,0.0,0.0,442.0,34394.0,0.0,0.0,442.0,34394.0,0.0,0.0
2022-03-17,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",255.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4861111111111111,64593205.0,63173.0,10111807.0,43943.0,0.0,0.0,0.0,143.0,11118.0,0.0,0.0,143.0,11118.0,0.0,0.0
