begintime,sk_object,1282423987,1282423988,duration
2022-03-01 00:00:00,7525661.0,2.69,2.601,PT3600S
2022-03-01 00:00:00,7525662.0,2.691,2.601,PT3600S
2022-03-01 00:00:00,7525663.0,2.688,2.604,PT3600S
2022-03-01 00:00:00,7525664.0,2.686,2.604,PT3600S
2022-03-01 01:00:00,7525661.0,1.738,1.627,PT3600S
2022-03-01 01:00:00,7525662.0,1.735,1.626,PT3600S
2022-03-01 01:00:00,7525663.0,1.737,1.627,PT3600S
2022-03-01 01:00:00,7525664.0,1.737,1.625,PT3600S
2022-03-01 02:00:00,7525661.0,1.503,1.378,PT3600S
2022-03-01 02:00:00,7525662.0,1.502,1.378,PT3600S
2022-03-01 02:00:00,7525663.0,1.504,1.382,PT3600S
2022-03-01 02:00:00,7525664.0,1.506,1.378,PT3600S
2022-03-01 03:00:00,7525661.0,1.533,1.402,PT3600S
2022-03-01 03:00:00,7525662.0,1.532,1.402,PT3600S
2022-03-01 03:00:00,7525663.0,1.536,1.403,PT3600S
2022-03-01 03:00:00,7525664.0,1.534,1.402,PT3600S
2022-03-01 04:00:00,7525661.0,1.396,1.323,PT3600S
2022-03-01 04:00:00,7525662.0,1.397,1.322,PT3600S
2022-03-01 04:00:00,7525663.0,1.396,1.32,PT3600S
2022-03-01 04:00:00,7525664.0,1.394,1.319,PT3600S
2022-03-01 05:00:00,7525661.0,1.845,1.776,PT3600S
2022-03-01 05:00:00,7525662.0,1.843,1.774,PT3600S
2022-03-01 05:00:00,7525663.0,1.843,1.773,PT3600S
2022-03-01 05:00:00,7525664.0,1.843,1.775,PT3600S
2022-03-01 06:00:00,7525661.0,3.535,3.531,PT3600S
2022-03-01 06:00:00,7525662.0,3.532,3.525,PT3600S
2022-03-01 06:00:00,7525663.0,3.534,3.524,PT3600S
2022-03-01 06:00:00,7525664.0,3.534,3.532,PT3600S
2022-03-01 07:00:00,7525661.0,8.025,8.415,PT3600S
2022-03-01 07:00:00,7525662.0,8.021,8.425,PT3600S
2022-03-01 07:00:00,7525663.0,8.026,8.42,PT3600S
2022-03-01 07:00:00,7525664.0,8.031,8.43,PT3600S
2022-03-01 08:00:00,7525661.0,10.774,11.356,PT3600S
2022-03-01 08:00:00,7525662.0,10.78,11.341,PT3600S
2022-03-01 08:00:00,7525663.0,10.772,11.349,PT3600S
2022-03-01 08:00:00,7525664.0,10.774,11.345,PT3600S
2022-03-01 09:00:00,7525661.0,11.271,11.794,PT3600S
2022-03-01 09:00:00,7525662.0,11.28,11.799,PT3600S
2022-03-01 09:00:00,7525663.0,11.276,11.81,PT3600S
2022-03-01 09:00:00,7525664.0,11.28,11.794,PT3600S
2022-03-01 10:00:00,7525661.0,10.949,11.376,PT3600S
2022-03-01 10:00:00,7525662.0,10.937,11.374,PT3600S
2022-03-01 10:00:00,7525663.0,10.951,11.371,PT3600S
2022-03-01 10:00:00,7525664.0,10.943,11.379,PT3600S
2022-03-01 11:00:00,7525661.0,10.664,11.101,PT3600S
2022-03-01 11:00:00,7525662.0,10.669,11.103,PT3600S
2022-03-01 11:00:00,7525663.0,10.669,11.104,PT3600S
2022-03-01 11:00:00,7525664.0,10.662,11.092,PT3600S
2022-03-01 12:00:00,7525661.0,9.877,10.237,PT3600S
2022-03-01 12:00:00,7525662.0,9.876,10.242,PT3600S
2022-03-01 12:00:00,7525663.0,9.873,10.237,PT3600S
2022-03-01 12:00:00,7525664.0,9.881,10.239,PT3600S
2022-03-01 13:00:00,7525661.0,9.571,9.848,PT3600S
2022-03-01 13:00:00,7525662.0,9.575,9.85,PT3600S
2022-03-01 13:00:00,7525663.0,9.571,9.85,PT3600S
2022-03-01 13:00:00,7525664.0,9.572,9.85,PT3600S
2022-03-01 14:00:00,7525661.0,10.235,10.496,PT3600S
2022-03-01 14:00:00,7525662.0,10.231,10.49,PT3600S
2022-03-01 14:00:00,7525663.0,10.229,10.475,PT3600S
2022-03-01 14:00:00,7525664.0,10.238,10.49,PT3600S
2022-03-01 15:00:00,7525661.0,9.917,10.21,PT3600S
2022-03-01 15:00:00,7525662.0,9.919,10.203,PT3600S
2022-03-01 15:00:00,7525663.0,9.913,10.212,PT3600S
2022-03-01 15:00:00,7525664.0,9.911,10.204,PT3600S
2022-03-01 16:00:00,7525661.0,9.505,9.846,PT3600S
2022-03-01 16:00:00,7525662.0,9.505,9.851,PT3600S
2022-03-01 16:00:00,7525663.0,9.499,9.851,PT3600S
2022-03-01 16:00:00,7525664.0,9.5,9.853,PT3600S
2022-03-01 17:00:00,7525661.0,9.861,10.308,PT3600S
2022-03-01 17:00:00,7525662.0,9.862,10.304,PT3600S
2022-03-01 17:00:00,7525663.0,9.864,10.319,PT3600S
2022-03-01 17:00:00,7525664.0,9.864,10.304,PT3600S
2022-03-01 18:00:00,7525661.0,10.831,11.306,PT3600S
2022-03-01 18:00:00,7525662.0,10.827,11.297,PT3600S
2022-03-01 18:00:00,7525663.0,10.834,11.298,PT3600S
2022-03-01 18:00:00,7525664.0,10.834,11.308,PT3600S
2022-03-01 19:00:00,7525661.0,14.102,14.86,PT3600S
2022-03-01 19:00:00,7525662.0,14.101,14.857,PT3600S
