begintime,sk_object,duration,integrity,1593835805,1593835629,1593835804,1593835628,1593835647,1593835620,1593835637,1593835638,1593835639,1593835640,1593835648,1593835649,1593835650,1593835651,1593835801,1593835802
2022-02-03,629924.0,86400.0,100.0,,0.0,,44.308799,32785.0,,,,,,32765.0,32777.0,,,,
2022-02-03,635174.0,86400.0,100.0,,0.0,,27.53852777,30025.0,,,,,,29985.0,30009.0,,,,
2022-02-03,642457.0,86400.0,100.0,,0.0,,17.56485303,29682.0,,,,,,29682.0,29758.0,,,,
2022-02-03,644294.0,86400.0,100.0,,0.0,,8.11182058,29845.0,,,,,,29835.0,29952.0,,,,
2022-02-03,644920.0,86400.0,100.0,,0.0,,25.8062895,33226.0,,,,,,33192.0,33219.0,,,,
2022-02-03,645834.0,86400.0,100.0,,0.0,,38.3407259,34355.0,,,,,,34355.0,34169.0,,,,
2022-02-03,645985.0,86400.0,100.0,,0.0,,46.4212919,30885.0,,,,,,30873.0,30893.0,,,,
2022-02-03,646452.0,86400.0,100.0,,0.0,,74.9022885,32237.0,,,,,,32218.0,32229.0,,,,
2022-02-03,647126.0,86400.0,100.0,,0.0,,28.4707962,33165.0,,,,,,33152.0,33158.0,,,,
2022-02-03,648789.0,86400.0,100.0,,0.0,,15.19289597,29629.0,,,,,,29597.0,29623.0,,,,
2022-02-03,648928.0,86400.0,100.0,,0.0,,12.19044329,31533.0,,,,,,31370.0,31394.0,,,,
2022-02-03,649104.0,86400.0,100.0,,0.0,,6.05773974,32527.0,,,,,,32501.0,32502.0,,,,
2022-02-03,649238.0,86400.0,100.0,,0.0,,7.83406114,31856.0,,,,,,31479.0,31695.0,,,,
2022-02-03,650485.0,86400.0,100.0,,0.0,,10.55985248,33180.0,,,,,,33180.0,33181.0,,,,
2022-02-03,651165.0,86400.0,100.0,,0.0,,29.89268136,32739.0,,,,,,32722.0,32728.0,,,,
2022-02-03,652188.0,86400.0,100.0,,0.0,,15.89669354,32382.0,,,,,,32361.0,32364.0,,,,
2022-02-03,652359.0,86400.0,100.0,,0.0,,7.23844552,31885.0,,,,,,31778.0,31873.0,,,,
2022-02-03,652388.0,86400.0,100.0,,0.0,,20.23893749,31938.0,,,,,,31750.0,31939.0,,,,
2022-02-03,652636.0,86400.0,100.0,,0.0,,9.82747436,32823.0,,,,,,32823.0,32808.0,,,,
2022-02-03,653027.0,86400.0,100.0,,0.0,,5.260423612,32137.0,,,,,,32137.0,32137.0,,,,
