begintime,sk_object,duration,M8026C1,M8026C2,M8026C0,M8026C3,M8026C4,M8026C5,M8026C6,M8026C7,M8026C8,M8026C9,M8026C19,M8026C20,M8026C21,M8026C22,M8026C23,M8026C24,M8026C25,M8026C26,M8026C28,M8026C29,M8026C30,M8026C31,M8026C32,M8026C33,M8026C34,M8026C35,M8026C36,M8026C37,M8026C38,M8026C254,M8026C255,M8026C256,M8026C257,M8026C258,M8026C259,M8026C260,M8026C261,M8026C262,M8026C263,M8026C264,M8026C265,M8026C266,M8026C267,M8026C268,M8026C269,M8026C270,M8026C271,M8026C272,M8026C273,M8026C274,M8026C275,M8026C276,M8026C277,M8026C278,M8026C279,M8026C280,M8026C281,M8026C282,M8026C283,M8026C284,M8026C285,M8026C286,M8026C287,M8026C288,M8026C289,M8026C290,M8026C291,M8026C292,M8026C293,M8026C294,M8026C295,M8026C296,M8026C297,M8026C298,M8026C299,M8026C300,M8026C301,M8026C302,M8026C303,M8026C304,M8026C305,M8026C306,M8026C307,M8026C308
2022-03-14 10:45:00,20681.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7321.0,0.0,0.0,0.0,0.0,6418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,7523.0,71.0,580.0,138.0,53.0,0.0,0.0,0.0,0.0,0.0,2660.0,10038.0,3311.0,2660.0,94.0,4.0,0.0,1765.0,112.0,167.0,550.0,0.0,0.0,0.0,0.0,0.0,13029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 10:45:00,20704.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54831.0,0.0,0.0,0.0,0.0,46367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,92894.0,7.0,7962.0,32.0,1492.0,0.0,0.0,0.0,0.0,0.0,6673.0,18466.0,6155.0,6673.0,8.0,50.0,0.0,1641.0,27.0,274.0,121.0,0.0,0.0,0.0,0.0,0.0,25452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 10:45:00,20727.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21753.0,0.0,0.0,0.0,0.0,14449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2511.0,22838.0,80.0,1696.0,306.0,719.0,0.0,0.0,0.0,0.0,0.0,5087.0,23174.0,7305.0,5087.0,231.0,121.0,0.0,6556.0,782.0,585.0,2084.0,0.0,0.0,0.0,0.0,0.0,28980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 11:00:00,20745.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18203.0,0.0,0.0,0.0,0.0,6793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,19850.0,39.0,1629.0,9.0,177.0,0.0,0.0,0.0,0.0,0.0,2227.0,8964.0,2983.0,2227.0,2.0,1.0,0.0,281.0,1.0,83.0,24.0,0.0,0.0,0.0,0.0,0.0,9801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 11:15:00,20718.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48676.0,0.0,0.0,0.0,1.0,28124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.0,79999.0,66.0,6853.0,484.0,717.0,0.0,0.0,0.0,0.0,0.0,11520.0,48424.0,14567.0,11520.0,248.0,31.0,0.0,6217.0,156.0,331.0,725.0,0.0,0.0,0.0,0.0,0.0,56766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 14:15:00,20666.0,15,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,249586.0,0.0,0.0,0.0,53.0,153338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245.0,226916.0,87.0,17425.0,203.0,2966.0,0.0,0.0,0.0,0.0,0.0,26315.0,99940.0,32902.0,26315.0,64.0,51.0,0.0,8888.0,16.0,1115.0,460.0,0.0,0.0,0.0,0.0,0.0,143337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 15:00:00,20671.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,4952.0,16.0,449.0,61.0,163.0,0.0,0.0,0.0,0.0,0.0,661.0,3485.0,1055.0,661.0,23.0,23.0,0.0,662.0,1.0,48.0,101.0,0.0,0.0,0.0,0.0,0.0,11419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 04:15:00,20692.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,29.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 15:00:00,20694.0,15,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.0,0.0,0.0,0.0,4.0,2645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3226.0,101744.0,74.0,9255.0,1416.0,5937.0,0.0,0.0,0.0,0.0,0.0,1026.0,9513.0,2032.0,1026.0,1260.0,211.0,0.0,6487.0,430.0,68.0,1951.0,0.0,0.0,0.0,0.0,0.0,19540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 15:15:00,20667.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36835.0,0.0,0.0,0.0,0.0,36754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.0,93259.0,104.0,5923.0,1036.0,4080.0,0.0,0.0,0.0,0.0,0.0,17153.0,72864.0,21229.0,17153.0,598.0,159.0,0.0,12336.0,666.0,1263.0,2952.0,0.0,0.0,0.0,0.0,0.0,84187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
