begintime,ne_name,sk_object,ne_type,vendor,integrity,L.E-RAB.NormRel,ERAB_REL_ENB,NOKIA LTE_DL Traffic(GB),HU LTE_DL Traffic(GB),NOKIA/HU DL Traffic_LTE,HU LTE_RRC SR%,HU LTE_ERAB Setup SR%,NOKIA LTE_ERAB Setup SR%,NOKIA/HU ERAB Setup SR%_LTE,HU LTE_ERAB Drop%,NOKIA LTE_ERAB Drop%,ERAB Setup Numerator,id
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=2,Cell Name=4G_BINTUMANI-2,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808733.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,34016.0,,0.0,16.2799,16.2799,99.8276,99.7538,,99.7538,0.0646,,29173.0,30
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=3,Cell Name=4G_BINTUMANI-3,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808925.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,41805.0,,0.0,38.3219,38.3219,99.9819,99.9618,,99.9618,0.012,,39288.0,31
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=6,Cell Name=4G_BINTUMANI-6,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",809141.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,114339.0,,0.0,61.6052,61.6052,99.9958,99.9681,,99.9681,0.0061,,122342.0,32
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=7,Cell Name=4G_BINTUMANI-7,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808695.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,255383.0,,0.0,135.5575,135.5575,99.9835,99.9176,,99.9176,0.0114,,271488.0,33
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=1,Cell Name=4G_BLACKHALLROAD_II-1,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",809024.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,267919.0,,0.0,98.9644,98.9644,99.8906,99.8824,,99.8824,0.0321,,237770.0,34
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=2,Cell Name=4G_BLACKHALLROAD_II-2,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",809061.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,270650.0,,0.0,91.4604,91.4604,99.9084,99.5934,,99.5934,0.0251,,253539.0,35
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=3,Cell Name=4G_BLACKHALLROAD_II-3,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",808693.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,289124.0,,0.0,117.7114,117.7114,99.462,99.8132,,99.8132,0.0152,,258621.0,36
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=7,Cell Name=4G_BLACKHALLROAD_II-7,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",809045.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,241115.0,,0.0,84.2997,84.2997,99.9831,99.8888,,99.8888,0.0083,,276723.0,37
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=1,Cell Name=4G_BONTHE-1,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",808837.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1510.0,,0.0,1.0079,1.0079,100.0,100.0,,100.0,0.0,,1519.0,38
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=2,Cell Name=4G_BONTHE-2,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",808770.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,6396.0,,0.0,1.6678,1.6678,99.9913,100.0,,100.0,0.1249,,6395.0,39
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=3,Cell Name=4G_BONTHE-3,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",832636.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,148.0,,0.0,0.28,0.28,100.0,100.0,,100.0,0.0,,148.0,40
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=1,Cell Name=4G_BOTOWN-1,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",809158.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,104643.0,,0.0,82.8193,82.8193,99.9629,99.8253,,99.8253,0.0239,,93133.0,41
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=2,Cell Name=4G_BOTOWN-2,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",808938.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,67738.0,,0.0,41.5583,41.5583,99.9496,99.8526,,99.8526,0.0384,,59619.0,42
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=3,Cell Name=4G_BOTOWN-3,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",809129.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,64486.0,,0.0,37.5368,37.5368,99.9497,99.8238,,99.8238,0.0093,,57217.0,43
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=6,Cell Name=4G_BOTOWN-6,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",809115.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,96694.0,,0.0,66.9149,66.9149,99.9736,99.888,,99.888,0.0238,,110622.0,44
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=7,Cell Name=4G_BOTOWN-7,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",808867.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,51599.0,,0.0,28.8188,28.8188,99.9666,99.912,,99.912,0.0078,,60178.0,45
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=8,Cell Name=4G_BOTOWN-8,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",809064.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,15185.0,,0.0,5.9957,5.9957,99.9688,99.6473,,99.6473,0.0,,16953.0,46
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=1,Cell Name=4G_BYRNELANECOLLIGATE-1,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",809188.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99346.0,,0.0,59.4199,59.4199,99.9624,99.8113,,99.8113,0.0211,,88847.0,47
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=2,Cell Name=4G_BYRNELANECOLLIGATE-2,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",809104.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,57153.0,,0.0,41.2089,41.2089,99.9748,99.8542,,99.8542,0.0087,,47243.0,48
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=3,Cell Name=4G_BYRNELANECOLLIGATE-3,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",808870.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,69730.0,,0.0,59.3556,59.3556,99.9673,99.5694,,99.5694,0.0258,,58509.0,49
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=6,Cell Name=4G_BYRNELANECOLLIGATE-6,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",808916.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,110072.0,,0.0,46.526,46.526,99.9561,99.8501,,99.8501,0.0164,,119872.0,50
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=7,Cell Name=4G_BYRNELANECOLLIGATE-7,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",808854.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,153512.0,,0.0,77.1274,77.1274,99.9863,99.9437,,99.9437,0.0052,,163196.0,51
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=8,Cell Name=4G_BYRNELANECOLLIGATE-8,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",808927.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,96948.0,,0.0,58.1342,58.1342,99.9905,99.8724,,99.8724,0.0031,,108017.0,52
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=1,Cell Name=4G_CITYROAD-1,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",809152.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,224312.0,,0.0,133.7771,133.7771,99.946,95.9584,,95.9584,0.186,,201459.0,53
