begintime,ne_name,ne_type,vendor,integrity,ahmed KPI
2022-03-06,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,49268264417968.0
2022-03-06,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.41,96074086741584.0
2022-03-07,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,58518843738768.0
2022-03-07,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.67,50492143371336.0
2022-03-07,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.4,97840312022160.0
2022-03-09,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,3367529679952.0
2022-03-09,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,2701406231576.0
2022-03-09,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,5345274584688.0
2022-03-10,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,58490747734840.0
2022-03-10,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,94.84,51615096245480.0
2022-03-10,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,96042801540600.0
2022-03-11,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,60829301896272.0
2022-03-11,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,53427284312928.0
2022-03-11,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.86,101091300026312.0
2022-03-12,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.17,52385498809704.0
2022-03-12,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.0,44531092920240.0
2022-03-12,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,77.77,85686219669736.0
2022-03-13,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,54272960796128.0
2022-03-13,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,45080470652064.0
2022-03-13,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.12,88111126512920.0
2022-03-14,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.77,51835815039224.0
2022-03-14,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.5,43345186042424.0
2022-03-14,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.05,90815397696360.0
2022-03-15,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.97,52598586013176.0
2022-03-15,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.88,49575733815304.0
2022-03-15,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,94246354573408.0
