begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,EPS_BEARER_SETUP_ATTEMPTS,ERAB_REL_ENB,ERAB_REL_ENB_RNL_INA,ERAB_REL_ENB_RNL_RED,ERAB_REL_ENB_RNL_RRNA,ERAB_REL_EPC_PATH_SWITCH,ERAB_REL_TEMP_QCI1,ERAB_REL_SUCC_HO_UTRAN,ERAB_REL_SUCC_HO_GERAN,ERAB_REL_ENB_INI_S1_GLOB_RESET,ERAB_REL_MME_INI_S1_GLOB_RESET,ERAB_REL_ENB_INI_S1_PART_RESET,ERAB_REL_MME_INI_S1_PART_RESET,ERAB_REL_S1_OUTAGE,EPS_BEARER_SETUP_COMPLETIONS,EPC_EPS_BEARER_REL_REQ_NORM,EPC_EPS_BEARER_REL_REQ_DETACH,EPC_EPS_BEARER_REL_REQ_RNL,EPC_EPS_BEARER_REL_REQ_OTH,ERAB_REL_HO_PART
2024-03-31,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",599.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,901.0,856.0,827.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,44.0,3.0,0.0,0.0,0.0
2024-03-23,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",599.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,43.0,33.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,11.0,0.0,0.0,0.0,0.0
2024-03-30,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",599.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,885.0,873.0,833.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,19.0,2.0,0.0,0.0,0.0
2024-03-10,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",600.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,331.0,295.0,285.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,39.0,0.0,0.0,0.0,0.0
2024-03-24,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",600.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,10.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",600.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,360.0,318.0,284.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,40.0,0.0,0.0,0.0,0.0
2024-03-23,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",600.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,10.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2024-03-30,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",600.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,331.0,295.0,285.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,39.0,0.0,0.0,0.0,0.0
2024-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05",609.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,298.0,287.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,6.0,0.0,0.0,0.0,0.0
2024-03-16,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05",609.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,298.0,287.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,6.0,0.0,0.0,0.0,0.0
