vendor,table_name,table_id,counter_name,counter_name_alias,counter_id,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name
Nokia,LTE Cell Load,8001,Failed Reception PUSCH MCS10,TB_BAD_PUSCH_MCS10,M8001C187,The number of unsuccessful receptions on PUSCH using MCS10 Modulation and Coding Scheme. Only not transmitted TBs exceeding max HARQ retransmissions are considered.,Integer number,Sum,1,1,283,"nokia_common_8001,nokia_macro_8001","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Cell Load,8001,First transmission NACKs on PUSCH using MCS14,PUSCH_1ST_TRANS_NACK_MCS14,M8001C474,The number of not acknowledged 1st transmissions on PUSCH for used Modulation and Coding Scheme.,Integer number,Sum,1,1,283,"nokia_common_8001,nokia_macro_8001","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,SINR for PUCCH Level 8,SINR_PUCCH_LEVEL_8,M8005C103,"The Signal to Interference and Noise Ratio (SINR) for PUCCH, measured in the eNB. Values in the range of 2dB < SINR <= 4dB are updated to this counter. Used for SINR for the PUCCH histogram.

Note regarding LTE2445: In case of combined supercells, the PUCCH SINR PM counter is based on the serving sub-cell of each UE.",Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,Cell-wide RSSI on PUCCH level 2,RSSI_CELL_PUCCH_LEVEL_2,M8005C210,"This measurement provides the number of TTIs, in which the cell-wide RSSI values on PUCCH are in the range of -120 dBm < x <= -118 dBm.
The cell-wide RSSI value is calculated as:
Total RSSI per cell per TTI for PUCCH over the configured PUCCH-bandwidth divided by the number of PRBs (of given whole cell non-blanked UL frequency bandwidth) which could be used by PUCCH in the cell.

This measurement does not include interference or noise.

Note regarding LTE2445: In case of combined supercells, the cell-wide PUCCH RSSI is the sum of the PUCCH RSSI measurements of all sub-cells.",Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,RSSI for PUSCH Mean,RSSI_PUSCH_AVG,M8005C5,"The Received Signal Strength Indicator (RSSI) Mean value for PUSCH, measured in the eNB.

This measurement does not include interference or noise.

Note regarding LTE2445: In case of combined supercells, the UE related PUSCH RSSI is measured in the serving sub-cell of each UE.",dBm,Average,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,UE Power Headroom for PUSCH  Level 8,UE_PWR_HEADROOM_PUSCH_LEVEL8,M8005C61,The UE Power Headroom values in the range of  -9dB <= PHR < -7dB. Used for the UE Power Headroom PUSCH histogram.,Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,UE Power Headroom for PUSCH  Level 9,UE_PWR_HEADROOM_PUSCH_LEVEL9,M8005C62,The UE Power Headroom values in the range of  -7dB <= PHR < -5dB. Used for the UE Power Headroom PUSCH histogram.,Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,UE Power Headroom for PUSCH  Level 14,UE_PWR_HEADROOM_PUSCH_LEVEL14,M8005C67,The UE Power Headroom values in the range of   3dB <= PHR < 5dB. Used for the UE Power Headroom PUSCH histogram.,Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,UE Power Headroom for PUSCH  Level 15,UE_PWR_HEADROOM_PUSCH_LEVEL15,M8005C68,The UE Power Headroom values in the range of  5dB <= PHR < 7dB. Used for the UE Power Headroom PUSCH histogram.,Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE Power and Quality UL,8005,UE Power Headroom for PUSCH  Level 18,UE_PWR_HEADROOM_PUSCH_LEVEL18,M8005C71,The UE Power Headroom values in the range of 11dB <= PHR < 13dB. Used for the UE Power Headroom PUSCH histogram.,Integer number,Sum,1,1,283,"nokia_common_8005,nokia_macro_8005","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
Nokia,LTE EPS Bearer,8006,In-session activity time for QCI3 ERABs,ERAB_IN_SESSION_TIME_QCI3,M8006C183,"This measurement provides the aggregated in-session activity time in seconds for all E-RABs with QCI3 characteristics. The E-RAB is said to be ""in session"" if any user data has been transferred in UL or DL direction within the last 100msec.",s,Sum,1,1,284,"nokia_common_8006,nokia_macro_8006","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE EPS Bearer,8006,E-RAB setup completions for high priority calls,ERAB_SETUP_SUCC_HIPRIO,M8006C187,"The number of E-RAB Setup completions for high priority calls.
Each bearer of the ""E-RAB Setup List"" IE is counted.",Integer number,Sum,1,1,284,"nokia_common_8006,nokia_macro_8006","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE EPS Bearer,8006,Sum of simultaneous E-RABs of QCI7,SUM_SIMUL_ERAB_QCI_7,M8006C51,"This measurement provides the sum of sampled values for measuring the number of simultaneous E-RABs with QCI 7 characteristics. This counter, divided by the denominator DENOM_SUM_SIMUL_ERAB, provides the average number of simultaneous QCI 7 E-RABs per cell.",Integer number,Sum,1,1,284,"nokia_common_8006,nokia_macro_8006","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Intra eNB Handover,8009,Intra eNB Handover preparations,INTRA_ENB_HO_PREP,M8009C2,The number of Intra-eNB Handover preparations.,Integer number,Sum,1,1,283,"nokia_common_8009,nokia_macro_8009","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC "
