begintime,sk_object,duration,integrity,M8004C0,M8004C1,M8004C2,M8004C3,M8004C4,M8004C5,M8004C6
2022-03-11,16138.0,1440.0,100.0,82261959.0,80634188.0,272299934.0,246342306.0,0.0,0.0,0.0
2022-03-16,16129.0,1440.0,100.0,47516.0,49113.0,184184.0,395888.0,0.0,0.0,0.0
2022-03-11,16123.0,1440.0,100.0,22073103.0,25542133.0,56712620.0,80474298.0,0.0,0.0,0.0
2022-03-16,16123.0,1440.0,100.0,19678805.0,23116583.0,43658508.0,69217662.0,0.0,0.0,0.0
2022-03-12,16124.0,1440.0,100.0,9156750.0,9892520.0,23973530.0,16436609.0,0.0,0.0,0.0
2022-03-17,16133.0,1380.0,95.83333333333333,3333065.0,4685659.0,6113287.0,5691359.0,0.0,0.0,0.0
2022-03-17,16134.0,1380.0,95.83333333333333,96807062.0,97261677.0,221851923.0,313729285.0,0.0,0.0,0.0
2022-03-15,16132.0,1440.0,100.0,1817293.0,2365041.0,4682581.0,3588517.0,0.0,0.0,0.0
2022-03-13,16133.0,1440.0,100.0,3548327.0,5207115.0,11254462.0,11390742.0,0.0,0.0,0.0
2022-03-13,16135.0,1440.0,100.0,30023447.0,30412416.0,93232785.0,86888199.0,0.0,0.0,0.0
2022-03-11,16129.0,1440.0,100.0,56407.0,49835.0,154299.0,495838.0,0.0,0.0,0.0
2022-03-14,16122.0,1440.0,100.0,761181.0,768729.0,1271275.0,1371472.0,0.0,0.0,0.0
2022-03-14,16127.0,1440.0,100.0,73338986.0,68685655.0,276207171.0,202790951.0,0.0,0.0,0.0
2022-03-13,16121.0,1440.0,100.0,66081839.0,66583466.0,182469999.0,236669645.0,0.0,0.0,0.0
2022-03-14,16126.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,16122.0,1440.0,100.0,825607.0,850369.0,1357962.0,2132117.0,0.0,0.0,0.0
2022-03-18,16135.0,1440.0,100.0,31362980.0,32368615.0,76963581.0,75187033.0,0.0,0.0,0.0
2022-03-18,16132.0,1440.0,100.0,1976388.0,2975942.0,4385363.0,3106546.0,0.0,0.0,0.0
2022-03-19,16126.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,16122.0,1440.0,100.0,645662.0,674870.0,3606302.0,1526433.0,0.0,0.0,0.0
2022-03-12,16138.0,1440.0,100.0,84809513.0,83144153.0,267472108.0,239218553.0,0.0,0.0,0.0
2022-03-14,16137.0,1440.0,100.0,23608682.0,24546923.0,78021908.0,96654605.0,0.0,0.0,0.0
2022-03-19,16133.0,1380.0,95.83333333333333,3874483.0,5995580.0,8939115.0,10470598.0,0.0,0.0,0.0
2022-03-13,16127.0,1440.0,100.0,75560883.0,72005689.0,291158923.0,227518488.0,0.0,0.0,0.0
2022-03-17,16121.0,1440.0,100.0,59707977.0,61265660.0,158883240.0,198727338.0,0.0,0.0,0.0
2022-03-12,16122.0,1440.0,100.0,1059240.0,1047034.0,1152166.0,1900160.0,0.0,0.0,0.0
2022-03-19,16136.0,1129.0,78.40277777777777,28561225.0,27027856.0,46527448.0,56739262.0,0.0,0.0,0.0
2022-03-19,16123.0,1310.0,90.97222222222223,22662970.0,26020634.0,56231432.0,85764998.0,0.0,0.0,0.0
2022-03-11,16132.0,1440.0,100.0,2329625.0,2939910.0,5571598.0,3688250.0,0.0,0.0,0.0
2022-03-12,16125.0,1440.0,100.0,11009638.0,13363106.0,31140043.0,38300101.0,0.0,0.0,0.0
2022-03-14,16128.0,1440.0,100.0,95811982.0,95518407.0,245502661.0,214725158.0,0.0,0.0,0.0
2022-03-12,16123.0,1440.0,100.0,21763272.0,24343544.0,47966008.0,60052082.0,0.0,0.0,0.0
2022-03-11,16139.0,1440.0,100.0,7390296.0,9139892.0,16680162.0,23992359.0,0.0,0.0,0.0
2022-03-18,16139.0,1440.0,100.0,7953236.0,10141800.0,17477249.0,32941080.0,0.0,0.0,0.0
2022-03-13,16137.0,1440.0,100.0,24344217.0,24634563.0,77713791.0,87239731.0,0.0,0.0,0.0
2022-03-18,16128.0,1440.0,100.0,106621577.0,106729378.0,282204293.0,226243731.0,0.0,0.0,0.0
2022-03-14,16136.0,1422.0,98.75,31668663.0,26232698.0,48449019.0,68267789.0,0.0,0.0,0.0
2022-03-18,16123.0,1440.0,100.0,19926435.0,23219069.0,48732226.0,62369848.0,0.0,0.0,0.0
2022-03-14,16130.0,1440.0,100.0,19635872.0,21221180.0,56713729.0,85829352.0,0.0,0.0,0.0
2022-03-18,16137.0,1440.0,100.0,28376828.0,29953358.0,85966650.0,100423254.0,0.0,0.0,0.0
2022-03-11,16135.0,1440.0,100.0,29496410.0,29699558.0,87352608.0,91845169.0,0.0,0.0,0.0
2022-03-11,16122.0,1440.0,100.0,656593.0,660252.0,926521.0,1402045.0,0.0,0.0,0.0
2022-03-15,16139.0,1440.0,100.0,6979437.0,8185531.0,15440834.0,29950634.0,0.0,0.0,0.0
2022-03-15,16136.0,1380.0,95.83333333333333,33727109.0,29864828.0,53128412.0,75883279.0,0.0,0.0,0.0
2022-03-11,16130.0,1440.0,100.0,21704611.0,24049086.0,75863882.0,110387624.0,0.0,0.0,0.0
2022-03-14,16138.0,1440.0,100.0,75672052.0,74167669.0,231161615.0,192048674.0,0.0,0.0,0.0
2022-03-16,16136.0,1421.0,98.68055555555556,33764581.0,27997996.0,44883079.0,67579559.0,0.0,0.0,0.0
2022-03-19,16127.0,1380.0,95.83333333333333,74019351.0,69616377.0,263777583.0,183506939.0,0.0,0.0,0.0
2022-03-19,16132.0,1310.0,90.97222222222223,2380166.0,3051929.0,6728914.0,5920705.0,0.0,0.0,0.0
2022-03-15,16125.0,1440.0,100.0,12665463.0,15730665.0,45416812.0,49204413.0,0.0,0.0,0.0
2022-03-16,16139.0,1440.0,100.0,7467460.0,8738795.0,17241154.0,29341415.0,0.0,0.0,0.0
2022-03-16,16132.0,1440.0,100.0,1852709.0,2183110.0,3915647.0,4221579.0,0.0,0.0,0.0
2022-03-17,16137.0,1380.0,95.83333333333333,30447904.0,30595101.0,86962302.0,85980412.0,0.0,0.0,0.0
2022-03-13,16125.0,1440.0,100.0,12140923.0,13331141.0,39295878.0,44852306.0,0.0,0.0,0.0
2022-03-16,16138.0,1440.0,100.0,79437243.0,78169743.0,249611285.0,207530852.0,0.0,0.0,0.0
2022-03-13,16130.0,1440.0,100.0,23496060.0,25730097.0,65262371.0,103078017.0,0.0,0.0,0.0
2022-03-16,16121.0,1378.0,95.69444444444444,61054597.0,60866572.0,158531088.0,206667473.0,0.0,0.0,0.0
2022-03-19,16138.0,1310.0,90.97222222222223,79918730.0,77737876.0,252557833.0,195841530.0,0.0,0.0,0.0
2022-03-11,16131.0,1440.0,100.0,109479608.0,106335299.0,311507805.0,301853854.0,0.0,0.0,0.0
2022-03-16,16135.0,1440.0,100.0,33830836.0,38930315.0,110621314.0,74957659.0,0.0,0.0,0.0
2022-03-14,16133.0,1440.0,100.0,2964612.0,4650520.0,5979972.0,6115456.0,0.0,0.0,0.0
2022-03-12,16132.0,1440.0,100.0,2806915.0,3035518.0,4048725.0,3599433.0,0.0,0.0,0.0
2022-03-15,16138.0,1440.0,100.0,79950302.0,78002319.0,261861124.0,235873913.0,0.0,0.0,0.0
2022-03-16,16122.0,1440.0,100.0,823822.0,810114.0,4784505.0,2794472.0,0.0,0.0,0.0
2022-03-15,16137.0,1362.0,94.58333333333333,21922552.0,22789807.0,72301636.0,81533003.0,0.0,0.0,0.0
2022-03-14,16123.0,1440.0,100.0,19385059.0,22286200.0,45934344.0,64441283.0,0.0,0.0,0.0
2022-03-13,16138.0,1397.0,97.01388888888889,85803872.0,84114161.0,284507259.0,233069021.0,0.0,0.0,0.0
2022-03-14,16129.0,1440.0,100.0,50621.0,47419.0,33874.0,102108.0,0.0,0.0,0.0
2022-03-11,16126.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16,16133.0,1399.0,97.15277777777777,3085804.0,4534526.0,9463356.0,8027191.0,0.0,0.0,0.0
2022-03-17,16124.0,1380.0,95.83333333333333,8860823.0,9838848.0,24374054.0,18791153.0,0.0,0.0,0.0
2022-03-17,16130.0,1440.0,100.0,19666664.0,21713996.0,55204275.0,92470229.0,0.0,0.0,0.0
2022-03-18,16125.0,1440.0,100.0,12911386.0,15126003.0,31054594.0,36528067.0,0.0,0.0,0.0
2022-03-17,16136.0,1375.0,95.48611111111111,32174105.0,28373800.0,54413082.0,63843454.0,0.0,0.0,0.0
2022-03-17,16128.0,1440.0,100.0,105666957.0,102756498.0,269687046.0,236878778.0,0.0,0.0,0.0
2022-03-15,16129.0,1440.0,100.0,68682.0,62156.0,115717.0,297855.0,0.0,0.0,0.0
2022-03-18,16130.0,1440.0,100.0,19740878.0,22134626.0,56479888.0,92239227.0,0.0,0.0,0.0
2022-03-12,16126.0,1402.0,97.36111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,16121.0,1440.0,100.0,55647224.0,56002848.0,157737839.0,201527037.0,0.0,0.0,0.0
2022-03-13,16129.0,1440.0,100.0,44877.0,43375.0,4526.0,518451.0,0.0,0.0,0.0
2022-03-11,16134.0,1440.0,100.0,86669445.0,86761625.0,247271994.0,354675958.0,0.0,0.0,0.0
2022-03-13,16128.0,1440.0,100.0,106246012.0,105365441.0,316072620.0,219050220.0,0.0,0.0,0.0
2022-03-17,16126.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,16124.0,1440.0,100.0,9870750.0,10623000.0,31716196.0,23668896.0,0.0,0.0,0.0
2022-03-19,16122.0,1310.0,90.97222222222223,734452.0,699237.0,1331474.0,1724623.0,0.0,0.0,0.0
2022-03-13,16124.0,1440.0,100.0,10515450.0,11097827.0,34251101.0,22460707.0,0.0,0.0,0.0
