begintime,ne_name,ne_type,vendor,integrity,BSCRPT.KPI.IMM.ASS.REQ,BSCRPT.KPI.IMM.ASS.CMD,BSCRPT.TRX.IMM.ASS.CHAN.ALLOC.SUCC.TIMES.TCHF,BSCRPT.TRX.IMM.ASS.CHAN.ALLOC.SUCC.TIMES.TCHH,BSCRPT.TRX.ASS.CHAN.ALLOC.SUCC.TIMES.TCHF,id
2022-02-03,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35388890.0,35288983.0,0.0,0.0,5019085.0,1
2022-02-03,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,31229704.0,31108724.0,7143.0,37.0,5961608.0,2
2022-02-04,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,36169968.0,35980069.0,0.0,0.0,5067413.0,3
2022-02-04,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32507443.0,32194829.0,7292.0,25.0,6166064.0,4
2022-02-05,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35230631.0,35101503.0,0.0,0.0,5059657.0,5
2022-02-05,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32041293.0,31731234.0,7277.0,27.0,6129571.0,6
2022-02-06,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,34834337.0,34718030.0,0.0,0.0,5040851.0,7
2022-02-06,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,30189992.0,30034992.0,6914.0,22.0,6170070.0,8
2022-02-08,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35522213.0,35408099.0,0.0,0.0,4949601.0,9
2022-02-08,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,31585740.0,31385348.0,7208.0,23.0,6057026.0,10
2022-02-10,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35162984.0,35077630.0,0.0,0.0,4963442.0,11
2022-02-10,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32353711.0,31913385.0,6956.0,27.0,5984588.0,12
2022-02-11,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35716740.0,35533876.0,0.0,0.0,5094806.0,13
2022-02-11,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32646263.0,32093982.0,7122.0,27.0,6224598.0,14
2022-02-12,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,36153751.0,35999790.0,0.0,0.0,5072469.0,15
2022-02-12,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32140881.0,31855545.0,7189.0,24.0,6053640.0,16
2022-02-13,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35300315.0,35145010.0,0.0,0.0,5053960.0,17
2022-02-13,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,30712313.0,30601423.0,6768.0,21.0,6069129.0,18
2022-02-17,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,87.5,34602586.0,34517770.0,0.0,0.0,5030265.0,19
2022-02-17,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,87.5,30691405.0,30617490.0,6970.0,14.0,6046161.0,20
2022-02-18,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35192009.0,35160245.0,0.0,0.0,5152140.0,21
2022-02-18,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32193267.0,32118913.0,7126.0,23.0,6187128.0,22
2022-02-19,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35194160.0,35155755.0,0.0,0.0,5171481.0,23
2022-02-19,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,31925058.0,31786285.0,7185.0,38.0,6110895.0,24
2022-02-20,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,34339180.0,34303404.0,0.0,0.0,5106679.0,25
2022-02-20,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,30312887.0,30249460.0,6566.0,11.0,6084613.0,26
2022-03-01,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,36633155.0,36305838.0,0.0,0.0,5195007.0,27
2022-03-01,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32625397.0,31967668.0,6876.0,23.0,6198686.0,28
2022-03-02,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,35877853.0,35654955.0,0.0,0.0,5223728.0,29
2022-03-02,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,33157517.0,32267863.0,6915.0,30.0,6036392.0,30
2022-03-03,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,36031863.0,35842206.0,0.0,0.0,5273937.0,31
2022-03-03,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,34379546.0,33429001.0,7409.0,35.0,6134347.0,32
2022-03-06,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,91.67,35464205.0,35003683.0,0.0,0.0,5094506.0,33
2022-03-06,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,91.67,30148421.0,29907274.0,7047.0,22.0,6051751.0,34
2022-03-07,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,95.83,34938944.0,34798105.0,0.0,0.0,4932998.0,35
2022-03-07,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,32612285.0,32391955.0,6982.0,20.0,6220685.0,36
2022-03-09,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,4.17,1220532.0,1063357.0,0.0,0.0,145019.0,37
2022-03-09,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,4.17,1281381.0,923071.0,215.0,1.0,149829.0,38
2022-03-10,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,91.67,33990861.0,33330658.0,0.0,0.0,4957638.0,39
2022-03-10,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,95.83,33195037.0,31754717.0,6962.0,23.0,6128684.0,40
2022-03-11,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,36610005.0,35868767.0,0.0,0.0,5303089.0,41
2022-03-11,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,33860841.0,32612264.0,7537.0,31.0,6286588.0,42
2022-03-12,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,79.17,33089538.0,32861429.0,0.0,0.0,5195267.0,43
2022-03-12,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,79.17,29732518.0,29484453.0,6607.0,44.0,6153902.0,44
2022-03-13,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,87.5,30986604.0,30497763.0,0.0,0.0,4942228.0,45
2022-03-13,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,87.5,28647605.0,27661603.0,5270.0,27.0,5719737.0,46
2022-03-14,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,31628515.0,31013826.0,0.0,0.0,5257827.0,47
2022-03-14,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,30582532.0,29316796.0,5477.0,20.0,5930749.0,48
2022-03-15,FTBSC01/BSCRPT:FTBSC01,Controller(2G) : Measurement of BSC Report Performance,Huawei,95.83,31357410.0,31269311.0,0.0,0.0,4992384.0,49
2022-03-15,FTBSC02/BSCRPT:FTBSC02,Controller(2G) : Measurement of BSC Report Performance,Huawei,100.0,30640596.0,30449882.0,6325.0,23.0,6146271.0,50
