measObjLdn,duration,begin_time,20001349.0,20001350.0,20001351.0,20001352.0,20001353.0,20001354.0,20001355.0,20001356.0,20001357.0,20001358.0,20001359.0,20001360.0,20001361.0,20001362.0,20001363.0,20001364.0,20001365.0,20001366.0,20001367.0,20001368.0,20001369.0
"ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",900.0,2021-09-26 19:15:00,76387638,00,913,74,900900,1,1,420,35,4433,3133,0,0,0,0,0,0,0,0,427751427751,203599119
"ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",900.0,2021-09-26 19:15:00,73847384,00,838,137,900900,0,1,442,23,4613,2703,0,0,0,0,0,0,0,0,429130429130,204869474
