begintime,sk_object,duration,integrity,67194651,67194652,67194653,67194654,67194655,67194656,67194657
2022-03-01 01:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,2155289.0,2156667.0,0.0,0.0
2022-03-02 03:00:00,7669471.0,3600.0,100.0,0.0,0.0,0.0,88882.0,85252.0,0.0,0.0
2022-02-04 00:00:00,7669470.0,3600.0,100.0,0.0,0.0,0.0,2422974.0,2440323.0,0.0,0.0
2022-03-07 05:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,2243158.0,2294521.0,0.0,0.0
2022-02-06 07:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,1062867.0,1238893.0,0.0,0.0
2022-02-18 20:00:00,7669472.0,3600.0,100.0,0.0,0.0,0.0,2316460.0,2700510.0,0.0,0.0
2022-02-08 11:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,4129074.0,4323847.0,0.0,0.0
2022-03-10 09:00:00,7669468.0,3600.0,100.0,0.0,0.0,0.0,2289801.0,2676506.0,0.0,0.0
2022-02-04 12:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,4039933.0,4222840.0,0.0,0.0
2022-03-07 14:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,4194378.0,4400475.0,0.0,0.0
2022-02-18 15:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,4035259.0,4231869.0,0.0,0.0
2022-02-19 13:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,3950881.0,4138084.0,0.0,0.0
2022-02-03 20:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,2215665.0,2582339.0,0.0,0.0
2022-02-03 19:00:00,7669472.0,3600.0,100.0,0.0,0.0,0.0,2331487.0,2718824.0,0.0,0.0
2022-02-10 01:00:00,7669470.0,3600.0,100.0,0.0,0.0,0.0,2116024.0,2112247.0,0.0,0.0
2022-02-03 07:00:00,7669474.0,3600.0,100.0,0.0,0.0,0.0,1387243.0,1615359.0,0.0,0.0
2022-03-13 15:00:00,7669475.0,3600.0,100.0,0.0,0.0,0.0,266599.0,268638.0,0.0,0.0
2022-03-12 07:00:00,7669470.0,3600.0,100.0,0.0,0.0,0.0,3006724.0,3138693.0,0.0,0.0
2022-03-10 05:00:00,7669465.0,3600.0,100.0,0.0,0.0,0.0,116529.0,114761.0,0.0,0.0
2022-02-10 02:00:00,7669464.0,3600.0,100.0,0.0,0.0,0.0,2036973.0,2037220.0,0.0,0.0
2022-02-08 13:00:00,7669468.0,3600.0,100.0,0.0,0.0,0.0,2270988.0,2650180.0,0.0,0.0
2022-02-18 17:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,2048744.0,2390859.0,0.0,0.0
2022-02-12 04:00:00,7669465.0,3600.0,100.0,0.0,0.0,0.0,100695.0,102993.0,0.0,0.0
2022-02-10 10:00:00,7669475.0,3600.0,100.0,0.0,0.0,0.0,357288.0,362139.0,0.0,0.0
2022-02-03 12:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,4065016.0,4242869.0,0.0,0.0
2022-02-18 22:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,398578.0,390608.0,0.0,0.0
2022-03-13 20:00:00,7669474.0,3600.0,100.0,0.0,0.0,0.0,2090241.0,2434067.0,0.0,0.0
2022-03-07 07:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,3356795.0,3537333.0,0.0,0.0
2022-02-06 21:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,3500200.0,3611128.0,0.0,0.0
2022-02-10 16:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,331307.0,339194.0,0.0,0.0
2022-02-06 02:00:00,7669471.0,3600.0,100.0,0.0,0.0,0.0,118691.0,119417.0,0.0,0.0
2022-03-15 09:00:00,7669468.0,3600.0,100.0,0.0,0.0,0.0,2138476.0,2502717.0,0.0,0.0
2022-02-03 10:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,367378.0,363804.0,0.0,0.0
2022-02-18 04:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,95176.0,91111.0,0.0,0.0
2022-02-10 04:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,2051426.0,2055738.0,0.0,0.0
2022-02-17 07:00:00,7669468.0,3600.0,100.0,0.0,0.0,0.0,1376991.0,1603236.0,0.0,0.0
2022-03-11 07:00:00,7669475.0,3600.0,100.0,0.0,0.0,0.0,288908.0,278232.0,0.0,0.0
2022-02-03 05:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,545433.0,630549.0,0.0,0.0
2022-02-10 19:00:00,7669474.0,3600.0,100.0,0.0,0.0,0.0,2317701.0,2703709.0,0.0,0.0
2022-03-07 19:00:00,7669472.0,3600.0,100.0,0.0,0.0,0.0,2529859.0,2950749.0,0.0,0.0
2022-03-13 16:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,1877539.0,2186143.0,0.0,0.0
2022-02-04 16:00:00,7669474.0,3600.0,100.0,0.0,0.0,0.0,2202811.0,2569603.0,0.0,0.0
2022-03-15 18:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,369589.0,366208.0,0.0,0.0
2022-02-20 18:00:00,7669472.0,3600.0,100.0,0.0,0.0,0.0,2031683.0,2365716.0,0.0,0.0
2022-03-11 03:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,2013037.0,2020697.0,0.0,0.0
2022-02-11 15:00:00,7669468.0,3600.0,100.0,0.0,0.0,0.0,2230787.0,2604056.0,0.0,0.0
2022-02-17 10:00:00,7669469.0,3600.0,100.0,0.0,0.0,0.0,4189873.0,4386501.0,0.0,0.0
2022-03-12 08:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,374870.0,373275.0,0.0,0.0
2022-03-10 22:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,1743449.0,2026359.0,0.0,0.0
2022-03-10 20:00:00,7669465.0,3600.0,100.0,0.0,0.0,0.0,439172.0,429670.0,0.0,0.0
2022-03-15 09:00:00,7669470.0,3600.0,100.0,0.0,0.0,0.0,3683321.0,3856138.0,0.0,0.0
2022-02-17 05:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,2243402.0,2279678.0,0.0,0.0
2022-02-11 02:00:00,7669464.0,3600.0,100.0,0.0,0.0,0.0,2034313.0,2042188.0,0.0,0.0
2022-02-06 05:00:00,7669475.0,3600.0,100.0,0.0,0.0,0.0,94012.0,95576.0,0.0,0.0
2022-02-04 05:00:00,7669475.0,3600.0,100.0,0.0,0.0,0.0,115471.0,116959.0,0.0,0.0
2022-03-12 08:00:00,7669468.0,3600.0,100.0,0.0,0.0,0.0,1806860.0,2114465.0,0.0,0.0
2022-02-12 23:00:00,7669467.0,3600.0,100.0,0.0,0.0,0.0,1312395.0,1521733.0,0.0,0.0
2022-02-08 23:00:00,7669465.0,3600.0,100.0,0.0,0.0,0.0,257312.0,265224.0,0.0,0.0
2022-02-20 22:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,358464.0,355865.0,0.0,0.0
2022-02-20 21:00:00,7669472.0,3600.0,100.0,0.0,0.0,0.0,1992600.0,2317618.0,0.0,0.0
2022-02-20 20:00:00,7669465.0,3600.0,100.0,0.0,0.0,0.0,483489.0,476121.0,0.0,0.0
2022-02-20 20:00:00,7669473.0,3600.0,100.0,0.0,0.0,0.0,481729.0,478004.0,0.0,0.0
2022-02-20 23:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,2903062.0,2993901.0,0.0,0.0
2022-03-07 23:00:00,7669466.0,3600.0,100.0,0.0,0.0,0.0,2892095.0,2967549.0,0.0,0.0
