functionsetid,functionsetname,functionsubsetid,functionsubsetname,supportedperiodminutes,objecttypeid,maeperformanceobjectname,objectname,counterid,countername,counterdescription,counterunit,countertype,counterprecision,timestatisticalmethod,objectstatisticalmethod,formula,visible,defaultmeasured,introducedinversion,node,applicablemode,filter,correlatedfunction,ne,timestatisticalmethod_upper,is_assessing_neighbor,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393990,VS.HHO.FailOutIntraNodeB.NoReply.CS.NCell,Number of Failed CS Outgoing Intra-NodeB Inter-Cell Hard Handovers (UE No Response),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393991,VS.HHO.FailOutIntraNodeB.PhyChFail.CS.NCell,Number of Failed CS Outgoing Intra-NodeB Inter-Cell Hard Handovers (Physical Channel Failure),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393992,VS.HHO.AttOutIntraNodeB.PS.NCell,Number of PS Outgoing Intra-NodeB Inter-Cell Hard Handover Attempts,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393993,VS.HHO.SuccOutIntraNodeB.PS.NCell,Number of Successful PS Outgoing Intra-NodeB Inter-Cell Hard Handovers,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393994,VS.HHO.FailOutIntraNodeB.NoReply.PS.NCell,Number of Failed PS Outgoing Intra-NodeB Inter-Cell Hard Handovers (UE No Response),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
1275069423,Measurements Related to Call,1290823536,Reserved counter for cell,15/60/1440,1275069421,?/GCELL:LABEL=?! CellIndex=?! CGI=?,Measurement of GSM Cell Performance,1282433198,CELL.RESERVE.COUNTER34,Reserved counter 34 for cell,None,"UINT,8",0.0,AVG,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,G,,,,AVG,0,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393995,VS.HHO.FailOutIntraNodeB.PhyChFail.PS.NCell,Number of Failed PS Outgoing Intra-NodeB Inter-Cell Hard Handovers (Physical Channel Failure),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393996,VS.HHO.AttOutInterNodeBIntraRNC.CS.NCell,Number of CS Outgoing Intra-RNC Inter-NodeB Inter-Cell Hard Handover Attempts,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393997,VS.HHO.SuccOutInterNodeBIntraRNC.CS.NCell,Number of Successful CS Outgoing Intra-RNC Inter-NodeB Inter-Cell Hard Handovers,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393998,VS.HHO.FailOutInterNodeBIntraRNC.NoReply.CS.NCell,Number of Failed CS Outgoing Intra-RNC Inter-NodeB Inter-Cell Hard Handovers (UE No Response),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
