begintime,sk_object,67194090,67194091,67194092,67194093,67194094,67194095,duration
2022-03-01 00:00:00,7525938.0,25.562,3.123,10.029,35.757,2.31,10.737,PT3600S
2022-03-01 00:00:00,7525939.0,13.638,1.587,4.666,8.666,1.203,3.316,PT3600S
2022-03-01 00:00:00,7525940.0,15.296,1.728,6.073,13.555,1.126,4.65,PT3600S
2022-03-01 00:00:00,7525941.0,17.101,1.293,5.282,11.667,1.005,4.738,PT3600S
2022-03-01 00:00:00,7525942.0,13.965,1.306,4.414,8.928,0.96,3.523,PT3600S
2022-03-01 00:00:00,7525943.0,40.557,5.101,12.293,47.315,5.075,15.801,PT3600S
2022-03-01 00:00:00,7525944.0,19.648,4.122,9.478,22.099,2.157,7.089,PT3600S
2022-03-01 00:00:00,7525945.0,23.635,2.381,7.043,18.304,3.181,8.044,PT3600S
2022-03-01 00:00:00,7525946.0,57.306,8.538,20.402,47.424,5.293,23.287,PT3600S
2022-03-01 00:00:00,7525947.0,21.299,1.331,4.501,23.098,0.634,3.036,PT3600S
2022-03-01 00:00:00,7525948.0,10.227,1.376,3.828,7.213,1.229,3.134,PT3600S
2022-03-01 00:00:00,7525949.0,54.042,4.384,11.379,73.562,3.789,13.389,PT3600S
2022-03-01 00:00:00,7525950.0,17.338,2.266,7.185,16.864,1.587,6.066,PT3600S
2022-03-01 00:00:00,7525951.0,16.685,1.235,5.395,9.312,0.998,3.878,PT3600S
2022-03-01 00:00:00,7525952.0,20.851,2.208,6.488,15.808,1.741,6.237,PT3600S
2022-03-01 00:00:00,7525953.0,14.125,0.486,4.44,9.37,0.486,3.547,PT3600S
2022-03-01 00:00:00,7525954.0,34.739,4.237,11.077,28.179,3.936,13.1,PT3600S
2022-03-01 00:00:00,7525955.0,37.856,5.478,11.227,28.915,4.198,12.909,PT3600S
2022-03-01 00:00:00,7525956.0,16.006,2.144,6.514,18.816,1.293,6.119,PT3600S
2022-03-01 00:00:00,7525957.0,13.619,1.165,4.916,12.614,0.813,4.403,PT3600S
2022-03-01 00:00:00,7525958.0,20.813,1.984,8.612,18.31,2.438,7.477,PT3600S
2022-03-01 00:00:00,7525959.0,16.973,2.867,6.705,11.13,1.965,5.108,PT3600S
2022-03-01 00:00:00,7525960.0,20.678,2.022,6.171,13.459,1.171,5.179,PT3600S
2022-03-01 00:00:00,7525961.0,29.146,0.922,7.494,19.059,0.646,6.147,PT3600S
2022-03-01 00:00:00,7525962.0,19.04,1.382,6.009,12.141,1.286,4.684,PT3600S
2022-03-01 00:00:00,7525963.0,33.811,5.523,13.821,37.037,3.878,16.346,PT3600S
2022-03-01 00:00:00,7525964.0,9.779,1.242,4.469,8.877,1.024,3.178,PT3600S
2022-03-01 00:00:00,7525965.0,21.715,2.234,7.2,22.528,1.798,7.855,PT3600S
2022-03-01 00:00:00,7525966.0,22.598,3.29,8.177,16.646,2.336,6.192,PT3600S
