begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-12,15745.0,1440.0,100.0,1382104.0,-2704.0,-7.416666666666667,2662.0,86400.0
2022-03-14,15743.0,1440.0,100.0,1372296.0,-2426.0,-0.08333333333333333,2641.0,86399.0
2022-03-12,15737.0,1440.0,100.0,1196498.0,-25718.0,6835.989583333333,603467.0,82922.0
2022-03-12,15733.0,1440.0,100.0,1371786.0,-4069778.0,-37758.25,1903264.0,86400.0
2022-03-12,15731.0,1440.0,100.0,1370619.0,-2770319.0,-10958.854166666666,2795934.0,86400.0
2022-03-11,15741.0,1440.0,100.0,1376143.0,-360072.0,-1146.8020833333333,82174.0,86400.0
2022-03-13,15737.0,1440.0,100.0,1276818.0,-10112.0,35426.010416666664,4914170.0,85284.0
2022-03-13,15746.0,1440.0,100.0,1244837.0,-56816.0,420.375,18066.0,84610.0
2022-03-13,15745.0,1440.0,100.0,1382249.0,-435.0,3.9375,202.0,86400.0
2022-03-12,15741.0,1440.0,100.0,1371892.0,-2746772.0,-25457.833333333332,1962762.0,86400.0
2022-03-17,15735.0,1380.0,95.83333333333333,1095879.0,-124404.0,13766.728260869566,1631238.0,79358.0
2022-03-19,15735.0,1380.0,95.83333333333333,1268552.0,-13216.0,892.0217391304348,30241.0,82105.0
2022-03-15,15740.0,1440.0,100.0,1209652.0,-3858.0,31945.6875,4140587.0,82349.0
2022-03-18,15744.0,1440.0,100.0,1382155.0,-971.0,8.53125,842.0,86399.0
2022-03-17,15729.0,1440.0,100.0,1365444.0,-3515.0,-13.25,1216.0,86114.0
2022-03-17,15738.0,1440.0,100.0,1366094.0,-1509.0,-25.833333333333332,1735.0,86140.0
2022-03-17,15736.0,1375.0,95.48611111111111,1320626.0,-7744.0,-79.82608695652173,2667.0,82544.0
2022-03-19,15736.0,1129.0,78.40277777777777,1069347.0,-1923.0,-60.473684210526315,297.0,67710.0
2022-03-17,15744.0,1440.0,100.0,1365801.0,-715.0,-14.125,417.0,86120.0
2022-03-11,15733.0,1440.0,100.0,1376264.0,-45385.0,975.0,120725.0,86400.0
2022-03-19,15747.0,1310.0,90.97222222222223,1258793.0,-643.0,16.363636363636363,477.0,78678.0
2022-03-16,15730.0,1400.0,97.22222222222223,1043584.0,-5238354.0,109919.44791666667,6222201.0,77362.0
2022-03-19,15737.0,1380.0,95.83333333333333,1110477.0,-157012.0,-2056.336956521739,276918.0,80142.0
2022-03-13,15730.0,1440.0,100.0,1333913.0,-18804402.0,-139857.59375,2317431.0,86000.0
2022-03-11,15738.0,1440.0,100.0,1382315.0,-603.0,-6.09375,264.0,86400.0
2022-03-18,15733.0,1440.0,100.0,1382365.0,-1997.0,-7.208333333333333,1421.0,86400.0
2022-03-11,15731.0,1440.0,100.0,1376080.0,-75242.0,1817.34375,147075.0,86399.0
2022-03-14,15746.0,1440.0,100.0,1380723.0,-11818.0,134.8125,18212.0,86400.0
2022-03-17,15734.0,1378.0,95.69444444444444,1322279.0,-1467.0,-56.69565217391305,507.0,82673.0
2022-03-16,15732.0,1440.0,100.0,1182234.0,-1506002.0,42735.416666666664,6294126.0,82486.0
2022-03-11,15742.0,1440.0,100.0,1321514.0,-89294.0,262.0104166666667,33293.0,85992.0
