begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-12,21385.0,1440.0,100.0,4548.0,964.0,0.0,878.0,0.0,0.0,0.0,125.0,0.0
2022-03-19,21387.0,1310.0,90.97222222222223,3643.0,1479.0,0.0,899.0,0.0,0.0,0.0,44.0,0.0
2022-03-14,21360.0,1440.0,100.0,16903.0,1474.0,0.0,1627.0,0.0,0.0,0.0,428.0,0.0
2022-03-19,21371.0,1380.0,95.83333333333333,69255.0,11528.0,0.0,6523.0,0.0,0.0,0.0,4539.0,0.0
2022-03-13,21388.0,1440.0,100.0,9985.0,740.0,0.0,912.0,0.0,0.0,0.0,365.0,0.0
2022-03-18,21369.0,1440.0,100.0,15664.0,1164.0,0.0,1580.0,0.0,0.0,0.0,2121.0,0.0
2022-03-13,21315.0,1440.0,100.0,3705.0,26.0,0.0,111.0,0.0,0.0,0.0,712.0,0.0
2022-03-11,21370.0,1440.0,100.0,11982.0,13822.0,0.0,6120.0,0.0,0.0,0.0,1746.0,0.0
2022-03-19,21318.0,1129.0,78.40277777777777,12662.0,404.0,0.0,436.0,0.0,0.0,0.0,575.0,0.0
2022-03-18,21333.0,1440.0,100.0,4828.0,94.0,0.0,46.0,0.0,0.0,0.0,1527.0,0.0
2022-03-17,21312.0,1440.0,100.0,35226.0,1444.0,0.0,2605.0,0.0,0.0,0.0,6193.0,0.0
2022-03-13,21314.0,1440.0,100.0,14231.0,1531.0,0.0,1833.0,0.0,0.0,0.0,2245.0,0.0
2022-03-13,21331.0,1440.0,100.0,4449.0,6213.0,0.0,2420.0,0.0,0.0,0.0,584.0,0.0
2022-03-15,21373.0,1440.0,100.0,13046.0,1035.0,0.0,860.0,0.0,0.0,0.0,1530.0,0.0
2022-03-15,21315.0,1416.0,98.33333333333333,2879.0,45.0,0.0,105.0,0.0,0.0,0.0,590.0,0.0
2022-03-12,21376.0,1440.0,100.0,16275.0,1097.0,0.0,1407.0,0.0,0.0,0.0,2397.0,0.0
2022-03-13,21370.0,1440.0,100.0,12697.0,19257.0,0.0,7731.0,0.0,0.0,0.0,1711.0,0.0
2022-03-14,21387.0,1440.0,100.0,3348.0,1698.0,0.0,764.0,0.0,0.0,0.0,13.0,0.0
2022-03-14,21351.0,1422.0,98.75,32218.0,683.0,0.0,941.0,0.0,0.0,0.0,1207.0,0.0
2022-03-19,21352.0,1380.0,95.83333333333333,824.0,1469.0,0.0,501.0,0.0,0.0,0.0,76.0,0.0
2022-03-14,21353.0,1440.0,100.0,7840.0,541.0,0.0,478.0,0.0,0.0,0.0,245.0,0.0
2022-03-15,21372.0,1440.0,100.0,9622.0,1945.0,0.0,1557.0,0.0,0.0,0.0,610.0,0.0
