begintime,sk_object,duration,integrity,67189907,67189908,73394034,73394035,73394036,73394037,73394038,67183495,67183496,67183497,67183498,73394039
2022-03-03,7582386.0,79200.0,91.66666666666667,2.0,0.0,420.0,0.0,420.0,416.0,0.0,416.0,413.0,2.0,2.0,0.0
2022-02-17,12504742.0,14400.0,16.666666666666668,1.0,0.0,13.0,0.0,13.0,13.0,0.0,13.0,12.0,0.0,0.0,0.0
2022-03-10,7584814.0,21600.0,25.0,1.0,0.0,10.0,0.0,10.0,9.0,0.0,9.0,8.0,0.0,0.0,0.0
2022-03-01,7585776.0,64800.0,75.0,2.0,0.0,133.0,0.0,133.0,131.0,0.0,131.0,127.0,0.0,0.0,0.0
2022-03-02,7583332.0,32400.0,37.5,0.0,0.0,13.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0
2022-02-11,7585813.0,64800.0,75.0,1.0,0.0,73.0,0.0,73.0,72.0,0.0,72.0,71.0,0.0,0.0,0.0
2022-02-17,7591933.0,50400.0,58.333333333333336,2.0,0.0,18.0,0.0,18.0,17.0,0.0,17.0,15.0,0.0,0.0,0.0
2022-03-06,7590846.0,39600.0,45.833333333333336,0.0,0.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,1.0,1.0,0.0
2022-02-12,7592170.0,79200.0,91.66666666666667,27.0,1.0,299.0,0.0,299.0,296.0,0.0,296.0,266.0,6.0,5.0,0.0
2022-03-02,11927318.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-11,7587370.0,64800.0,75.0,3.0,0.0,92.0,0.0,92.0,92.0,0.0,92.0,89.0,1.0,1.0,0.0
2022-02-18,9896386.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-13,7589855.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-06,7588690.0,46800.0,54.166666666666664,1.0,0.0,41.0,0.0,41.0,40.0,0.0,40.0,39.0,0.0,0.0,0.0
2022-03-06,7847680.0,14400.0,16.666666666666668,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0
2022-03-13,7591836.0,25200.0,29.166666666666668,0.0,0.0,7.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0
2022-02-12,7588405.0,61200.0,70.83333333333333,0.0,0.0,51.0,0.0,51.0,51.0,0.0,51.0,50.0,0.0,0.0,0.0
2022-03-06,7588332.0,54000.0,62.5,2.0,0.0,30.0,0.0,30.0,30.0,0.0,30.0,28.0,0.0,0.0,0.0
2022-03-02,9315797.0,43200.0,50.0,1.0,0.0,22.0,0.0,22.0,22.0,0.0,22.0,21.0,0.0,0.0,0.0
2022-02-20,9596011.0,21600.0,25.0,4.0,0.0,11.0,0.0,11.0,11.0,0.0,11.0,6.0,0.0,0.0,0.0
2022-03-10,7586502.0,64800.0,75.0,3.0,0.0,214.0,0.0,214.0,212.0,0.0,212.0,210.0,7.0,6.0,0.0
2022-02-20,7587092.0,28800.0,33.333333333333336,0.0,0.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0
2022-03-15,7590451.0,50400.0,58.333333333333336,8.0,0.0,26.0,0.0,26.0,26.0,0.0,26.0,18.0,0.0,0.0,0.0
2022-03-12,7584645.0,61200.0,70.83333333333333,3.0,0.0,170.0,0.0,170.0,168.0,0.0,168.0,165.0,1.0,1.0,0.0
2022-02-06,7591241.0,72000.0,83.33333333333333,10.0,0.0,347.0,0.0,347.0,345.0,0.0,345.0,333.0,1.0,1.0,0.0
2022-02-03,10482482.0,7200.0,8.333333333333334,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-03-03,7588196.0,75600.0,87.5,5.0,0.0,145.0,0.0,145.0,144.0,0.0,144.0,138.0,2.0,1.0,0.0
2022-03-01,7587210.0,57600.0,66.66666666666667,0.0,0.0,77.0,0.0,77.0,77.0,0.0,77.0,77.0,0.0,0.0,0.0
2022-03-02,7583363.0,39600.0,45.833333333333336,1.0,0.0,29.0,0.0,29.0,29.0,0.0,29.0,28.0,0.0,0.0,0.0
2022-03-14,7588238.0,68400.0,79.16666666666667,2.0,0.0,151.0,0.0,151.0,150.0,0.0,150.0,147.0,0.0,0.0,0.0
