begintime,sk_object,duration,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2022-03-11 00:00:00,23176.0,15,0.0,0.0,56976.0,13.0,1838255312.0,191851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23177.0,15,0.0,0.0,0.0,0.0,4558090304.0,10190135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23178.0,15,0.0,0.0,2260032.0,400.0,3320440.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23179.0,15,0.0,0.0,6916872.0,2412.0,313561960.0,30825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23180.0,15,0.0,0.0,0.0,0.0,160307888.0,32434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23181.0,15,0.0,0.0,0.0,0.0,153434288.0,44785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23182.0,15,0.0,0.0,53072.0,13.0,194163576.0,319068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23183.0,15,0.0,0.0,0.0,0.0,229479528.0,16283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23184.0,15,0.0,0.0,0.0,0.0,1988905008.0,254147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23185.0,15,0.0,0.0,0.0,0.0,209371256.0,33596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23186.0,15,0.0,0.0,0.0,0.0,202927216.0,31503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23187.0,15,0.0,0.0,0.0,0.0,186819880.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23188.0,15,0.0,0.0,320.0,1.0,892126208.0,136515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23189.0,15,0.0,0.0,0.0,0.0,23174976.0,2555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23190.0,15,0.0,0.0,0.0,0.0,458098280.0,51028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23191.0,15,0.0,0.0,0.0,0.0,2705064.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23192.0,15,0.0,0.0,0.0,0.0,79863472.0,4882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23193.0,15,0.0,0.0,137328.0,51.0,998755320.0,192060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23194.0,15,0.0,0.0,0.0,0.0,1188547312.0,194647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23195.0,15,0.0,0.0,0.0,0.0,183167912.0,8207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23196.0,15,0.0,0.0,0.0,0.0,561247840.0,146314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23197.0,15,0.0,0.0,0.0,0.0,8728.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23198.0,15,0.0,0.0,730480.0,548.0,1897405072.0,6567017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23199.0,15,0.0,0.0,0.0,0.0,1768865080.0,1042285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23200.0,15,0.0,0.0,0.0,0.0,1548782296.0,521138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23201.0,15,0.0,0.0,0.0,0.0,23853416.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23202.0,15,0.0,0.0,375816.0,84.0,391168480.0,120245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23203.0,15,0.0,0.0,450976.0,145.0,182178360.0,120717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23204.0,15,0.0,0.0,9360.0,2.0,1187100200.0,274666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23205.0,15,0.0,0.0,0.0,0.0,219359272.0,28016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23206.0,15,0.0,0.0,0.0,0.0,216083648.0,13152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23207.0,15,0.0,0.0,429560.0,50.0,1338241888.0,323740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23208.0,15,0.0,0.0,0.0,0.0,93396504.0,3775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
