Local ID,Peer ID,Tech,domain,type,Local Name,Peer Name
24,254.0,2G,Radio,Relation,,
6,254.0,2G,Radio,Relation,,
301,254.0,2G,Radio,Relation,,
22,255.0,2G,Radio,Relation,,
24,255.0,2G,Radio,Relation,,
210,255.0,2G,Radio,Relation,,
179,294.0,2G,Radio,Relation,,
179,295.0,2G,Radio,Relation,,
90,295.0,2G,Radio,Relation,,
189,301.0,2G,Radio,Relation,,
190,301.0,2G,Radio,Relation,,
1,312.0,2G,Radio,Relation,,
49,312.0,2G,Radio,Relation,,
55,312.0,2G,Radio,Relation,,
72,312.0,2G,Radio,Relation,,
119,312.0,2G,Radio,Relation,,
145,312.0,2G,Radio,Relation,,
146,312.0,2G,Radio,Relation,,
153,312.0,2G,Radio,Relation,,
160,312.0,2G,Radio,Relation,,
162,312.0,2G,Radio,Relation,,
163,312.0,2G,Radio,Relation,,
166,312.0,2G,Radio,Relation,,
167,312.0,2G,Radio,Relation,,
168,312.0,2G,Radio,Relation,,
189,312.0,2G,Radio,Relation,,
253,312.0,2G,Radio,Relation,,
255,312.0,2G,Radio,Relation,,
20,191.0,2G,Radio,Relation,,
41,195.0,2G,Radio,Relation,,
41,198.0,2G,Radio,Relation,,
41,256.0,2G,Radio,Relation,,
41,257.0,2G,Radio,Relation,,
41,258.0,2G,Radio,Relation,,
41,180.0,2G,Radio,Relation,,
41,181.0,2G,Radio,Relation,,
41,313.0,2G,Radio,Relation,,
41,232.0,2G,Radio,Relation,,
41,314.0,2G,Radio,Relation,,
42,250.0,2G,Radio,Relation,,
42,180.0,2G,Radio,Relation,,
42,193.0,2G,Radio,Relation,,
42,198.0,2G,Radio,Relation,,
42,256.0,2G,Radio,Relation,,
42,257.0,2G,Radio,Relation,,
42,258.0,2G,Radio,Relation,,
42,181.0,2G,Radio,Relation,,
42,313.0,2G,Radio,Relation,,
42,314.0,2G,Radio,Relation,,
43,194.0,2G,Radio,Relation,,
43,195.0,2G,Radio,Relation,,
43,198.0,2G,Radio,Relation,,
43,191.0,2G,Radio,Relation,,
43,256.0,2G,Radio,Relation,,
43,257.0,2G,Radio,Relation,,
43,258.0,2G,Radio,Relation,,
43,180.0,2G,Radio,Relation,,
43,192.0,2G,Radio,Relation,,
43,193.0,2G,Radio,Relation,,
43,232.0,2G,Radio,Relation,,
43,314.0,2G,Radio,Relation,,
195,41.0,2G,Radio,Relation,,
198,41.0,2G,Radio,Relation,,
256,41.0,2G,Radio,Relation,,
