begintime,sk_object,duration,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-15 22:30:00,15742.0,15,1208.0,0.0,0.0,0.0,368.0
2022-03-11 00:00:00,15729.0,15,14400.0,-160.0,-113.0,-37.0,900.0
2022-03-11 00:00:00,15730.0,15,14228.0,998.0,1587.0,2447.0,900.0
2022-03-11 00:00:00,15731.0,15,14399.0,14153.0,19020.0,27175.0,899.0
2022-03-11 00:00:00,15732.0,15,14400.0,3594.0,7063.0,13350.0,900.0
2022-03-11 00:00:00,15733.0,15,14397.0,6519.0,17457.0,22095.0,900.0
2022-03-11 00:00:00,15734.0,15,14400.0,1247.0,1454.0,1551.0,900.0
2022-03-11 00:00:00,15735.0,15,14400.0,-6591.0,-3659.0,390.0,900.0
2022-03-11 00:00:00,15736.0,15,14397.0,10260.0,17739.0,23433.0,900.0
2022-03-11 00:00:00,15737.0,15,14398.0,-18452.0,-17515.0,-16459.0,900.0
2022-03-11 00:00:00,15738.0,15,14400.0,-148.0,-36.0,18.0,900.0
2022-03-11 00:00:00,15739.0,15,14400.0,-673.0,-653.0,-628.0,900.0
2022-03-11 00:00:00,15740.0,15,14400.0,1891.0,6015.0,15006.0,900.0
2022-03-11 00:00:00,15741.0,15,14399.0,9189.0,29897.0,74124.0,900.0
2022-03-11 00:00:00,15742.0,15,14182.0,-1681.0,-1446.0,-1294.0,900.0
2022-03-11 00:00:00,15743.0,15,14391.0,-32.0,9.0,127.0,900.0
2022-03-11 00:00:00,15744.0,15,14400.0,234.0,577.0,949.0,900.0
2022-03-11 00:00:00,15745.0,15,14398.0,-769.0,-581.0,-454.0,900.0
2022-03-11 00:00:00,15746.0,15,14397.0,-357.0,1282.0,2011.0,900.0
2022-03-11 00:00:00,15747.0,15,14400.0,5.0,16.0,48.0,900.0
2022-03-11 00:15:00,15729.0,15,14398.0,-174.0,-130.0,-37.0,900.0
2022-03-11 00:15:00,15730.0,15,14303.0,2447.0,7696.0,10091.0,900.0
2022-03-11 00:15:00,15731.0,15,14400.0,9824.0,18033.0,21081.0,900.0
2022-03-11 00:15:00,15732.0,15,14400.0,-8756.0,-3606.0,3594.0,900.0
2022-03-11 00:15:00,15733.0,15,14400.0,6519.0,6891.0,7143.0,900.0
2022-03-11 00:15:00,15734.0,15,14399.0,-2733.0,-1229.0,1247.0,900.0
2022-03-11 00:15:00,15735.0,15,14400.0,-9981.0,-9334.0,-6591.0,900.0
2022-03-11 00:15:00,15736.0,15,14400.0,-6508.0,-2338.0,23433.0,900.0
2022-03-11 00:15:00,15737.0,15,14400.0,-16459.0,-14802.0,-12951.0,900.0
2022-03-11 00:15:00,15738.0,15,14400.0,-148.0,-108.0,-85.0,900.0
2022-03-11 00:15:00,15739.0,15,14400.0,-628.0,-496.0,-411.0,900.0
2022-03-11 00:15:00,15740.0,15,14400.0,-2904.0,-2744.0,1891.0,900.0
2022-03-11 00:15:00,15741.0,15,14400.0,9189.0,10342.0,12391.0,900.0
2022-03-11 00:15:00,15742.0,15,14195.0,-1681.0,-399.0,217.0,900.0
2022-03-11 00:15:00,15743.0,15,14396.0,79.0,111.0,150.0,900.0
2022-03-11 00:15:00,15744.0,15,14399.0,-2542.0,-984.0,234.0,900.0
2022-03-11 00:15:00,15745.0,15,14400.0,-454.0,-383.0,-319.0,900.0
2022-03-11 00:15:00,15746.0,15,14376.0,-3045.0,-1982.0,-357.0,900.0
2022-03-11 00:15:00,15747.0,15,14400.0,27.0,31.0,38.0,900.0
2022-03-11 00:30:00,15729.0,15,14395.0,-178.0,-163.0,-157.0,900.0
2022-03-11 00:30:00,15730.0,15,14377.0,4048.0,4370.0,10091.0,900.0
2022-03-11 00:30:00,15731.0,15,14399.0,-1135.0,4064.0,9824.0,900.0
2022-03-11 00:30:00,15732.0,15,14400.0,-8756.0,-8089.0,-7540.0,900.0
2022-03-11 00:30:00,15733.0,15,14400.0,-6221.0,-190.0,7143.0,900.0
2022-03-11 00:30:00,15734.0,15,14399.0,-2733.0,-2107.0,-1507.0,900.0
2022-03-11 00:30:00,15735.0,15,14400.0,-9176.0,-8894.0,-8624.0,900.0
2022-03-11 00:30:00,15736.0,15,14400.0,-4726.0,-4001.0,-3208.0,900.0
2022-03-11 00:30:00,15737.0,15,14400.0,-12951.0,-12308.0,-11260.0,900.0
2022-03-11 00:30:00,15738.0,15,14400.0,-114.0,-101.0,-67.0,900.0
2022-03-11 00:30:00,15739.0,15,14400.0,-411.0,-407.0,-401.0,900.0
2022-03-11 00:30:00,15740.0,15,14400.0,-2556.0,-2108.0,-1803.0,900.0
2022-03-11 00:30:00,15741.0,15,14400.0,5830.0,8061.0,12391.0,900.0
2022-03-11 00:30:00,15742.0,15,14013.0,-923.0,-346.0,1312.0,900.0
2022-03-11 00:30:00,15743.0,15,14396.0,-21.0,23.0,150.0,900.0
2022-03-11 00:30:00,15744.0,15,14400.0,-2542.0,-2110.0,-1417.0,900.0
2022-03-11 00:30:00,15745.0,15,14400.0,-372.0,-348.0,-263.0,900.0
2022-03-11 00:30:00,15746.0,15,14396.0,-13448.0,-11148.0,-3045.0,900.0
2022-03-11 00:30:00,15747.0,15,14400.0,16.0,30.0,38.0,900.0
2022-03-11 00:45:00,15729.0,15,14400.0,-178.0,-163.0,-152.0,900.0
2022-03-11 00:45:00,15730.0,15,14400.0,86.0,1891.0,4048.0,900.0
2022-03-11 00:45:00,15731.0,15,14400.0,-1290.0,-1235.0,-1072.0,900.0
2022-03-11 00:45:00,15732.0,15,14400.0,-9464.0,-8856.0,-7386.0,900.0
2022-03-11 00:45:00,15733.0,15,14398.0,-6221.0,-5286.0,-4367.0,900.0
2022-03-11 00:45:00,15734.0,15,14400.0,-1507.0,-1224.0,-974.0,900.0
2022-03-11 00:45:00,15735.0,15,14400.0,-9176.0,-7490.0,-5064.0,900.0
2022-03-11 00:45:00,15736.0,15,14400.0,-3208.0,-2330.0,-1462.0,900.0
2022-03-11 00:45:00,15737.0,15,14397.0,-11260.0,-9906.0,-9279.0,900.0
2022-03-11 00:45:00,15738.0,15,14400.0,-89.0,-79.0,-67.0,900.0
2022-03-11 00:45:00,15739.0,15,14400.0,-569.0,-512.0,-401.0,900.0
2022-03-11 00:45:00,15740.0,15,14400.0,-4071.0,-2514.0,-1803.0,900.0
2022-03-11 00:45:00,15741.0,15,14400.0,-2047.0,1254.0,5830.0,900.0
2022-03-11 00:45:00,15742.0,15,14177.0,1312.0,1410.0,1501.0,900.0
2022-03-11 00:45:00,15743.0,15,14398.0,0.0,18.0,51.0,900.0
2022-03-11 00:45:00,15744.0,15,14400.0,-1417.0,-1274.0,-1007.0,900.0
2022-03-11 00:45:00,15745.0,15,14400.0,-303.0,-280.0,-263.0,900.0
2022-03-11 00:45:00,15746.0,15,14400.0,-13448.0,-12542.0,-11672.0,900.0
2022-03-11 00:45:00,15747.0,15,14400.0,16.0,21.0,33.0,900.0
2022-03-11 01:00:00,15729.0,15,14400.0,-152.0,-136.0,-129.0,900.0
2022-03-11 01:00:00,15730.0,15,14400.0,86.0,6711.0,29028.0,900.0
