NE Name,fdn,ACTSTATUS,BCC,BCCHNO,BSPAGBLKSRES,BSPBCCHBLKS,BSPRACHBLKS,BTSID,CELLID,CELLNAME,CGI,CI,CSDSP,CSVSP,EXTTP,FLEXMAIO,IDTYPE,IUOTP,LAC,MCC,MNC,MOIndex,NCC,NEWCELLNAME,OPNAME,PSHPSP,PSLPSVP,REMARK,TYPE,className,name,neID
FTBSC02,"NE=280,GCELL=385",ACTIVATED,0,56,4,1,1,49,385,ABERDEEN-1,61905025836BB,14011,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_385,5,ABERDEEN-1,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=ABERDEEN-1, CellIndex=385, CGI=61905025836BB",26
FTBSC02,"NE=280,GCELL=386",ACTIVATED,2,52,4,1,1,49,386,ABERDEEN-2,61905025836BC,14012,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_386,2,ABERDEEN-2,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=ABERDEEN-2, CellIndex=386, CGI=61905025836BC",26
FTBSC02,"NE=280,GCELL=387",ACTIVATED,1,60,4,1,1,49,387,ABERDEEN-3,61905025836BD,14013,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_387,5,ABERDEEN-3,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=ABERDEEN-3, CellIndex=387, CGI=61905025836BD",26
FTBSC02,"NE=280,GCELL=388",ACTIVATED,3,775,4,1,1,49,388,ABERDEEN-6,61905025836C0,14016,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_388,4,ABERDEEN-6,Africell,4,6,-,DCS1800,BSC6900GSMCell,"LABEL=ABERDEEN-6, CellIndex=388, CGI=61905025836C0",26
FTBSC02,"NE=280,GCELL=389",ACTIVATED,5,762,4,1,1,49,389,ABERDEEN-7,61905025836C1,14017,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_389,5,ABERDEEN-7,Africell,4,6,-,DCS1800,BSC6900GSMCell,"LABEL=ABERDEEN-7, CellIndex=389, CGI=61905025836C1",26
FTBSC02,"NE=280,GCELL=390",ACTIVATED,1,773,4,1,1,49,390,ABERDEEN-8,61905025836C2,14018,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_390,3,ABERDEEN-8,Africell,4,6,-,DCS1800,BSC6900GSMCell,"LABEL=ABERDEEN-8, CellIndex=390, CGI=61905025836C2",26
FTBSC02,"NE=280,GCELL=465",ACTIVATED,3,58,4,1,1,59,465,MURRAYTOWN-1,61905025836C5,14021,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_465,3,MURRAYTOWN-1,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=MURRAYTOWN-1, CellIndex=465, CGI=61905025836C5",26
FTBSC02,"NE=280,GCELL=466",ACTIVATED,1,54,4,1,1,59,466,MURRAYTOWN-2,61905025836C6,14022,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_466,1,MURRAYTOWN-2,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=MURRAYTOWN-2, CellIndex=466, CGI=61905025836C6",26
FTBSC02,"NE=280,GCELL=467",ACTIVATED,5,64,4,1,1,59,467,MURRAYTOWN-3,61905025836C7,14023,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_467,4,MURRAYTOWN-3,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=MURRAYTOWN-3, CellIndex=467, CGI=61905025836C7",26
FTBSC02,"NE=280,GCELL=497",ACTIVATED,7,58,4,1,1,63,497,WILKINSONROAD-1,619050258370B,14091,5,3,NORMAL_CELL,OFF,BYID,NORMAL_CELL,600,619,05,26_497,3,WILKINSONROAD-1,Africell,4,6,-,GSM900,BSC6900GSMCell,"LABEL=WILKINSONROAD-1, CellIndex=497, CGI=619050258370B",26
