begintime,sk_object,duration,integrity,67189907,67189908,73394034,73394035,73394036,73394037,73394038,67183495,67183496,67183497,67183498,73394039
2022-03-01 08:00:00,7592512.0,3600.0,100.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-03-01 07:00:00,7585776.0,3600.0,100.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-03-01 12:00:00,7587210.0,3600.0,100.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-03-14 10:00:00,7588060.0,3600.0,100.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-02-18 15:00:00,7844933.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-06 17:00:00,7850695.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2022-02-20 21:00:00,9605269.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-04 22:00:00,7585163.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-13 19:00:00,7587175.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-01 13:00:00,9603685.0,3600.0,100.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2022-02-12 16:00:00,11355773.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-15 22:00:00,7584036.0,3600.0,100.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0
2022-02-20 08:00:00,7583614.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-02 11:00:00,7591496.0,3600.0,100.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0
2022-03-02 20:00:00,9315880.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-07 18:00:00,7583076.0,3600.0,100.0,0.0,0.0,38.0,0.0,38.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0
2022-03-01 23:00:00,7586213.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-02 08:00:00,7592192.0,3600.0,100.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-02-13 22:00:00,12810471.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-11 22:00:00,9596133.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-13 23:00:00,7588893.0,3600.0,100.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2022-03-15 18:00:00,7583593.0,3600.0,100.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-03-12 13:00:00,7586553.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-04 00:00:00,7585901.0,3600.0,100.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-02-12 18:00:00,10188007.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-06 08:00:00,7589437.0,3600.0,100.0,0.0,0.0,19.0,0.0,19.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0
2022-02-12 21:00:00,7586521.0,3600.0,100.0,0.0,0.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0
2022-02-06 23:00:00,7590389.0,3600.0,100.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2022-02-03 11:00:00,11928585.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-13 20:00:00,7852580.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-12 13:00:00,9067792.0,3600.0,100.0,1.0,0.0,26.0,0.0,26.0,26.0,0.0,26.0,25.0,0.0,0.0,0.0
2022-02-18 09:00:00,9896386.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-06 19:00:00,9318643.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-02 13:00:00,7583846.0,3600.0,100.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2022-02-19 15:00:00,7590380.0,3600.0,100.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-02-06 15:00:00,7588431.0,3600.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
