begintime,ne_name,sk_object,ne_type,vendor,integrity,HU LTE_DL Traffic(GB),id
2024-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,106.3029,13
2024-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=6,Cell Name=4G_ALLENTOWN-6,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808740.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,39.1114,14
2024-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=7,Cell Name=4G_ALLENTOWN-7,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808926.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,76.609,15
2024-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=8,Cell Name=4G_ALLENTOWN-8,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",817370.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,130.8509,16
2024-03-01,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=1,Cell Name=4G_ALLENTOWN_II-1,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",808988.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,8.3348,17
2024-03-01,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=2,Cell Name=4G_ALLENTOWN_II-2,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",808821.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,84.5434,18
2024-03-01,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809081.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,83.6899,19
2024-03-01,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=6,Cell Name=4G_ALLENTOWN_II-6,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809173.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,8.0516,20
2024-03-01,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=7,Cell Name=4G_ALLENTOWN_II-7,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",808848.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,44.8774,21
2024-03-01,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=8,Cell Name=4G_ALLENTOWN_II-8,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809107.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,69.7167,22
2024-03-01,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=1,Cell Name=4G_BAOMAHUN-1,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",808991.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,10.2314,23
2024-03-01,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=2,Cell Name=4G_BAOMAHUN-2,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",809120.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.2173,24
2024-03-01,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=3,Cell Name=4G_BAOMAHUN-3,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",809159.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.748,25
2024-03-01,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II,Local Cell ID=1,Cell Name=4G_BARGBORHILL_II-1,eNodeB ID=5042,Cell FDD TDD indication=CELL_FDD",808983.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,50.2342,26
2024-03-01,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II,Local Cell ID=2,Cell Name=4G_BARGBORHILL_II-2,eNodeB ID=5042,Cell FDD TDD indication=CELL_FDD",809150.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,30.733,27
2024-03-01,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II,Local Cell ID=3,Cell Name=4G_BARGBORHILL_II-3,eNodeB ID=5042,Cell FDD TDD indication=CELL_FDD",817427.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,102.2592,28
2024-03-01,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI,Local Cell ID=1,Cell Name=4G_BARMOI-1,eNodeB ID=5129,Cell FDD TDD indication=CELL_FDD",17121902.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.9188,29
2024-03-01,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI,Local Cell ID=2,Cell Name=4G_BARMOI-2,eNodeB ID=5129,Cell FDD TDD indication=CELL_FDD",17121642.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,7.9328,30
2024-03-01,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI,Local Cell ID=3,Cell Name=4G_BARMOI-3,eNodeB ID=5129,Cell FDD TDD indication=CELL_FDD",17121768.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,11.6497,31
2024-03-01,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=1,Cell Name=4G_BINTUMANI-1,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808843.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,36.1029,32
2024-03-01,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=2,Cell Name=4G_BINTUMANI-2,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808733.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,24.8491,33
2024-03-01,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=3,Cell Name=4G_BINTUMANI-3,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808925.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,25.3927,34
2024-03-01,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=6,Cell Name=4G_BINTUMANI-6,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",809141.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,66.2477,35
