Severity,Alarm ID,Name,NE type,Alarm source,MO Name,Location Information,Occurred On (NT),Cleared On (NT),Acknowledged On (ST),Cleared by,Acknowledged by,Clearance Status,RRU Name,CELL Name,Acknowledgement Status,BBU Name,eNodeB ID,gNodeB ID,Log Serial Number,User label,Equipment Alarm Serial Number,Additional Information,Maintenance Status,Subnet
Major,25622,Mains Input Out of Range,BTS5900,Brufut_Mkt,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 14:42:31,2024-05-30 14:48:17,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Brufut_Mkt,4082,-,14007506,-,4651,RAT_INFO=GL; AFFECTED_RAT=GL; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4082,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Kanifing Estate,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 14:38:43,2024-05-30 14:41:12,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Kanifing Estate,4102,-,14007496,-,1058,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4102,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Gouygi Market,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 14:37:52,2024-05-30 14:50:25,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Gouygi Market,4117,-,14007493,-,855,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4117,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Kanifing Estate,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 14:24:21,2024-05-30 14:25:00,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Kanifing Estate,4102,-,14007421,-,1057,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4102,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Sinchu Sorry,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 14:20:40,2024-05-30 14:25:26,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Sinchu Sorry,4143,-,14007402,-,1234,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4143,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Kanifing Estate,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 14:14:12,2024-05-30 14:19:58,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Kanifing Estate,4102,-,14007380,-,1056,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4102,NORMAL,ROOT/EASY_DEPLOYMENT
Major,26234,BBU CPRI Interface Error,BTS5900,Farato,Farato,Cabinet No.=0; Subrack No.=0; Slot No.=4; Port No.=4; Sub Port No.=0; Board Type=UBBP; Specific Problem=Receive No Signal,2024-05-30 14:03:04,2024-05-30 14:06:13,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Farato,4185,-,14007333,-,438,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; RRU Name=0-71-0; eNodeBId=4185,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Farato,eNodeB Function Name=L_Farato; Local Cell ID=8; Cell Name=L21_Farato_8; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Farato; Local Cell ID=8; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L21_Farato_8; eNodeB ID=4185; Cell ID=8; Specific Problem=RF module abnormal,2024-05-30 14:03:21,2024-05-30 14:06:46,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,L21_Farato_8,Acknowledged,Farato,4185,-,14007329,-,437,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4185,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Farato,eNodeB Function Name=L_Farato; Local Cell ID=9; Cell Name=L21_Farato_9; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Farato; Local Cell ID=9; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L21_Farato_9; eNodeB ID=4185; Cell ID=9; Specific Problem=RF module abnormal,2024-05-30 14:03:18,2024-05-30 14:06:49,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,L21_Farato_9,Acknowledged,Farato,4185,-,14007328,-,436,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4185,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Farato,eNodeB Function Name=L_Farato; Local Cell ID=6; Cell Name=L18_Farato_6; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Farato; Local Cell ID=6; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L18_Farato_6; eNodeB ID=4185; Cell ID=6; Specific Problem=RF module abnormal,2024-05-30 14:03:18,2024-05-30 14:06:46,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,L18_Farato_6,Acknowledged,Farato,4185,-,14007327,-,435,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4185,NORMAL,ROOT/EASY_DEPLOYMENT
