begintime,ne_name,ne_type,vendor,integrity,SFP_SMOD_BITS_RECV,id
2022-03-11,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,1
2022-03-11,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,2
2022-03-11,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,3
2022-03-11,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,4
2022-03-11,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,5
2022-03-11,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,6
2022-03-11,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,7
2022-03-11,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,8
2022-03-11,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,9
2022-03-11,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,10
2022-03-11,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,11
2022-03-11,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,12
2022-03-11,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,13
2022-03-11,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,14
2022-03-11,"MRBTS-5080,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,15
2022-03-11,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,16
2022-03-11,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,17
2022-03-11,"MRBTS-5082,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,18
2022-03-11,"MRBTS-5083,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,19
2022-03-11,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,20
2022-03-11,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,21
2022-03-11,"MRBTS-5085,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,22
2022-03-11,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,23
2022-03-11,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,24
2022-03-11,"MRBTS-5089,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,25
2022-03-11,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,26
2022-03-11,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,27
2022-03-11,"MRBTS-5091,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,28
2022-03-11,"MRBTS-5102,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,29
2022-03-11,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,45.45,386924544000000.0,30
2022-03-11,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,45.45,386924544000000.0,31
2022-03-12,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,32
2022-03-12,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,33
2022-03-12,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,34
2022-03-12,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,35
2022-03-12,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,36
2022-03-12,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,37
2022-03-12,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,97.36,414941184000000.0,38
2022-03-12,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,97.36,414941184000000.0,39
2022-03-12,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,40
2022-03-12,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,41
2022-03-12,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,42
2022-03-12,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,43
2022-03-12,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,44
2022-03-12,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,45
2022-03-12,"MRBTS-5080,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,46
2022-03-12,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,47
2022-03-12,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,48
2022-03-12,"MRBTS-5082,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,49
2022-03-12,"MRBTS-5083,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,50
2022-03-12,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,48.09,410812416000000.0,51
2022-03-12,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,48.09,411107328000000.0,52
2022-03-12,"MRBTS-5085,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,53
2022-03-12,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,54
2022-03-12,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,55
2022-03-12,"MRBTS-5089,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,56
2022-03-12,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,57
2022-03-12,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,58
2022-03-12,"MRBTS-5091,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,59
2022-03-12,"MRBTS-5102,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,60
2022-03-12,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,46.88,398721024000000.0,61
2022-03-12,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,46.88,398721024000000.0,62
2022-03-13,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,63
2022-03-13,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,64
2022-03-13,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,65
2022-03-13,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,66
2022-03-13,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,67
2022-03-13,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,68
2022-03-13,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,69
2022-03-13,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,70
2022-03-13,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,71
2022-03-13,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,72
2022-03-13,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,73
2022-03-13,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,74
2022-03-13,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,75
2022-03-13,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,76
2022-03-13,"MRBTS-5080,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,77
2022-03-13,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,97.01,411697152000000.0,78
2022-03-13,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,97.01,411697152000000.0,79
2022-03-13,"MRBTS-5082,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,80
2022-03-13,"MRBTS-5083,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,81
2022-03-13,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,82
2022-03-13,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424378368000000.0,83
2022-03-13,"MRBTS-5085,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,84
2022-03-13,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,85
2022-03-13,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,100.0,424673280000000.0,86
