begintime,sk_object,duration,integrity,1277069417,1277069419,1277069420,1277069421,1277069422,1277069423,1282411682,1282411683,1282436789,1282436790,1282438921,1282459444,is_busy_hour
2022-03-03 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449314.0,1.0,0.0,,1
2022-02-17 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388710.0,0.0,0.0,,1
2022-03-15 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365087.0,0.0,0.0,,1
2022-03-10 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426385.0,0.0,0.0,,1
2022-03-07 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422156.0,1.0,0.0,,1
2022-02-05 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390688.0,0.0,0.0,,1
2022-03-06 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505074.0,0.0,0.0,,1
2022-02-20 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406427.0,0.0,0.0,,1
2022-03-13 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354510.0,0.0,0.0,,1
2022-02-12 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394544.0,0.0,0.0,,1
2022-02-11 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409700.0,0.0,0.0,,1
2022-02-04 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432370.0,0.0,0.0,,1
2022-02-19 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408656.0,0.0,0.0,,1
2022-03-11 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485658.0,0.0,0.0,,1
2022-02-10 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381028.0,0.0,0.0,,1
2022-02-13 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412663.0,0.0,0.0,,1
2022-03-01 20:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405490.0,0.0,0.0,,1
2022-03-14 21:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360832.0,0.0,0.0,,1
2022-02-10 00:00:00,326501.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77332.0,0.0,0.0,,0
