begintime,sk_object,duration,integrity,M8026C1,M8026C2,M8026C0,M8026C3,M8026C4,M8026C5,M8026C6,M8026C7,M8026C8,M8026C9,M8026C19,M8026C20,M8026C21,M8026C22,M8026C23,M8026C24,M8026C25,M8026C26,M8026C28,M8026C29,M8026C30,M8026C31,M8026C32,M8026C33,M8026C34,M8026C35,M8026C36,M8026C37,M8026C38,M8026C254,M8026C255,M8026C256,M8026C257,M8026C258,M8026C259,M8026C260,M8026C261,M8026C262,M8026C263,M8026C264,M8026C265,M8026C266,M8026C267,M8026C268,M8026C269,M8026C270,M8026C271,M8026C272,M8026C273,M8026C274,M8026C275,M8026C276,M8026C277,M8026C278,M8026C279,M8026C280,M8026C281,M8026C282,M8026C283,M8026C284,M8026C285,M8026C286,M8026C287,M8026C288,M8026C289,M8026C290,M8026C291,M8026C292,M8026C293,M8026C294,M8026C295,M8026C296,M8026C297,M8026C298,M8026C299,M8026C300,M8026C301,M8026C302,M8026C303,M8026C304,M8026C305,M8026C306,M8026C307,M8026C308
2022-03-11,20654.0,1440.0,100.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,14340306.0,0.0,0.0,0.0,3665.0,7977511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7395833333333335,10.020833333333334,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288166.0,19385883.0,3537.0,1233110.0,26333.0,328788.0,0.0,0.0,0.0,0.0,0.0,2224868.0,9091420.0,2793158.0,2224868.0,14394.0,22362.0,0.0,978018.0,19134.0,54868.0,103973.0,0.0,0.0,0.0,0.0,0.0,9418229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20655.0,1440.0,100.0,0.0,6926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199203.0,58671221.0,52.0,421.0,0.0,211261.0,51329865.0,48.0,180.0,0.0,0.0,0.0,0.0,0.0,9.65625,11.197916666666666,0.16666666666666666,5.114583333333333,6926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383484.0,108786553.0,31423.0,7410206.0,121304.0,2370762.0,0.0,0.0,0.0,0.0,0.0,19437303.0,73910400.0,23345958.0,19437303.0,46907.0,133365.0,0.0,5474186.0,53957.0,646643.0,586434.0,0.0,0.0,0.0,0.0,0.0,66501217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20656.0,1440.0,100.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12836.0,16712964.0,0.0,2.0,0.0,19375.0,15581666.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.145833333333334,10.385416666666666,0.0,0.125,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675930.0,34884489.0,9805.0,2167503.0,67980.0,829569.0,0.0,0.0,0.0,0.0,0.0,6140136.0,23359225.0,7366470.0,6140136.0,24987.0,34539.0,0.0,1216667.0,12974.0,202456.0,113627.0,0.0,0.0,0.0,0.0,0.0,18673416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20657.0,1440.0,100.0,51.0,2301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107522.0,11170768.0,0.0,11.0,0.0,81851.0,11265927.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.875,10.052083333333334,0.0,0.4270833333333333,2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398861.0,24044609.0,4635.0,1308847.0,49336.0,479472.0,0.0,0.0,0.0,0.0,0.0,4878885.0,20765258.0,5885125.0,4878885.0,28274.0,50937.0,0.0,1952405.0,46189.0,73378.0,238615.0,0.0,0.0,0.0,0.0,0.0,16627077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20658.0,1440.0,100.0,10.0,23618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593011.0,36022265.0,0.0,14.0,0.0,429421.0,23845239.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.364583333333333,10.4375,0.0,0.34375,23628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202404.0,44212175.0,27999.0,3073936.0,192038.0,880225.0,0.0,0.0,0.0,0.0,0.0,6265599.0,29208046.0,7808203.0,6265599.0,126720.0,101469.0,0.0,6479328.0,200575.0,185934.0,899038.0,0.0,0.0,0.0,0.0,0.0,38840139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20659.0,1440.0,100.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33128.0,15532446.0,1.0,1742.0,0.0,35480.0,11946924.0,0.0,2306.0,0.0,0.0,0.0,0.0,0.0,4.677083333333333,10.354166666666666,0.08333333333333333,3.9166666666666665,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420575.0,21723976.0,10410.0,1488064.0,53369.0,369493.0,0.0,0.0,0.0,0.0,0.0,3592851.0,13250675.0,4108975.0,3592851.0,31755.0,29768.0,0.0,1888136.0,68012.0,90492.0,351167.0,0.0,0.0,0.0,0.0,0.0,15476049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20660.0,1440.0,100.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,2936770.0,0.0,0.0,0.0,2569.0,1742852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0833333333333335,9.979166666666666,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105302.0,5142010.0,2377.0,457407.0,16579.0,52745.0,0.0,0.0,0.0,0.0,0.0,563741.0,2222950.0,691686.0,563741.0,11960.0,35901.0,0.0,275378.0,11003.0,12437.0,57701.0,0.0,0.0,0.0,0.0,0.0,2274600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20661.0,1440.0,100.0,14.0,151484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331633.0,90933550.0,4769.0,13.0,0.0,369720.0,87323738.0,34464.0,3.0,0.0,0.0,0.0,0.0,0.0,19.802083333333332,28.020833333333332,3.65625,1.8645833333333333,151498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5128626.0,192266024.0,168604.0,14977204.0,832990.0,10869925.0,0.0,0.0,0.0,0.0,0.0,43994556.0,186695734.0,55305826.0,43994556.0,246956.0,483334.0,0.0,13936716.0,136304.0,2204485.0,939689.0,0.0,0.0,0.0,0.0,0.0,138358806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20662.0,1440.0,100.0,26.0,3205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38324.0,55200017.0,1.0,10.0,0.0,40590.0,51418404.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.15625,14.729166666666666,0.08333333333333333,0.3645833333333333,3231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538361.0,127060160.0,71955.0,8870276.0,440324.0,9061949.0,0.0,0.0,0.0,0.0,0.0,22162883.0,91006271.0,27956431.0,22162883.0,98366.0,239596.0,0.0,6082230.0,55929.0,1209440.0,416782.0,0.0,0.0,0.0,0.0,0.0,65664753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,20663.0,1440.0,100.0,0.0,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8806.0,7955714.0,35.0,0.0,0.0,12642.0,4156017.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59375,10.302083333333334,0.19791666666666666,0.0,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271087.0,9119824.0,10392.0,621375.0,42054.0,166530.0,0.0,0.0,0.0,0.0,0.0,1217410.0,5082361.0,1565305.0,1217410.0,27265.0,11062.0,0.0,1810741.0,61582.0,62823.0,246233.0,0.0,0.0,0.0,0.0,0.0,9196748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
