begintime,sk_object,duration,integrity,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880
2022-03-01,39025092.0,86400.0,100.0,,0.0,0.0,18.0,1794.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730543.0,82800.0,95.83333333333333,,0.0,7360902.0,12820.0,8805563.0,0.0,0.0,12031.0,0.0,,,,,,,,,
2022-02-03,7729659.0,86400.0,100.0,,0.0,3250383.0,2552.0,1585324.0,0.0,0.0,4821.0,0.0,,,,,,,,,
2022-02-03,7730099.0,86400.0,100.0,,0.0,41778818284.0,272220294.0,314024159544.0,0.0,0.0,156487938.0,0.0,,,,,,,,,
2022-03-01,7729845.0,86400.0,100.0,,0.0,432.0,74.0,20117.0,0.0,0.0,5.0,0.0,,,,,,,,,
2022-02-03,7730490.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730685.0,86400.0,100.0,,0.0,4206974.0,4809.0,3365013.0,0.0,0.0,6558.0,0.0,,,,,,,,,
2022-03-01,7730700.0,86400.0,100.0,,0.0,4152.0,0.0,0.0,0.0,0.0,41.0,0.0,,,,,,,,,
2022-03-01,7730068.0,86400.0,100.0,,0.0,374800.0,574.0,255324.0,0.0,0.0,712.0,0.0,,,,,,,,,
2022-03-01,7730611.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729690.0,86400.0,100.0,,0.0,40702037.0,70682.0,47502418.0,0.0,0.0,55331.0,0.0,,,,,,,,,
2022-02-03,7729512.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730339.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730676.0,86400.0,100.0,,0.0,9291371.0,11080.0,8320626.0,0.0,0.0,13532.0,0.0,,,,,,,,,
2022-03-01,7729974.0,86400.0,100.0,,0.0,19558547855.0,82252621.0,93733388204.0,0.0,0.0,52187955.0,0.0,,,,,,,,,
2022-02-03,7730205.0,79200.0,91.66666666666667,,0.0,9688939.0,16505.0,12935078.0,0.0,0.0,12120.0,0.0,,,,,,,,,
2022-02-03,7730386.0,86400.0,100.0,,0.0,16108126.0,15023.0,8871226.0,0.0,0.0,23814.0,0.0,,,,,,,,,
2022-03-01,7729466.0,86400.0,100.0,,0.0,165065.0,0.0,0.0,0.0,0.0,182.0,0.0,,,,,,,,,
2022-03-01,7730409.0,86400.0,100.0,,0.0,70533141.0,81744.0,62100309.0,0.0,0.0,90176.0,0.0,,,,,,,,,
2022-02-03,7729409.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7730221.0,86400.0,100.0,,0.0,1102031.0,6416.0,3838597.0,0.0,0.0,1304.0,0.0,,,,,,,,,
2022-03-01,7730096.0,86400.0,100.0,,0.0,35958345234.0,220726752.0,255025768214.0,0.0,0.0,120558539.0,0.0,,,,,,,,,
2022-02-06,7730165.0,79200.0,91.66666666666667,,0.0,51916600106.0,304381946.0,356166152129.0,0.0,0.0,165132876.0,0.0,,,,,,,,,
2022-03-01,7730692.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730462.0,86400.0,100.0,,0.0,124.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,
2022-03-01,7729805.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729688.0,86400.0,100.0,,0.0,3981809.0,3493.0,2569753.0,0.0,0.0,5152.0,0.0,,,,,,,,,
2022-03-01,7730719.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7729518.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730683.0,86400.0,100.0,,0.0,197949.0,406.0,254456.0,0.0,0.0,291.0,0.0,,,,,,,,,
2022-03-01,7729624.0,86400.0,100.0,,0.0,845488.0,739.0,392669.0,0.0,0.0,1415.0,0.0,,,,,,,,,
2022-03-12,7729407.0,68400.0,79.16666666666667,,0.0,736939.0,598.0,502171.0,0.0,0.0,967.0,0.0,,,,,,,,,
2022-03-01,7730531.0,86400.0,100.0,,0.0,22848.0,36.0,34845.0,0.0,0.0,21.0,0.0,,,,,,,,,
2022-02-04,7730747.0,86400.0,100.0,,0.0,540.0,11.0,396.0,0.0,0.0,15.0,0.0,,,,,,,,,
2022-02-03,7729953.0,86400.0,100.0,,0.0,27927276.0,50619.0,33448156.0,0.0,0.0,40143.0,0.0,,,,,,,,,
2022-03-01,7730328.0,86400.0,100.0,,0.0,648317.0,506.0,228831.0,0.0,0.0,715.0,0.0,,,,,,,,,
2022-03-01,7729505.0,86400.0,100.0,,0.0,12887180.0,24680.0,17081168.0,0.0,0.0,18521.0,0.0,,,,,,,,,
2022-03-01,7729756.0,86400.0,100.0,,0.0,1129681.0,2300.0,1199775.0,0.0,0.0,2104.0,0.0,,,,,,,,,
2022-03-01,7730174.0,86400.0,100.0,,0.0,8007459.0,11423.0,7079196.0,0.0,0.0,11998.0,0.0,,,,,,,,,
2022-03-01,7730695.0,86400.0,100.0,,0.0,193083.0,82.0,22388.0,0.0,0.0,237.0,0.0,,,,,,,,,
2022-02-03,7730265.0,86400.0,100.0,,0.0,2334363.0,6406.0,3377216.0,0.0,0.0,4116.0,0.0,,,,,,,,,
2022-03-06,7729477.0,79200.0,91.66666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7730429.0,86400.0,100.0,,0.0,180683.0,77.0,27279.0,0.0,0.0,227.0,0.0,,,,,,,,,
2022-02-03,7729450.0,86400.0,100.0,,0.0,2560388.0,3345.0,2400864.0,0.0,0.0,4108.0,0.0,,,,,,,,,
2022-02-03,7730353.0,86400.0,100.0,,0.0,2845028.0,3175.0,2774336.0,0.0,0.0,3120.0,0.0,,,,,,,,,
2022-03-01,7730125.0,86400.0,100.0,,0.0,64711754663.0,440730598.0,510188720510.0,0.0,0.0,237739614.0,0.0,,,,,,,,,
2022-03-01,7730013.0,86400.0,100.0,,0.0,3454850.0,5931.0,3783833.0,0.0,0.0,5739.0,0.0,,,,,,,,,
2022-02-04,7729467.0,86400.0,100.0,,0.0,21272.0,107.0,30470.0,0.0,0.0,106.0,0.0,,,,,,,,,
2022-02-03,7729572.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730699.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729797.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7730007.0,86400.0,100.0,,0.0,44973842.0,50000.0,33601034.0,0.0,0.0,69572.0,0.0,,,,,,,,,
2022-02-03,7729817.0,86400.0,100.0,,0.0,2266031.0,3150.0,2319424.0,0.0,0.0,3084.0,0.0,,,,,,,,,
2022-02-03,7730574.0,86400.0,100.0,,0.0,1270750.0,2981.0,1373938.0,0.0,0.0,2103.0,0.0,,,,,,,,,
2022-03-01,7729706.0,86400.0,100.0,,0.0,20994685.0,25018.0,19067407.0,0.0,0.0,27170.0,0.0,,,,,,,,,
2022-03-01,7730276.0,86400.0,100.0,,0.0,427192.0,37.0,36609.0,0.0,0.0,511.0,0.0,,,,,,,,,
2022-02-06,7730285.0,86400.0,100.0,,0.0,7489052.0,12050.0,7757926.0,0.0,0.0,11562.0,0.0,,,,,,,,,
2022-03-01,7730497.0,86400.0,100.0,,0.0,2648851.0,50308.0,36074210.0,0.0,0.0,4624.0,0.0,,,,,,,,,
2022-02-03,7729405.0,86400.0,100.0,,0.0,8633225.0,8601.0,5617652.0,0.0,0.0,12468.0,0.0,,,,,,,,,
2022-03-01,7729943.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7730448.0,86400.0,100.0,,0.0,139884.0,228.0,184463.0,0.0,0.0,304.0,0.0,,,,,,,,,
2022-03-01,7729531.0,86400.0,100.0,,0.0,0.0,19.0,9065.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730431.0,86400.0,100.0,,0.0,0.0,28.0,12214.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-06,7730601.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730635.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7729732.0,86400.0,100.0,,0.0,0.0,3635.0,1787003.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729817.0,86400.0,100.0,,0.0,2255949.0,3154.0,2240417.0,0.0,0.0,3200.0,0.0,,,,,,,,,
2022-03-01,7729933.0,86400.0,100.0,,0.0,4952958.0,9190.0,5785878.0,0.0,0.0,7784.0,0.0,,,,,,,,,
2022-03-01,7730548.0,86400.0,100.0,,0.0,28046767.0,39274.0,29859144.0,0.0,0.0,38997.0,0.0,,,,,,,,,
2022-03-01,7729811.0,82800.0,95.83333333333333,,0.0,2493897.0,2889.0,1911993.0,0.0,0.0,3580.0,0.0,,,,,,,,,
2022-02-03,7729521.0,86400.0,100.0,,0.0,53631219899.0,347084375.0,416520376286.0,0.0,0.0,190237419.0,0.0,,,,,,,,,
2022-02-03,7730047.0,86400.0,100.0,,0.0,27250146.0,7272.0,4806218.0,0.0,0.0,44372.0,0.0,,,,,,,,,
2022-03-01,7730420.0,86400.0,100.0,,0.0,4062851.0,6210.0,3715483.0,0.0,0.0,7010.0,0.0,,,,,,,,,
2022-02-03,7730565.0,86400.0,100.0,,0.0,5338.0,106.0,12014.0,0.0,0.0,24.0,0.0,,,,,,,,,
2022-03-01,7729447.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730305.0,86400.0,100.0,,0.0,2025392.0,3773.0,2457643.0,0.0,0.0,3363.0,0.0,,,,,,,,,
2022-03-01,7729495.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729599.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730550.0,86400.0,100.0,,0.0,1460818.0,3344.0,2658331.0,0.0,0.0,1878.0,0.0,,,,,,,,,
2022-03-01,7729661.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-06,7729748.0,86400.0,100.0,,0.0,1904.0,18.0,1611.0,0.0,0.0,14.0,0.0,,,,,,,,,
2022-02-03,7730447.0,86400.0,100.0,,0.0,1897241.0,4804.0,2658159.0,0.0,0.0,2789.0,0.0,,,,,,,,,
2022-03-14,7729751.0,86400.0,100.0,,0.0,11541.0,132.0,156654.0,0.0,0.0,41.0,0.0,,,,,,,,,
2022-03-01,36486768.0,86400.0,100.0,,0.0,0.0,224.0,223126.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7729710.0,86400.0,100.0,,0.0,17247841686.0,102072835.0,115538648950.0,0.0,0.0,60675392.0,0.0,,,,,,,,,
2022-03-01,7729416.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729710.0,86400.0,100.0,,0.0,24891801364.0,111226463.0,123912020335.0,0.0,0.0,68006436.0,0.0,,,,,,,,,
2022-03-01,7729536.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730079.0,86400.0,100.0,,0.0,1379463.0,1483.0,689250.0,0.0,0.0,2499.0,0.0,,,,,,,,,
2022-02-03,7729473.0,86400.0,100.0,,0.0,37087418.0,47999.0,33138894.0,0.0,0.0,48692.0,0.0,,,,,,,,,
2022-02-03,7730686.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729847.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729774.0,86400.0,100.0,,0.0,25534945.0,30991.0,24585273.0,0.0,0.0,34607.0,0.0,,,,,,,,,
2022-03-01,7730364.0,86400.0,100.0,,0.0,20626685.0,34302.0,22367024.0,0.0,0.0,33133.0,0.0,,,,,,,,,
2022-02-03,7730105.0,86400.0,100.0,,0.0,2143658.0,2970.0,2278302.0,0.0,0.0,3487.0,0.0,,,,,,,,,
2022-03-01,7730644.0,86400.0,100.0,,0.0,51310.0,84.0,47133.0,0.0,0.0,128.0,0.0,,,,,,,,,
2022-03-01,7730250.0,86400.0,100.0,,0.0,5952101.0,11778.0,7583733.0,0.0,0.0,8680.0,0.0,,,,,,,,,
2022-03-01,7730564.0,86400.0,100.0,,0.0,16552.0,2410.0,2280552.0,0.0,0.0,119.0,0.0,,,,,,,,,
2022-02-03,7730757.0,86400.0,100.0,,0.0,2331249.0,4804.0,2730485.0,0.0,0.0,3946.0,0.0,,,,,,,,,
2022-03-01,7729794.0,86400.0,100.0,,0.0,11702027.0,15130.0,9895562.0,0.0,0.0,18578.0,0.0,,,,,,,,,
2022-03-01,7730154.0,86400.0,100.0,,0.0,1875231.0,4029.0,3144369.0,0.0,0.0,2957.0,0.0,,,,,,,,,
2022-02-03,7729875.0,86400.0,100.0,,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
2022-02-03,7729628.0,86400.0,100.0,,0.0,2096101.0,2448.0,1698419.0,0.0,0.0,3126.0,0.0,,,,,,,,,
2022-03-01,7729597.0,86400.0,100.0,,0.0,212732.0,571.0,399377.0,0.0,0.0,359.0,0.0,,,,,,,,,
2022-02-06,7729409.0,86400.0,100.0,,0.0,144.0,67.0,46018.0,0.0,0.0,4.0,0.0,,,,,,,,,
2022-02-03,7729686.0,86400.0,100.0,,0.0,241592.0,96.0,74331.0,0.0,0.0,231.0,0.0,,,,,,,,,
2022-02-03,7730400.0,86400.0,100.0,,0.0,198.0,49.0,3007.0,0.0,0.0,4.0,0.0,,,,,,,,,
2022-03-01,7729549.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-04,7730013.0,86400.0,100.0,,0.0,5016456.0,8507.0,6929247.0,0.0,0.0,6925.0,0.0,,,,,,,,,
