begintime,sk_object,duration,integrity,M8007C8,M8007C9,M8007C0,M8007C1,M8007C2,M8007C4,M8007C7,M8007C10,M8007C11,M8007C12,M8007C14,M8007C15,M8007C16,M8007C17,M8007C18,M8007C19,M8007C20,M8007C21,M8007C22,M8007C23,M8007C24,M8007C25,M8007C26,M8007C27,M8007C28,M8007C29
2022-03-15 04:00:00,16415.0,60.0,100.0,234.0,0.0,139.0,139.0,0.0,0.0,234.0,139.0,139.0,0.0,38.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:00:00,16412.0,60.0,100.0,219.0,0.0,115.0,115.0,0.0,0.0,219.0,115.0,115.0,0.0,29.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 11:00:00,16361.0,60.0,100.0,2839.0,25.0,2019.0,2013.0,6.0,2.0,2865.0,1912.0,1907.0,5.0,50.0,3174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 17:00:00,16416.0,60.0,100.0,398.0,0.0,322.0,322.0,0.0,0.0,398.0,297.0,297.0,0.0,43.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 11:00:00,16413.0,60.0,100.0,8054.0,3.0,7072.0,7051.0,21.0,7.0,8057.0,5150.0,5146.0,4.0,48.0,2194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 03:00:00,16369.0,60.0,100.0,29.0,0.0,6.0,6.0,0.0,0.0,29.0,3.0,3.0,0.0,112.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 11:00:00,16375.0,60.0,100.0,297.0,12.0,228.0,226.0,2.0,0.0,309.0,183.0,182.0,1.0,90.25,3747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 04:00:00,16416.0,60.0,100.0,41.0,2.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 09:00:00,16343.0,60.0,100.0,826.0,48.0,555.0,552.0,3.0,0.0,874.0,526.0,523.0,3.0,135.5,3316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 03:00:00,16338.0,60.0,100.0,209.0,0.0,137.0,137.0,0.0,0.0,209.0,137.0,137.0,0.0,42.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
