NE Name,fdn,BTSID,MOIndex,className,name,neID
FTBSC02,"NE=280,BTSIP=49",49,26_49,BSC6900GSMBTSIP,BTS Index=49,26
FTBSC02,"NE=280,BTSIP=62",62,26_62,BSC6900GSMBTSIP,BTS Index=62,26
FTBSC02,"NE=280,BTSIP=63",63,26_63,BSC6900GSMBTSIP,BTS Index=63,26
FTBSC02,"NE=280,BTSIP=65",65,26_65,BSC6900GSMBTSIP,BTS Index=65,26
FTBSC02,"NE=280,BTSIP=78",78,26_78,BSC6900GSMBTSIP,BTS Index=78,26
FTBSC02,"NE=280,BTSIP=67",67,26_67,BSC6900GSMBTSIP,BTS Index=67,26
FTBSC02,"NE=280,BTSIP=69",69,26_69,BSC6900GSMBTSIP,BTS Index=69,26
FTBSC02,"NE=280,BTSIP=73",73,26_73,BSC6900GSMBTSIP,BTS Index=73,26
FTBSC02,"NE=280,BTSIP=75",75,26_75,BSC6900GSMBTSIP,BTS Index=75,26
FTBSC02,"NE=280,BTSIP=172",172,26_172,BSC6900GSMBTSIP,BTS Index=172,26
FTBSC02,"NE=280,BTSIP=157",157,26_157,BSC6900GSMBTSIP,BTS Index=157,26
FTBSC02,"NE=280,BTSIP=165",165,26_165,BSC6900GSMBTSIP,BTS Index=165,26
FTBSC02,"NE=280,BTSIP=201",201,26_201,BSC6900GSMBTSIP,BTS Index=201,26
FTBSC02,"NE=280,BTSIP=214",214,26_214,BSC6900GSMBTSIP,BTS Index=214,26
FTBSC02,"NE=280,BTSIP=152",152,26_152,BSC6900GSMBTSIP,BTS Index=152,26
FTBSC02,"NE=280,BTSIP=183",183,26_183,BSC6900GSMBTSIP,BTS Index=183,26
FTBSC02,"NE=280,BTSIP=66",66,26_66,BSC6900GSMBTSIP,BTS Index=66,26
FTBSC02,"NE=280,BTSIP=103",103,26_103,BSC6900GSMBTSIP,BTS Index=103,26
FTBSC02,"NE=280,BTSIP=169",169,26_169,BSC6900GSMBTSIP,BTS Index=169,26
FTBSC02,"NE=280,BTSIP=231",231,26_231,BSC6900GSMBTSIP,BTS Index=231,26
FTBSC02,"NE=280,BTSIP=234",234,26_234,BSC6900GSMBTSIP,BTS Index=234,26
FTBSC02,"NE=280,BTSIP=159",159,26_159,BSC6900GSMBTSIP,BTS Index=159,26
FTBSC02,"NE=280,BTSIP=237",237,26_237,BSC6900GSMBTSIP,BTS Index=237,26
FTBSC02,"NE=280,BTSIP=104",104,26_104,BSC6900GSMBTSIP,BTS Index=104,26
FTBSC02,"NE=280,BTSIP=142",142,26_142,BSC6900GSMBTSIP,BTS Index=142,26
FTBSC02,"NE=280,BTSIP=239",239,26_239,BSC6900GSMBTSIP,BTS Index=239,26
FTBSC02,"NE=280,BTSIP=91",91,26_91,BSC6900GSMBTSIP,BTS Index=91,26
FTBSC02,"NE=280,BTSIP=138",138,26_138,BSC6900GSMBTSIP,BTS Index=138,26
FTBSC02,"NE=280,BTSIP=77",77,26_77,BSC6900GSMBTSIP,BTS Index=77,26
FTBSC02,"NE=280,BTSIP=59",59,26_59,BSC6900GSMBTSIP,BTS Index=59,26
