vendor,table_name,table_id,counter_name,counter_name_alias,counter_id,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column,aggregation_in_upper
Huawei,HSDPA Measurement,50331648,VS.CQI.2,VS.CQI.2,50331671,,None,sum,1,1,1,huawei_nodeb_50331648,NodeB(3G) : Measurement of Local Cell Performance,,,,,SUM
Nokia,AoIP Traffic BSC,130,RTP_PACKETS_SENT_ETP_BSC,RTP PACKETS SENT,130002,Number or UL RTP packets sent to MGW.,100 Packets,sum,0,1,255,,"2G : BSC-ETP,ETPU",,,,,SUM
Huawei,HSDPA Measurement,50331648,VS.UsedCQI12,VS.UsedCQI12,50331766,,None,sum,1,1,1,huawei_nodeb_50331648,NodeB(3G) : Measurement of Local Cell Performance,,,,,SUM
Huawei,HSDPA Measurement,50331648,VS.UsedCQI24,VS.UsedCQI24,50331778,,None,sum,1,1,1,huawei_nodeb_50331648,NodeB(3G) : Measurement of Local Cell Performance,,,,,SUM
Huawei,MCS Measurement,1526726657,L.ChMeas.PUSCH.MCS.27,L.ChMeas.PUSCH.MCS.27,1526727439,,None,sum,0,0,117,,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,CA Measurement,1526726657,L.CA.DLSCell.Mod.Att,L.CA.DLSCell.Mod.Att,1526730596,,None,sum,0,0,117,,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,MCS Measurement,1911816194,N.ChMeas.PUSCH.MCS.0,N.ChMeas.PUSCH.MCS.0,1911816550,,None,sum,0,1,182,,gNodeB(5G) : Measurement of DU Cell Performance,,,,,SUM
Nokia,Resource Access,3,SPARE003061,SPARE003061,003061,Spare,,string_agg,0,1,204,,"2G : BSC-BCF-BTS-TRX,SEG,TSL,TTP",,,,,STRING_AGG
Huawei,PHR Measurement,1526726657,L.PHR.UE.Index4,L.PHR.UE.Index4,1526747040,,None,sum,0,0,117,,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,Trunk Measurement,1542455311,VS.TRUNK.TxPackets,VS.TRUNK.TxPackets,1542456126,,packet,sum,0,1,157,,Node : Measurement of Trunk Performance,,,,,SUM
Nokia,Traffic,1,TRHO_REQ,TRHO REQ,001052,Number of HOs because of traffic reasons.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM
Nokia,Traffic,1,SPARE001224,SPARE001224,001224,Reserved for future use.,,string_agg,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,STRING_AGG
Nokia,RX Level Statistics,53,BTS_ID,BTS ID,053000,BTS identification.,Integer number,string_agg,0,1,217,,"2G : BSC-BCF-BTS-TRX,SEG,TTP,TRXFQ,RNG",,,,,STRING_AGG
Nokia,Quality of Service,90,NBR_OF_TBF_ALLOCATIONS,NUMBER OF TBF ALLOCATIONS,090000,Number of the allocated TBFs.,Integer number,sum,0,1,234,,"2G : BSC,SEG,QOSPCL",,,,,SUM
Huawei,Reserve Counter <per RNC>,67108964,VS.Reserved.Counter18,VS.Reserved.Counter18,73453661,Reserved counter18,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
