begintime,sk_object,duration,integrity,1282423987,1282423988
2022-03-01 16:00:00,7525661.0,3600.0,100.0,9.505,9.846
2022-03-01 02:00:00,7525663.0,3600.0,100.0,1.504,1.382
2022-02-08 05:00:00,7525664.0,3600.0,100.0,1.86,1.786
2022-02-05 03:00:00,7525661.0,3600.0,100.0,1.387,1.288
2022-02-12 19:00:00,7525664.0,3600.0,100.0,14.777,15.522
2022-02-06 17:00:00,7525662.0,3600.0,100.0,10.257,10.636
2022-03-07 22:00:00,7525661.0,3600.0,100.0,9.608,9.989
2022-03-06 23:00:00,7525661.0,3600.0,100.0,4.836,4.842
2022-03-10 11:00:00,7525661.0,3600.0,100.0,10.327,10.689
2022-02-18 13:00:00,7525663.0,3600.0,100.0,8.731,8.945
2022-02-10 08:00:00,7525662.0,3600.0,100.0,10.508,11.057
2022-03-15 19:00:00,7525663.0,3600.0,100.0,14.464,15.305
2022-02-06 21:00:00,7525664.0,3600.0,100.0,12.441,13.138
2022-02-19 01:00:00,7525664.0,3600.0,100.0,2.166,2.016
2022-02-04 04:00:00,7525664.0,3600.0,100.0,1.431,1.359
2022-03-07 02:00:00,7525661.0,3600.0,100.0,1.453,1.329
2022-03-11 21:00:00,7525663.0,3600.0,100.0,13.907,14.75
2022-03-12 18:00:00,7525661.0,3600.0,100.0,10.57,10.92
2022-02-20 07:00:00,7525663.0,3600.0,100.0,6.663,6.927
2022-02-06 13:00:00,7525661.0,3600.0,100.0,9.603,9.928
2022-02-13 04:00:00,7525662.0,3600.0,100.0,1.446,1.373
2022-03-12 10:00:00,7525664.0,3600.0,100.0,10.768,11.299
2022-02-13 22:00:00,7525663.0,3600.0,100.0,9.139,9.446
2022-03-02 19:00:00,7525661.0,3600.0,100.0,14.715,15.465
2022-02-04 18:00:00,7525661.0,3600.0,100.0,11.97,12.441
2022-03-14 21:00:00,7525663.0,3600.0,100.0,13.779,14.706
2022-02-19 05:00:00,7525664.0,3600.0,100.0,1.804,1.733
2022-02-13 23:00:00,7525662.0,3600.0,100.0,4.796,4.821
2022-03-03 12:00:00,7525662.0,3600.0,100.0,9.998,10.408
2022-02-04 04:00:00,7525661.0,3600.0,100.0,1.429,1.362
2022-03-10 13:00:00,7525664.0,3600.0,100.0,9.043,9.329
2022-03-14 18:00:00,7525664.0,3600.0,100.0,10.411,10.827
2022-03-11 21:00:00,7525662.0,3600.0,100.0,13.898,14.761
2022-03-10 05:00:00,7525661.0,3600.0,100.0,1.848,1.772
2022-02-12 08:00:00,7525661.0,3600.0,100.0,10.407,11.084
2022-02-19 15:00:00,7525661.0,3600.0,100.0,9.583,9.875
2022-03-03 11:00:00,7525664.0,3600.0,100.0,10.368,10.887
2022-02-18 20:00:00,7525662.0,3600.0,100.0,16.21,17.193
2022-02-04 07:00:00,7525663.0,3600.0,100.0,7.442,7.73
2022-03-12 07:00:00,7525661.0,3600.0,100.0,8.288,9.143
2022-03-02 16:00:00,7525662.0,3600.0,100.0,9.864,10.167
2022-02-18 05:00:00,7525663.0,3600.0,100.0,1.832,1.758
2022-02-18 06:00:00,7525661.0,3600.0,100.0,3.122,3.09
2022-03-11 18:00:00,7525664.0,3600.0,100.0,11.264,11.712
2022-03-02 13:00:00,7525664.0,3600.0,100.0,9.634,9.918
2022-03-13 07:00:00,7525663.0,3600.0,100.0,7.114,7.373
2022-02-05 16:00:00,7525664.0,3600.0,100.0,9.913,10.216
2022-02-18 18:00:00,7525663.0,3600.0,100.0,11.946,12.386
2022-03-10 20:00:00,7525662.0,3600.0,100.0,16.075,17.05
2022-02-18 06:00:00,7525662.0,3600.0,100.0,3.117,3.089
2022-03-07 11:00:00,7525662.0,3600.0,100.0,10.622,11.084
2022-03-03 06:00:00,7525662.0,3600.0,100.0,3.613,3.614
2022-02-18 23:00:00,7525662.0,3600.0,100.0,5.223,5.232
2022-02-17 06:00:00,7525662.0,3600.0,100.0,3.269,3.232
2022-03-03 00:00:00,7525661.0,3600.0,100.0,2.669,2.55
2022-02-11 18:00:00,7525663.0,3600.0,100.0,11.291,11.786
2022-03-14 11:00:00,7525661.0,3600.0,100.0,9.587,9.96
2022-02-18 07:00:00,7525663.0,3600.0,100.0,7.278,7.578
2022-03-01 06:00:00,7525662.0,3600.0,100.0,3.532,3.525
2022-02-05 07:00:00,7525664.0,3600.0,100.0,7.024,7.343
2022-02-13 06:00:00,7525663.0,3600.0,100.0,2.82,2.773
