begintime,sk_object,duration,integrity,M40001C0
2022-03-11,15280.0,1440.0,100.0,11.0
2022-03-18,15193.0,1440.0,100.0,11.0
2022-03-16,15173.0,1440.0,100.0,11.0
2022-03-16,15250.0,1440.0,100.0,11.0
2022-03-13,15163.0,1440.0,100.0,12.0
2022-03-18,15202.0,1440.0,100.0,12.0
2022-03-15,15163.0,1440.0,100.0,12.0
2022-03-12,15195.0,1440.0,100.0,12.0
2022-03-18,15167.0,1440.0,100.0,12.0
2022-03-13,15280.0,1440.0,100.0,11.0
2022-03-13,15331.0,1440.0,100.0,12.166666666666666
2022-03-15,15172.0,1440.0,100.0,11.0
2022-03-11,15238.0,1440.0,100.0,11.0
2022-03-12,15325.0,1340.0,93.05555555555556,11.826086956521738
2022-03-13,15318.0,1440.0,100.0,11.0
2022-03-14,15249.0,1440.0,100.0,11.0
2022-03-12,15161.0,1440.0,100.0,11.0
2022-03-16,15259.0,1440.0,100.0,11.458333333333334
2022-03-18,15314.0,1440.0,100.0,10.875
2022-03-19,15230.0,1311.0,91.04166666666667,11.0
2022-03-16,15335.0,1440.0,100.0,11.0
2022-03-17,15250.0,1380.0,95.83333333333333,11.0
2022-03-15,15310.0,1440.0,100.0,11.083333333333334
2022-03-12,15315.0,1440.0,100.0,11.0
2022-03-13,15284.0,1440.0,100.0,11.333333333333334
2022-03-15,15278.0,1363.0,94.65277777777777,11.0
2022-03-15,15269.0,1440.0,100.0,11.625
2022-03-15,15166.0,1440.0,100.0,11.083333333333334
2022-03-13,15172.0,1440.0,100.0,11.0
2022-03-13,15167.0,1440.0,100.0,12.0
2022-03-15,15160.0,1416.0,98.33333333333333,10.708333333333334
2022-03-19,15275.0,1320.0,91.66666666666667,11.0
2022-03-14,15325.0,1422.0,98.75,12.0
2022-03-16,15336.0,1378.0,95.69444444444444,11.0
2022-03-16,15293.0,1440.0,100.0,11.0
2022-03-15,15205.0,1440.0,100.0,13.0
2022-03-15,15193.0,1440.0,100.0,11.0
2022-03-16,15238.0,1440.0,100.0,11.0
2022-03-12,15188.0,1340.0,93.05555555555556,11.0
2022-03-11,15199.0,1440.0,100.0,12.0
2022-03-19,15195.0,1380.0,95.83333333333333,12.0
2022-03-13,15215.0,1440.0,100.0,11.0
2022-03-19,15325.0,1129.0,78.40277777777777,12.0
2022-03-15,15293.0,1440.0,100.0,11.0
2022-03-12,15210.0,1440.0,100.0,11.0
2022-03-14,15251.0,1422.0,98.75,11.0
2022-03-11,15160.0,1440.0,100.0,10.625
2022-03-14,15327.0,1440.0,100.0,12.0
2022-03-13,15330.0,1440.0,100.0,11.0
2022-03-18,15284.0,1440.0,100.0,11.25
2022-03-18,15173.0,1440.0,100.0,11.0
2022-03-13,15185.0,1440.0,100.0,11.0
2022-03-17,15265.0,1380.0,95.83333333333333,11.0
2022-03-19,15335.0,1380.0,95.83333333333333,11.0
2022-03-11,15277.0,1440.0,100.0,11.0
2022-03-12,15321.0,1440.0,100.0,11.0
2022-03-16,15199.0,1440.0,100.0,12.0
2022-03-15,15268.0,1440.0,100.0,11.0
2022-03-16,15295.0,1440.0,100.0,12.0
2022-03-14,15176.0,1440.0,100.0,12.0
2022-03-17,15253.0,1440.0,100.0,12.0
2022-03-12,15222.0,1402.0,97.36111111111111,11.0
2022-03-11,15195.0,1440.0,100.0,12.0
2022-03-12,15240.0,1402.0,97.36111111111111,11.0
2022-03-12,15234.0,1380.0,95.83333333333333,11.0
2022-03-13,15283.0,1440.0,100.0,12.0
2022-03-11,15176.0,1440.0,100.0,12.0
2022-03-17,15333.0,1440.0,100.0,13.0
2022-03-17,15222.0,1380.0,95.83333333333333,11.0
2022-03-19,15280.0,1250.0,86.80555555555556,11.0
2022-03-18,15226.0,1440.0,100.0,13.625
2022-03-18,15329.0,1440.0,100.0,10.291666666666666
2022-03-14,15312.0,1440.0,100.0,12.541666666666666
2022-03-17,15163.0,1440.0,100.0,12.0
2022-03-19,15282.0,1380.0,95.83333333333333,11.0
2022-03-14,15323.0,1440.0,100.0,11.0
2022-03-19,15305.0,1311.0,91.04166666666667,12.0
2022-03-18,15313.0,1440.0,100.0,11.0
2022-03-14,15214.0,1440.0,100.0,11.0
2022-03-14,15332.0,1440.0,100.0,12.0
2022-03-14,15317.0,1440.0,100.0,11.0
2022-03-14,15215.0,1440.0,100.0,11.0
2022-03-17,15313.0,1380.0,95.83333333333333,11.0
2022-03-19,15227.0,1380.0,95.83333333333333,10.478260869565217
2022-03-12,15172.0,1440.0,100.0,11.0
2022-03-16,15223.0,1440.0,100.0,10.0
2022-03-12,15317.0,1440.0,100.0,11.0
2022-03-14,15299.0,1440.0,100.0,11.0
2022-03-11,15326.0,1440.0,100.0,11.0
2022-03-13,15191.0,1440.0,100.0,11.0
2022-03-16,15221.0,1440.0,100.0,11.0
2022-03-11,15294.0,1440.0,100.0,11.0
2022-03-18,15334.0,1440.0,100.0,12.0
2022-03-16,15302.0,1399.0,97.15277777777777,12.0
2022-03-11,15158.0,1440.0,100.0,12.0
2022-03-14,15263.0,1440.0,100.0,12.0
2022-03-18,15295.0,1440.0,100.0,12.0
2022-03-19,15167.0,1380.0,95.83333333333333,12.0
2022-03-11,15218.0,1440.0,100.0,12.0
