begintime,sk_object,duration,M51373C0,M51373C1,M51373C2,M51373C3,M51373C4,M51373C5,M51373C6,M51373C7,M51373C8,M51373C9,M51373C10,M51373C11,M51373C12
2022-03-15 06:58:00,389.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 06:58:00,392.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 06:58:00,398.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 02:53:00,384.0,7,144.0,11198.0,0.0,0.0,144.0,11198.0,15297.0,887568.0,23307.0,33460560.0,0.0,0.0,0.0
2022-03-17 02:53:00,385.0,7,146.0,11358.0,0.0,0.0,146.0,11358.0,18434.0,1502330.0,14883.0,1632600.0,0.0,0.0,0.0
2022-03-17 02:54:00,379.0,6,87.0,6730.0,0.0,0.0,87.0,6730.0,715.0,287205.0,985.0,199678.0,0.0,0.0,0.0
2022-03-17 02:53:00,395.0,7,143.0,11118.0,0.0,0.0,143.0,11118.0,63173.0,64593205.0,43937.0,10109910.0,0.0,0.0,0.0
2022-03-17 02:54:00,377.0,6,292.0,22716.0,0.0,0.0,292.0,22716.0,94402.0,117575793.0,44026.0,6206656.0,0.0,0.0,0.0
2022-03-17 02:54:00,378.0,6,291.0,22636.0,0.0,0.0,291.0,22636.0,26378.0,1548631.0,38519.0,55378098.0,0.0,0.0,0.0
2022-03-17 02:54:00,380.0,6,287.0,22316.0,0.0,0.0,287.0,22316.0,171842.0,140509179.0,138408.0,56881098.0,0.0,0.0,0.0
2022-03-17 02:54:00,381.0,6,94.0,7336.0,0.0,0.0,94.0,7336.0,7898.0,645580.0,5910.0,637784.0,0.0,0.0,0.0
2022-03-17 02:54:00,382.0,6,109.0,8490.0,0.0,0.0,109.0,8490.0,6049.0,547318.0,3159.0,193308.0,0.0,0.0,0.0
