begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,4G traffic,id
2022-02-02,Cell Name=4G_BOTOWN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,322438768816.0,322438768816.0,43
2022-02-02,Cell Name=4G_BOTOWN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,574794960000.0,574794960000.0,44
2022-02-02,Cell Name=4G_BOTOWN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,247551542752.0,247551542752.0,45
2022-02-02,Cell Name=4G_BOTOWN-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,51502955760.0,51502955760.0,46
2022-02-02,Cell Name=4G_BYRNELANECOLLIGATE-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,510413366056.0,510413366056.0,47
2022-02-02,Cell Name=4G_BYRNELANECOLLIGATE-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,353982148520.0,353982148520.0,48
2022-02-02,Cell Name=4G_BYRNELANECOLLIGATE-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,509860361088.0,509860361088.0,49
2022-02-02,Cell Name=4G_BYRNELANECOLLIGATE-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,399655072472.0,399655072472.0,50
2022-02-02,Cell Name=4G_BYRNELANECOLLIGATE-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,662519725600.0,662519725600.0,51
2022-02-02,Cell Name=4G_BYRNELANECOLLIGATE-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,499368557480.0,499368557480.0,52
2022-02-02,Cell Name=4G_CITYROAD-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1149136547152.0,1149136547152.0,53
2022-02-02,Cell Name=4G_CITYROAD-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,368960027280.0,368960027280.0,54
2022-02-02,Cell Name=4G_CITYROAD-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,476380407312.0,476380407312.0,55
2022-02-02,Cell Name=4G_CKC_BO-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,53802406664.0,53802406664.0,56
2022-02-02,Cell Name=4G_CKC_BO-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,111252020560.0,111252020560.0,57
2022-02-02,Cell Name=4G_CKC_BO-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,181807432432.0,181807432432.0,58
