begintime,sk_object,duration,M51373C0,M51373C1,M51373C2,M51373C3,M51373C4,M51373C5,M51373C6,M51373C7,M51373C8,M51373C9,M51373C10,M51373C11,M51373C12
2022-03-15 19:15:00,15809.0,15,696.0,54162.0,0.0,0.0,696.0,54162.0,61106.0,5518654.0,37840.0,3413460.0,0.0,0.0,0.0
2022-03-16 05:30:00,15803.0,15,698.0,54276.0,0.0,0.0,698.0,54276.0,15593.0,1137895.0,61.0,14602.0,0.0,0.0,0.0
2022-03-16 22:00:00,15830.0,15,696.0,54162.0,0.0,0.0,696.0,54162.0,71581.0,6632866.0,54498.0,5169476.0,0.0,0.0,0.0
2022-03-11 00:00:00,15781.0,15,698.0,54276.0,0.0,0.0,698.0,54276.0,27719.0,2477236.0,14926.0,1019056.0,0.0,0.0,0.0
2022-03-11 00:00:00,15782.0,15,696.0,54116.0,0.0,0.0,696.0,54116.0,1028228.0,1256599805.0,689962.0,99909332.0,0.0,0.0,0.0
2022-03-11 00:00:00,15783.0,15,696.0,54116.0,0.0,0.0,696.0,54116.0,3338663.0,3938716797.0,2343440.0,421728453.0,0.0,0.0,0.0
2022-03-11 00:00:00,15784.0,15,694.0,54002.0,0.0,0.0,694.0,54002.0,3904606.0,4534992010.0,2998046.0,639867642.0,0.0,0.0,0.0
2022-03-11 00:00:00,15785.0,15,697.0,54242.0,0.0,0.0,697.0,54242.0,138234.0,12250178.0,90889.0,8657812.0,0.0,0.0,0.0
2022-03-11 00:00:00,15786.0,15,696.0,54162.0,0.0,0.0,696.0,54162.0,2314945.0,2678940257.0,1638321.0,353084441.0,0.0,0.0,0.0
2022-03-11 00:00:00,15787.0,15,699.0,54356.0,0.0,0.0,699.0,54356.0,2277011.0,2702510276.0,1255820.0,273384461.0,0.0,0.0,0.0
2022-03-11 00:00:00,15788.0,15,698.0,54276.0,0.0,0.0,698.0,54276.0,99230.0,9004780.0,58759.0,4642280.0,0.0,0.0,0.0
2022-03-11 00:00:00,15789.0,15,692.0,53888.0,0.0,0.0,692.0,53888.0,123103.0,11173896.0,77713.0,6947220.0,0.0,0.0,0.0
2022-03-11 00:00:00,15790.0,15,696.0,54162.0,0.0,0.0,696.0,54162.0,66717.0,6116782.0,33410.0,1693508.0,0.0,0.0,0.0
2022-03-11 00:00:00,15791.0,15,695.0,54036.0,0.0,0.0,695.0,54036.0,523086.0,630417089.0,219034.0,32250634.0,0.0,0.0,0.0
2022-03-11 00:00:00,15792.0,15,694.0,54002.0,0.0,0.0,694.0,54002.0,1101783.0,1326791353.0,647151.0,104053825.0,0.0,0.0,0.0
2022-03-11 00:00:00,15793.0,15,697.0,54196.0,0.0,0.0,697.0,54196.0,15754.0,1144428.0,378.0,517473.0,0.0,0.0,0.0
2022-03-11 00:00:00,15794.0,15,692.0,53842.0,0.0,0.0,692.0,53842.0,4824042.0,5130907469.0,3664150.0,977512678.0,0.0,0.0,0.0
2022-03-11 00:00:00,15795.0,15,696.0,54162.0,0.0,0.0,696.0,54162.0,56945.0,4988358.0,37941.0,3673020.0,0.0,0.0,0.0
2022-03-11 00:00:00,15796.0,15,697.0,54242.0,0.0,0.0,697.0,54242.0,15676.0,1140519.0,198.0,263812.0,0.0,0.0,0.0
